日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-02-15,'600000,浦发银行,10.66,10.85,10.66,10.78,10.82,-0.16,-1.4787,0.0632,17758789,190960435.0,3.12893177032e+11,2.99586123163e+11
2019-02-14,'600000,浦发银行,10.82,10.91,10.8,10.85,10.86,-0.04,-0.3683,0.0705,19815286,215023175.0,3.17589509896e+11,3.04082725387e+11
2019-02-13,'600000,浦发银行,10.86,10.93,10.68,10.74,10.72,0.14,1.306,0.1076,30248695,325845959.0,3.18763593111e+11,3.05206875943e+11
2019-02-12,'600000,浦发银行,10.72,10.73,10.63,10.71,10.7,0.02,0.1869,0.0597,16769601,179099038.0,3.14654301856e+11,3.01272348997e+11
2019-02-11,'600000,浦发银行,10.7,10.73,10.62,10.62,10.77,-0.07,-0.65,0.0719,20216568,215903077.0,3.14067260248e+11,3.00710273719e+11
2019-02-01,'600000,浦发银行,10.77,10.82,10.62,10.82,10.73,0.04,0.3728,0.068,19119343,204604273.0,3.16121905876e+11,3.02677537192e+11
2019-01-31,'600000,浦发银行,10.73,10.73,10.51,10.59,10.5,0.23,2.1905,0.0894,25131034,267614893.0,3.1494782266e+11,3.01553386636e+11
2019-01-30,'600000,浦发银行,10.5,10.64,10.47,10.59,10.58,-0.08,-0.7561,0.0571,16054256,169387635.0,3.08196844168e+11,2.9508952094e+11
2019-01-29,'600000,浦发银行,10.58,10.63,10.38,10.39,10.42,0.16,1.5355,0.0846,23768004,250301612.0,3.105450106e+11,2.97337822051e+11
2019-01-28,'600000,浦发银行,10.42,10.66,10.39,10.53,10.5,-0.08,-0.7619,0.0775,21769073,229185387.0,3.05848677737e+11,2.92841219828e+11
2019-01-25,'600000,浦发银行,10.5,10.56,10.38,10.45,10.38,0.12,1.1561,0.0701,19696587,206935398.0,3.08196844168e+11,2.9508952094e+11
2019-01-24,'600000,浦发银行,10.38,10.39,10.27,10.34,10.27,0.11,1.0711,0.0534,15006699,155265972.0,3.04674594521e+11,2.91717069272e+11
2019-01-23,'600000,浦发银行,10.27,10.34,10.25,10.29,10.25,0.02,0.1951,0.0588,16520327,170289907.0,3.01445865677e+11,2.88625655243e+11
2019-01-22,'600000,浦发银行,10.25,10.38,10.23,10.38,10.35,-0.1,-0.9662,0.0578,16250557,167165417.0,3.00858824069e+11,2.88063579965e+11
2019-01-21,'600000,浦发银行,10.35,10.46,10.3,10.36,10.43,-0.08,-0.767,0.0674,18947789,196394076.0,3.03794032109e+11,2.90873956355e+11
2019-01-18,'600000,浦发银行,10.43,10.44,10.22,10.29,10.17,0.26,2.5565,0.1035,29087141,300979124.0,3.06142198541e+11,2.93122257467e+11
2019-01-17,'600000,浦发银行,10.17,10.28,10.07,10.17,10.13,0.04,0.3949,0.081,22766048,232114667.0,2.98510657637e+11,2.85815278853e+11
2019-01-16,'600000,浦发银行,10.13,10.15,10.07,10.1,10.11,0.02,0.1978,0.0462,12988340,131354721.0,2.97336574422e+11,2.84691128297e+11
2019-01-15,'600000,浦发银行,10.11,10.15,10.05,10.1,10.06,0.05,0.497,0.0556,15632125,158126136.0,2.96749532814e+11,2.84129053019e+11
2019-01-14,'600000,浦发银行,10.06,10.1,10.01,10.03,10.05,0.01,0.0995,0.0724,20352840,204659052.0,2.95281928794e+11,2.82723864824e+11
2019-01-11,'600000,浦发银行,10.05,10.15,9.96,10.03,9.96,0.09,0.9036,0.0679,19069069,191290102.0,2.9498840799e+11,2.82442827185e+11
2019-01-10,'600000,浦发银行,9.96,10.02,9.92,9.94,9.99,-0.03,-0.3003,0.0567,15923566,158718755.0,2.92346720754e+11,2.79913488434e+11
2019-01-09,'600000,浦发银行,9.99,10.16,9.98,10.06,9.96,0.03,0.3012,0.0824,23163720,233890281.0,2.93227283166e+11,2.80756601351e+11
2019-01-08,'600000,浦发银行,9.96,10.03,9.91,10.03,9.98,-0.02,-0.2004,0.0537,15104933,150501650.0,2.92346720754e+11,2.79913488434e+11
2019-01-07,'600000,浦发银行,9.98,10.09,9.92,10.09,9.96,0.02,0.2008,0.084,23597376,235440197.0,2.92933762362e+11,2.80475563712e+11
2019-01-04,'600000,浦发银行,9.96,10.0,9.7,9.73,9.81,0.15,1.5291,0.0967,27172844,268964563.0,2.92346720754e+11,2.79913488434e+11
2019-01-03,'600000,浦发银行,9.81,9.82,9.66,9.7,9.7,0.11,1.134,0.0664,18654262,181975985.0,2.87943908695e+11,2.75697923849e+11
2019-01-02,'600000,浦发银行,9.7,9.79,9.58,9.74,9.8,-0.1,-1.0204,0.0846,23762822,229625669.0,2.84715179851e+11,2.7260650982e+11
2018-12-28,'600000,浦发银行,9.8,9.95,9.71,9.72,9.66,0.14,1.4493,0.0975,27404028,269118592.0,2.87650387891e+11,2.7541688621e+11
2018-12-27,'600000,浦发银行,9.66,9.8,9.66,9.77,9.67,-0.01,-0.1034,0.0973,27347564,266280883.0,2.83541096635e+11,2.71482359264e+11
2018-12-26,'600000,浦发银行,9.67,9.88,9.64,9.81,9.79,-0.12,-1.2257,0.0732,20569202,200359184.0,2.83834617439e+11,2.71763396903e+11
2018-12-25,'600000,浦发银行,9.79,9.86,9.6,9.77,9.91,-0.12,-1.2109,0.1239,34810397,337985911.0,2.87356867087e+11,2.75135848571e+11
2018-12-24,'600000,浦发银行,9.91,10.04,9.86,9.98,10.07,-0.16,-1.5889,0.0811,22779882,225706451.0,2.90879116734e+11,2.78508300239e+11
2018-12-21,'600000,浦发银行,10.07,10.24,10.0,10.23,10.25,-0.18,-1.7561,0.0743,20885862,209975605.0,2.95575449598e+11,2.83004902463e+11
2018-12-20,'600000,浦发银行,10.25,10.59,10.11,10.53,10.54,-0.29,-2.7514,0.107,30069914,309207188.0,3.00858824069e+11,2.88063579965e+11
2018-12-19,'600000,浦发银行,10.54,10.65,10.54,10.59,10.57,-0.03,-0.2838,0.0484,13603633,144342542.0,3.09370927384e+11,2.96213671495e+11
2018-12-18,'600000,浦发银行,10.57,10.82,10.54,10.68,10.78,-0.21,-1.9481,0.0692,19451677,207318277.0,3.10251489796e+11,2.97056784412e+11
