日期,中国电影,中国平安,中国国旅,中国卫星,中国医药
2018-10-22,11.48 ,67.93 ,57.80 ,16.28 ,15.26 
2018-10-23,11.24 ,65.51 ,57.00 ,15.90 ,15.11 
2018-10-24,11.27 ,66.25 ,55.47 ,15.98 ,15.10 
2018-10-25,11.48 ,66.66 ,56.38 ,16.00 ,15.02 
2018-10-26,11.41 ,65.54 ,53.18 ,16.27 ,15.16 
2018-10-29,11.44 ,62.00 ,48.12 ,16.01 ,13.75 
2018-10-30,11.86 ,62.80 ,49.72 ,16.07 ,13.95 
2018-10-31,12.10 ,63.63 ,53.68 ,16.23 ,14.28 
2018-11-01,12.69 ,64.30 ,52.93 ,16.32 ,14.40 
2018-11-02,12.98 ,67.35 ,58.22 ,16.69 ,14.79 
2018-11-05,13.23 ,66.58 ,57.47 ,16.86 ,14.56 
2018-11-06,13.36 ,66.80 ,56.05 ,16.68 ,14.47 
2018-11-07,13.88 ,66.12 ,56.38 ,16.53 ,14.40 
2018-11-08,13.89 ,66.30 ,56.78 ,16.27 ,14.26 
2018-11-09,13.85 ,64.62 ,56.70 ,16.20 ,14.17 
2018-11-12,13.84 ,64.66 ,55.58 ,16.53 ,14.56 
2018-11-13,14.32 ,65.01 ,55.02 ,16.81 ,14.88 
2018-11-14,14.30 ,63.95 ,53.98 ,16.63 ,14.99 
2018-11-15,14.31 ,65.10 ,54.67 ,17.15 ,15.05 
2018-11-16,14.05 ,65.25 ,55.16 ,17.14 ,15.22 
2018-11-19,14.43 ,65.72 ,55.42 ,17.59 ,15.11 
2018-11-20,13.86 ,64.10 ,54.29 ,17.92 ,14.51 
2018-11-21,14.44 ,64.01 ,55.40 ,18.01 ,14.67 
2018-11-22,14.15 ,63.14 ,54.69 ,17.77 ,14.80 
2018-11-23,13.58 ,62.64 ,54.48 ,16.97 ,14.31 
2018-11-26,13.69 ,63.20 ,54.01 ,17.08 ,14.14 
2018-11-27,13.48 ,63.11 ,53.45 ,17.22 ,14.15 
2018-11-28,14.17 ,63.77 ,55.90 ,17.38 ,14.26 
2018-11-29,14.17 ,63.05 ,54.72 ,17.10 ,14.00 
2018-11-30,13.81 ,63.49 ,55.21 ,17.26 ,14.11 
2018-12-03,14.00 ,64.99 ,56.75 ,17.59 ,14.61 
2018-12-04,13.92 ,64.89 ,58.76 ,17.68 ,14.83 
2018-12-05,13.81 ,64.25 ,59.29 ,17.63 ,14.91 
2018-12-06,13.35 ,63.00 ,58.23 ,17.65 ,14.24 
2018-12-07,13.81 ,63.00 ,58.45 ,17.56 ,13.65 
2018-12-10,14.35 ,62.18 ,58.92 ,17.20 ,13.02 
2018-12-11,14.31 ,62.17 ,59.64 ,17.20 ,13.11 
2018-12-12,14.54 ,62.46 ,61.30 ,17.22 ,13.01 
2018-12-13,14.56 ,63.20 ,62.43 ,17.40 ,13.16 
2018-12-14,14.66 ,61.94 ,60.68 ,16.91 ,12.98 
2018-12-17,14.30 ,61.27 ,60.79 ,17.18 ,12.82 
2018-12-18,14.29 ,60.85 ,60.05 ,17.18 ,12.86 
2018-12-19,14.05 ,60.12 ,59.15 ,17.19 ,12.69 
2018-12-20,14.14 ,59.00 ,58.87 ,17.07 ,12.78 
2018-12-21,14.37 ,58.34 ,58.22 ,16.92 ,12.73 
2018-12-24,14.45 ,58.25 ,59.25 ,17.10 ,12.85 
2018-12-25,14.61 ,58.21 ,59.30 ,16.93 ,12.63 
2018-12-26,14.41 ,57.30 ,58.39 ,16.87 ,12.49 
2018-12-27,14.25 ,56.90 ,58.89 ,16.86 ,12.48 
2018-12-28,14.32 ,56.10 ,60.20 ,17.32 ,12.57 
2019-01-02,13.88 ,55.18 ,59.80 ,18.08 ,12.07 
2019-01-03,13.67 ,55.68 ,56.98 ,18.39 ,12.04 
2019-01-04,14.19 ,56.59 ,57.10 ,18.48 ,12.36 
2019-01-07,14.84 ,56.30 ,58.10 ,18.87 ,12.50 
2019-01-08,14.99 ,55.80 ,59.60 ,18.29 ,12.41 
2019-01-09,14.79 ,56.95 ,60.90 ,18.23 ,12.51 
2019-01-10,15.10 ,57.50 ,60.10 ,18.22 ,12.54 
2019-01-11,15.12 ,58.07 ,60.68 ,19.18 ,12.50 
2019-01-14,15.05 ,57.12 ,58.60 ,18.68 ,12.45 
2019-01-15,15.19 ,58.59 ,60.78 ,18.89 ,12.72 
2019-01-16,15.76 ,58.74 ,61.13 ,18.56 ,12.75 
2019-01-17,15.51 ,58.73 ,60.80 ,18.40 ,12.61 
2019-01-18,15.49 ,59.92 ,59.43 ,18.50 ,12.95 
2019-01-21,15.44 ,60.79 ,59.87 ,18.46 ,12.97 
2019-01-22,15.06 ,60.07 ,58.90 ,18.10 ,12.76 
2019-01-23,15.13 ,59.49 ,59.11 ,18.15 ,12.68 
2019-01-24,15.38 ,60.43 ,56.00 ,18.41 ,12.68 
2019-01-25,15.33 ,61.29 ,56.43 ,18.17 ,12.67 
2019-01-28,15.33 ,61.52 ,55.00 ,18.16 ,12.56 
2019-01-29,15.32 ,61.65 ,55.87 ,17.87 ,12.36 
2019-01-30,14.80 ,61.25 ,54.40 ,17.88 ,12.24 
2019-01-31,14.95 ,62.98 ,54.50 ,17.80 ,12.26 
2019-02-01,15.72 ,63.21 ,54.50 ,18.16 ,12.67 
2019-02-11,16.15 ,64.39 ,58.10 ,18.58 ,12.74 
2019-02-12,15.71 ,64.27 ,58.18 ,18.61 ,13.37 
2019-02-13,15.78 ,65.02 ,60.00 ,18.94 ,13.50 
2019-02-14,15.75 ,65.10 ,61.83 ,18.94 ,13.52 
2019-02-15,15.79 ,63.25 ,59.61 ,19.02 ,13.64 
2019-02-18,15.96 ,65.29 ,61.27 ,19.42 ,14.12 
2019-02-19,15.66 ,65.68 ,61.50 ,21.36 ,13.95 
2019-02-20,15.41 ,65.88 ,62.45 ,20.90 ,14.04 
2019-02-21,15.42 ,65.39 ,62.52 ,20.66 ,13.83 
2019-02-22,15.61 ,67.02 ,62.93 ,21.09 ,13.99 
2019-02-25,16.04 ,73.00 ,64.77 ,22.29 ,15.12 
2019-02-26,16.15 ,70.01 ,62.35 ,21.73 ,15.24 
2019-02-27,15.94 ,69.98 ,63.08 ,22.72 ,15.09 
2019-02-28,15.75 ,70.01 ,63.80 ,22.40 ,15.23 
2019-03-01,15.88 ,72.39 ,64.45 ,22.30 ,15.30 
2019-03-04,15.85 ,72.58 ,63.73 ,22.59 ,15.49 
2019-03-05,16.03 ,72.07 ,62.40 ,23.24 ,15.57 
2019-03-06,17.24 ,72.16 ,61.67 ,23.11 ,15.61 
2019-03-07,16.87 ,70.29 ,61.50 ,23.08 ,15.41 
2019-03-08,15.77 ,68.70 ,59.55 ,22.48 ,14.68 
2019-03-11,16.40 ,68.79 ,61.00 ,23.28 ,15.15 
2019-03-12,17.00 ,69.25 ,60.14 ,25.60 ,15.23 
2019-03-13,16.91 ,71.54 ,59.93 ,26.20 ,14.91 
2019-03-14,17.10 ,72.80 ,60.14 ,25.81 ,14.63 
2019-03-15,17.20 ,73.85 ,60.95 ,25.05 ,15.07 
2019-03-18,18.27 ,75.00 ,62.90 ,25.40 ,15.89 
2019-03-19,18.02 ,75.35 ,62.89 ,26.18 ,15.80 
2019-03-20,17.83 ,76.55 ,63.70 ,25.66 ,16.27 
2019-03-21,17.87 ,75.80 ,63.90 ,25.59 ,16.25 
2019-03-22,17.94 ,74.72 ,64.25 ,26.18 ,16.42 
2019-03-25,17.73 ,72.29 ,62.61 ,26.95 ,15.78 
2019-03-26,17.06 ,72.69 ,63.65 ,25.13 ,15.59 
2019-03-27,17.29 ,74.22 ,65.47 ,24.61 ,16.05 
2019-03-28,17.17 ,73.40 ,67.79 ,24.36 ,15.11 
2019-03-29,17.77 ,77.10 ,70.08 ,25.17 ,15.39 
2019-04-01,18.15 ,78.60 ,69.98 ,26.18 ,16.00 
2019-04-02,17.89 ,78.96 ,70.42 ,26.24 ,16.01 
2019-04-03,17.90 ,79.86 ,71.62 ,26.28 ,16.15 
2019-04-04,18.03 ,80.20 ,72.35 ,26.31 ,16.34 
2019-04-08,17.74 ,80.59 ,72.11 ,25.94 ,16.85 
2019-04-09,18.49 ,81.10 ,73.23 ,25.99 ,16.81 
2019-04-10,18.80 ,82.03 ,72.40 ,25.49 ,16.78 
2019-04-11,18.26 ,80.71 ,72.25 ,25.28 ,16.11 
2019-04-12,18.66 ,80.44 ,71.38 ,25.06 ,15.97 
2019-04-15,18.96 ,81.66 ,72.91 ,25.04 ,15.70 
2019-04-16,19.66 ,85.01 ,74.67 ,25.45 ,16.03 
2019-04-17,19.49 ,84.48 ,76.18 ,25.70 ,15.98 
2019-04-18,20.78 ,84.30 ,78.23 ,25.70 ,15.81 
2019-04-19,21.64 ,87.00 ,78.64 ,25.49 ,15.94 
2019-04-22,21.25 ,84.96 ,78.00 ,25.16 ,15.79 
2019-04-23,20.50 ,86.06 ,77.40 ,24.33 ,15.45 
2019-04-24,19.52 ,85.03 ,78.83 ,24.62 ,15.48 
2019-04-25,18.20 ,83.40 ,79.32 ,23.57 ,15.04 
2019-04-26,18.22 ,83.11 ,77.30 ,23.61 ,14.56 
2019-04-29,17.48 ,86.43 ,79.98 ,22.74 ,14.76 
2019-04-30,18.04 ,86.10 ,77.49 ,23.06 ,14.95 
2019-05-06,16.24 ,81.20 ,76.01 ,20.75 ,13.78 
2019-05-07,16.09 ,81.17 ,76.40 ,20.96 ,13.98 
2019-05-08,15.58 ,78.78 ,73.41 ,21.06 ,13.89 
2019-05-09,15.43 ,76.66 ,73.65 ,21.13 ,13.75 
2019-05-10,15.90 ,81.38 ,77.15 ,22.73 ,14.09 
2019-05-13,15.42 ,78.65 ,77.02 ,22.82 ,13.92 
2019-05-14,15.37 ,78.30 ,75.15 ,23.02 ,13.81 
2019-05-15,15.76 ,80.54 ,77.80 ,23.32 ,14.05 
2019-05-16,15.77 ,80.97 ,79.00 ,23.62 ,14.24 
2019-05-17,15.05 ,79.10 ,77.19 ,22.71 ,13.84 
2019-05-20,14.82 ,77.87 ,76.01 ,23.19 ,13.74 
2019-05-21,15.41 ,78.20 ,76.32 ,23.38 ,14.00 
2019-05-22,15.11 ,77.64 ,76.97 ,23.15 ,13.85 
2019-05-23,14.53 ,75.44 ,75.33 ,23.45 ,13.67 
2019-05-24,14.52 ,76.50 ,75.30 ,21.95 ,13.65 
2019-05-27,14.99 ,77.18 ,75.79 ,23.25 ,13.91 
2019-05-28,15.07 ,78.19 ,78.00 ,23.51 ,13.88 
2019-05-29,15.23 ,79.78 ,76.70 ,23.37 ,13.84 
2019-05-30,15.26 ,79.09 ,75.82 ,23.27 ,13.76 
2019-05-31,15.13 ,79.00 ,77.39 ,23.48 ,13.73 
2019-06-03,14.87 ,79.25 ,76.62 ,23.15 ,13.63 
2019-06-04,14.75 ,77.97 ,75.70 ,22.45 ,13.67 
2019-06-05,14.76 ,77.50 ,74.55 ,22.58 ,13.21 
2019-06-06,14.64 ,77.11 ,73.93 ,21.99 ,12.93 
2019-06-10,14.81 ,79.10 ,75.94 ,22.04 ,13.15 
2019-06-11,15.30 ,81.70 ,78.70 ,22.72 ,13.67 
2019-06-12,15.11 ,80.52 ,79.05 ,22.41 ,13.60 
2019-06-13,15.15 ,80.49 ,78.50 ,22.25 ,13.79 
2019-06-14,14.77 ,79.75 ,79.46 ,22.07 ,13.22 
2019-06-17,14.77 ,79.92 ,81.30 ,21.89 ,13.27 
2019-06-18,14.75 ,80.97 ,80.03 ,21.78 ,13.12 
2019-06-19,15.03 ,83.54 ,82.67 ,22.12 ,13.34 
2019-06-20,15.43 ,88.50 ,85.68 ,22.58 ,13.56 
