日期,长江电力,平安银行,上海机场,中信证券,顺丰控股
2018-01-02,15.6400,13.7000,44.4000,18.4400,50.5700
2018-01-03,15.9900,13.3300,44.0500,18.6100,50.6700
2018-01-04,15.8500,13.2500,44.1000,18.6700,53.1500
2018-01-05,16.0100,13.3000,44.1500,18.8800,52.4200
2018-01-08,15.9800,12.9600,43.0300,19.5400,51.7200
2018-01-09,16.1300,13.0800,43.7600,19.4400,51.9900
2018-01-10,16.1700,13.4700,43.8000,19.6100,51.3900
2018-01-11,16.3200,13.4000,43.4400,19.2800,51.5400
2018-01-12,16.2800,13.5500,43.9400,19.3300,51.4600
2018-01-15,16.3700,14.2000,45.6500,19.4500,50.2100
2018-01-16,16.0600,14.2000,45.9600,20.2500,50.3100
2018-01-17,16.1200,14.2300,45.3800,20.9400,50.6000
2018-01-18,16.0700,14.7200,45.0000,21.4100,50.1200
2018-01-19,16.1000,14.8000,44.6100,21.2900,49.8800
2018-01-22,16.0900,14.4400,44.9100,21.2000,49.9600
2018-01-23,16.1300,14.6500,47.0200,21.2100,50.7300
2018-01-24,16.0100,14.6400,47.0900,22.9200,50.7400
2018-01-25,16.0700,14.2000,46.6700,22.3300,50.5300
2018-01-26,16.0600,14.0500,46.8800,22.3400,50.5300
2018-01-29,15.8600,13.7400,45.6800,22.1100,49.8600
2018-01-30,15.7900,13.6500,46.1300,21.6300,50.3000
2018-01-31,15.9000,14.0500,46.8900,21.2900,49.9300
2018-02-01,16.1600,14.0300,47.6800,21.5000,49.1400
2018-02-02,16.1800,14.0500,48.7800,21.5200,49.3800
2018-02-05,16.2900,14.5500,48.6000,21.7900,48.0800
2018-02-06,16.2900,14.0000,47.9900,20.5500,46.6500
2018-02-07,16.2700,12.9200,47.7100,19.5500,45.9300
2018-02-08,16.2200,12.5400,46.0100,19.2400,46.0700
2018-02-09,15.9700,11.6900,44.2200,17.3500,45.0000
2018-02-12,15.6000,11.7200,43.4300,17.3300,45.8900
2018-02-13,15.7600,11.9400,43.7700,17.6200,46.5700
2018-02-14,15.9900,12.0000,43.8200,17.6300,47.0300
2018-02-22,16.1100,12.4600,46.6300,18.0100,47.8000
2018-02-23,16.2500,12.6100,46.8600,18.1900,47.7800
2018-02-26,16.4100,12.6300,49.6900,18.6500,51.5000
2018-02-27,16.5400,12.2800,49.6800,18.2500,50.8200
2018-02-28,16.4700,12.0500,48.8700,18.1100,49.8700
2018-03-01,16.4900,12.0400,49.3300,18.1300,50.4000
2018-03-02,16.7500,11.9500,50.3500,17.8300,50.5800
2018-03-05,16.8400,11.8600,50.2200,17.8700,50.6700
2018-03-06,16.6600,12.1000,49.1600,18.4200,51.2000
2018-03-07,16.6700,12.0500,49.2200,18.2700,50.9000
2018-03-08,16.9500,12.1100,49.6400,18.3900,52.0700
2018-03-09,16.9600,12.0900,50.8300,18.8600,51.7200
2018-03-12,16.7000,12.0300,50.0900,19.3000,51.6700
2018-03-13,16.7000,12.0200,50.5400,18.9500,51.3900
2018-03-14,16.7000,11.9200,49.8400,18.7000,52.0000
2018-03-15,16.6500,11.7100,50.0000,18.8000,51.1100
2018-03-16,16.6500,11.6400,49.3400,18.3400,50.5900
2018-03-19,16.6500,11.8300,50.1400,18.5400,50.5500
2018-03-20,16.6800,11.8200,49.9900,18.6800,50.2100
2018-03-21,16.6300,11.9000,49.9900,18.5000,50.0200
2018-03-22,16.5100,11.6600,50.7900,18.7600,49.0000
2018-03-23,16.4900,11.3400,50.7800,17.7000,48.0000
2018-03-26,16.3700,10.9300,50.0300,18.0200,48.4500
2018-03-27,16.4900,10.9400,49.3200,18.3200,48.7400
2018-03-28,16.1900,10.8900,49.2500,17.8600,50.0200
2018-03-29,16.1000,11.0500,47.6500,18.3100,49.5400
2018-03-30,16.0200,10.9000,48.8400,18.5800,49.6500
2018-04-02,15.9700,10.7100,49.3000,18.9300,49.6500
2018-04-03,15.8700,10.5600,47.9900,19.2100,48.7700
2018-04-04,15.8600,10.8700,47.8600,19.0100,48.8300
2018-04-09,16.0300,11.0200,47.2500,19.3400,48.7000
2018-04-10,16.1500,11.4200,48.2400,19.7400,48.9800
2018-04-11,16.2300,11.8300,48.1000,19.4500,49.1400
2018-04-12,16.1500,11.5200,48.0600,19.1100,48.9900
2018-04-13,15.9400,11.5700,47.2900,18.9200,49.1700
2018-04-16,15.8300,11.1000,45.8600,18.3900,48.1500
2018-04-17,15.9900,11.2100,44.5500,18.4100,47.3800
2018-04-18,16.0300,11.5000,44.3700,18.7900,47.6100
2018-04-19,15.9500,11.4700,45.0900,19.0100,48.4900
2018-04-20,16.0500,11.3500,45.4100,18.2800,47.5800
2018-04-23,16.1400,11.5700,45.2700,18.5300,47.3500
2018-04-24,16.2000,11.8600,46.2700,19.2400,48.2800
2018-04-25,16.0000,11.6800,46.9600,19.1400,47.3000
