InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
572219,23534,WALL ART STOP FOR TEA ,3,2011-10-21 13:17:00,5.95,17463.0,United Kingdom
576372,22835,HOT WATER BOTTLE I AM SO POORLY,8,2011-11-15 08:32:00,4.95,15144.0,United Kingdom
569866,23378,PACK OF 12 50'S CHRISTMAS TISSUES,12,2011-10-06 14:50:00,0.39,12757.0,Portugal
C552936,22501,PICNIC BASKET WICKER LARGE,-6,2011-05-12 11:29:00,8.5,13113.0,United Kingdom
580520,21279,VINTAGE KITCHEN PRINT FRUITS,1,2011-12-04 14:55:00,2.55,13521.0,United Kingdom
557615,21931,JUMBO STORAGE BAG SUKI,20,2011-06-21 13:24:00,2.08,15498.0,United Kingdom
574738,23206,LUNCH BAG APPLE DESIGN,1,2011-11-06 16:01:00,1.65,12748.0,United Kingdom
539460,21731,RED TOADSTOOL LED NIGHT LIGHT,20,2010-12-17 18:07:00,1.65,12931.0,United Kingdom
540992,18098C,PORCELAIN BUTTERFLY OIL BURNER,3,2011-01-12 16:57:00,2.95,17364.0,United Kingdom
552316,23161,REGENCY CAKE FORK,12,2011-05-08 16:11:00,1.25,15674.0,United Kingdom
554376,22993,SET OF 4 PANTRY JELLY MOULDS,2,2011-05-24 11:31:00,1.25,15719.0,United Kingdom
581492,22597,MUSICAL ZINC HEART DECORATION ,9,2011-12-09 10:03:00,0.83,,United Kingdom
564835,23182,TOILET SIGN OCCUPIED OR VACANT,1,2011-08-30 12:31:00,2.46,,United Kingdom
577286,22526,WHEELBARROW FOR CHILDREN ,1,2011-11-18 12:39:00,12.75,14606.0,United Kingdom
554098,84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,32,2011-05-22 13:01:00,0.42,14769.0,United Kingdom
550636,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,1,2011-04-19 15:37:00,7.46,,United Kingdom
569668,23397,FOOT STOOL HOME SWEET HOME ,2,2011-10-05 13:47:00,9.95,16040.0,United Kingdom
559337,21948,SET OF 6 CAKE CHOPSTICKS,1,2011-07-07 16:27:00,2.46,,United Kingdom
567981,21238,RED RETROSPOT CUP,3,2011-09-23 11:22:00,1.63,,United Kingdom
555853,85049G,CHOCOLATE BOX RIBBONS ,1,2011-06-07 13:44:00,1.25,14375.0,United Kingdom
560434,22715,CARD WEDDING DAY,3,2011-07-18 15:56:00,0.83,,United Kingdom
540977,22556,PLASTERS IN TIN CIRCUS PARADE ,3,2011-01-12 15:01:00,3.36,,United Kingdom
550205,22379,RECYCLING BAG RETROSPOT ,1,2011-04-15 10:37:00,4.96,,United Kingdom
573002,22543,MINI JIGSAW BAKE A CAKE ,240,2011-10-27 12:09:00,0.36,14646.0,Netherlands
545710,85206A,CREAM FELT EASTER EGG BASKET,6,2011-03-07 09:52:00,1.65,13117.0,United Kingdom
553850,22457,NATURAL SLATE HEART CHALKBOARD ,6,2011-05-19 12:59:00,2.95,18075.0,United Kingdom
