订单ID,日期,客户ID,商品类别,单价,数量,地区,支付方式
ORD00000,2025-01-01 08:02:00,C860,服装,80.07,7,华东,信用卡
ORD00001,2025-01-01 08:02:00,C3772,服装,79.31,3,华北,微信
ORD00002,2025-01-01 08:03:00,C3092,图书,30.37,2,东北,支付宝
ORD00003,2025-01-01 08:03:00,C466,服装,97.79,7,华东,现金
ORD00004,2025-01-01 08:04:00,C4426,服装,99.57,1,西南,现金
ORD00005,2025-01-01 08:04:00,C3444,食品,16.8,2,华南,微信
ORD00006,2025-01-01 08:05:00,C3171,服装,94.28,3,华南,支付宝
ORD00007,2025-01-01 08:05:00,C2919,电子产品,36.05,4,华北,信用卡
ORD00008,2025-01-01 08:06:00,,家居,72.04,5,华北,现金
ORD00009,2025-01-01 08:06:00,C1685,食品,40.43,4,西南,支付宝
ORD00010,2025-01-01 08:07:00,C769,服装,97.1,3,华北,现金
ORD00011,2025-01-01 08:09:00,C2391,电子产品,19.14,1,华北,支付宝
ORD00012,2025-01-01 08:10:00,,家居,54.8,7,华南,支付宝
ORD00013,2025-01-01 08:11:00,C1184,食品,48.52,6,东北,支付宝
ORD00014,2025-01-01 08:11:00,C4555,电子产品,39.34,2,华南,微信
ORD00015,2025-01-01 08:12:00,C3385,服装,68.1,2,华南,现金
ORD00016,2025-01-01 08:12:00,C4117,图书,21.8,3,西南,信用卡
ORD00017,2025-01-01 08:13:00,C4843,图书,74.5,8,西南,微信
ORD00018,2025-01-01 08:14:00,C2904,食品,98.25,8,东北,信用卡
ORD00019,2025-01-01 08:15:00,C474,电子产品,82.41,8,华东,微信
ORD00020,2025-01-01 08:15:00,C1082,家居,87.4,7,华北,微信
ORD00021,2025-01-01 08:15:00,C2558,电子产品,,2,华北,微信
ORD00022,2025-01-01 08:15:00,C2047,图书,39.24,1,华南,支付宝
ORD00023,2025-01-01 08:16:00,C2747,食品,56.53,6,华南,现金
ORD00024,2025-01-01 08:16:00,C975,服装,14.12,8,东北,支付宝
ORD00025,2025-01-01 08:17:00,C1806,电子产品,95.08,1,华北,支付宝
ORD00026,2025-01-01 08:17:00,C189,图书,22.94,3,华南,支付宝
ORD00027,2025-01-01 08:17:00,C2734,家居,91.27,1,华南,微信
ORD00028,2025-01-01 08:18:00,C3005,食品,17.52,9,西南,微信
ORD00029,2025-01-01 08:19:00,C4658,服装,84.04,7,华东,信用卡
ORD00030,2025-01-01 08:20:00,C1899,电子产品,23.68,8,东北,现金
ORD00031,2025-01-01 08:20:00,C1267,家居,13.43,9,华东,支付宝
ORD00032,2025-01-01 08:21:00,C1528,服装,74.75,3,华东,支付宝
ORD00033,2025-01-01 08:21:00,C3202,图书,35.22,2,东北,支付宝
ORD00034,2025-01-01 08:21:00,C3556,图书,74.3,6,华北,现金
ORD00035,2025-01-01 08:22:00,C3890,家居,59.96,5,华南,现金
ORD00036,2025-01-01 08:23:00,C646,图书,,4,东北,现金
