,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,14697926000.0,14773260000.0,14856722000.0,14939315000.0,15037874000.0,
Share Issued,14697926000.0,14773260000.0,14856722000.0,14939315000.0,15037874000.0,
Net Debt,45192000000.0,62723000000.0,65429000000.0,70024000000.0,66500000000.0,
Total Debt,90509000000.0,98657000000.0,101698000000.0,98186000000.0,96799000000.0,
Tangible Book Value,88190000000.0,73733000000.0,65830000000.0,66796000000.0,66758000000.0,
Invested Capital,178699000000.0,172390000000.0,167528000000.0,164982000000.0,163557000000.0,
Working Capital,-4263000000.0,-17674000000.0,-18629000000.0,-25897000000.0,-11125000000.0,
Net Tangible Assets,88190000000.0,73733000000.0,65830000000.0,66796000000.0,66758000000.0,
Common Stock Equity,88190000000.0,73733000000.0,65830000000.0,66796000000.0,66758000000.0,
Total Capitalization,164875000000.0,152061000000.0,148260000000.0,145362000000.0,150714000000.0,
Total Equity Gross Minority Interest,88190000000.0,73733000000.0,65830000000.0,66796000000.0,66758000000.0,
Stockholders Equity,88190000000.0,73733000000.0,65830000000.0,66796000000.0,66758000000.0,
Gains Losses Not Affecting Retained Earnings,-4854000000.0,-5571000000.0,-6369000000.0,-6363000000.0,-6789000000.0,
Other Equity Adjustments,-4854000000.0,-5571000000.0,-6369000000.0,-6363000000.0,-6789000000.0,
Retained Earnings,-2177000000.0,-14264000000.0,-17607000000.0,-15552000000.0,-11221000000.0,
Capital Stock,95221000000.0,93568000000.0,89806000000.0,88711000000.0,84768000000.0,
Common Stock,95221000000.0,93568000000.0,89806000000.0,88711000000.0,84768000000.0,
Total Liabilities Net Minority Interest,291107000000.0,285508000000.0,265665000000.0,264437000000.0,277327000000.0,
Total Non Current Liabilities Net Minority Interest,128740000000.0,119877000000.0,124545000000.0,119866000000.0,132962000000.0,
Other Non Current Liabilities,52055000000.0,41549000000.0,42115000000.0,41300000000.0,49006000000.0,
Tradeand Other Payables Non Current,,,,,,9254000000.0
Long Term Debt And Capital Lease Obligation,76685000000.0,78328000000.0,82430000000.0,78566000000.0,83956000000.0,
Long Term Debt,76685000000.0,78328000000.0,82430000000.0,78566000000.0,83956000000.0,
Current Liabilities,162367000000.0,165631000000.0,141120000000.0,144571000000.0,144365000000.0,
Other Current Liabilities,68543000000.0,44452000000.0,62499000000.0,61849000000.0,61151000000.0,
Current Deferred Liabilities,9413000000.0,9055000000.0,8979000000.0,8976000000.0,8461000000.0,
Current Deferred Revenue,9413000000.0,9055000000.0,8979000000.0,8976000000.0,8461000000.0,
Current Debt And Capital Lease Obligation,13824000000.0,20329000000.0,19268000000.0,19620000000.0,12843000000.0,
Current Debt,13824000000.0,20329000000.0,19268000000.0,19620000000.0,12843000000.0,
Other Current Borrowings,11827000000.0,12350000000.0,9345000000.0,13638000000.0,10848000000.0,
Commercial Paper,1997000000.0,7979000000.0,9923000000.0,5982000000.0,1995000000.0,
Payables And Accrued Expenses,70587000000.0,91795000000.0,50374000000.0,54126000000.0,61910000000.0,
Current Accrued Expenses,,8919000000.0,,,,
Payables,70587000000.0,82876000000.0,50374000000.0,54126000000.0,61910000000.0,
Total Tax Payable,,13016000000.0,,,,26601000000.0
Income Tax Payable,,13016000000.0,,,,26601000000.0
Accounts Payable,70587000000.0,69860000000.0,50374000000.0,54126000000.0,61910000000.0,
Total Assets,379297000000.0,359241000000.0,331495000000.0,331233000000.0,344085000000.0,
Total Non Current Assets,221193000000.0,211284000000.0,209004000000.0,212559000000.0,210845000000.0,
