,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.175,0.162724,0.164,0.155,0.147
Normalized EBITDA,54066000000.0,35554000000.0,31032000000.0,32250000000.0,45912000000.0
Net Income From Continuing Operation Net Minority Interest,42097000000.0,27466000000.0,23434000000.0,24780000000.0,36330000000.0
Reconciled Depreciation,3214000000.0,3127000000.0,2830000000.0,2661000000.0,3080000000.0
Reconciled Cost Of Revenue,74525000000.0,54125000000.0,50318000000.0,50492000000.0,66025000000.0
EBITDA,54066000000.0,35554000000.0,31032000000.0,32250000000.0,45912000000.0
EBIT,50852000000.0,32427000000.0,28202000000.0,29589000000.0,42832000000.0
Normalized Income,42097000000.0,27466000000.0,23434000000.0,24780000000.0,36330000000.0
Net Income From Continuing And Discontinued Operation,42097000000.0,27466000000.0,23434000000.0,24780000000.0,36330000000.0
Total Expenses,92904000000.0,70039000000.0,65834000000.0,65770000000.0,81468000000.0
Total Operating Income As Reported,50852000000.0,32427000000.0,28202000000.0,29589000000.0,42832000000.0
Diluted Average Shares,14810356000.0,14863609000.0,14948179000.0,15056133000.0,15150865000.0
Basic Average Shares,14748158000.0,14815307000.0,14902886000.0,14994082000.0,15081724000.0
Diluted EPS,2.84,1.85,1.57,1.65,2.4
Basic EPS,2.85,1.85,1.57,1.65,2.41
Diluted NI Availto Com Stockholders,42097000000.0,27466000000.0,23434000000.0,24780000000.0,36330000000.0
Net Income Common Stockholders,42097000000.0,27466000000.0,23434000000.0,24780000000.0,36330000000.0
Net Income,42097000000.0,27466000000.0,23434000000.0,24780000000.0,36330000000.0
Net Income Including Noncontrolling Interests,42097000000.0,27466000000.0,23434000000.0,24780000000.0,36330000000.0
Net Income Continuous Operations,42097000000.0,27466000000.0,23434000000.0,24780000000.0,36330000000.0
Tax Provision,8905000000.0,5338000000.0,4597000000.0,4530000000.0,6254000000.0
Pretax Income,51002000000.0,32804000000.0,28031000000.0,29310000000.0,42584000000.0
Other Income Expense,150000000.0,377000000.0,-171000000.0,-279000000.0,-248000000.0
Other Non Operating Income Expenses,150000000.0,377000000.0,-171000000.0,-279000000.0,-248000000.0
Operating Income,50852000000.0,32427000000.0,28202000000.0,29589000000.0,42832000000.0
Operating Expense,18379000000.0,15914000000.0,15516000000.0,15278000000.0,15443000000.0
Research And Development,10887000000.0,8866000000.0,8866000000.0,8550000000.0,8268000000.0
Selling General And Administration,7492000000.0,7048000000.0,6650000000.0,6728000000.0,7175000000.0
Gross Profit,69231000000.0,48341000000.0,43718000000.0,44867000000.0,58275000000.0
Cost Of Revenue,74525000000.0,54125000000.0,50318000000.0,50492000000.0,66025000000.0
Total Revenue,143756000000.0,102466000000.0,94036000000.0,95359000000.0,124300000000.0
Operating Revenue,143756000000.0,102466000000.0,94036000000.0,95359000000.0,124300000000.0
