,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,4889000000.0,6643000000.0,4884000000.0,1400000000.0,6757000000.0,
Repurchase Of Capital Stock,-3000000.0,-4000000.0,-12000000.0,-961000000.0,-358000000.0,
Repayment Of Debt,-799000000.0,-2016000000.0,-3754000000.0,-3026000000.0,-5762000000.0,
Issuance Of Debt,-500000000.0,241000000.0,3963000000.0,5587000000.0,2000000000.0,
Capital Expenditure,-329000000.0,-381000000.0,-269000000.0,-235000000.0,-291000000.0,
Interest Paid Supplemental Data,823000000.0,739000000.0,,,705000000.0,720000000.0
End Cash Position,5229000000.0,5629000000.0,6467000000.0,5175000000.0,5524000000.0,
Beginning Cash Position,5629000000.0,6467000000.0,5175000000.0,5524000000.0,7257000000.0,
Effect Of Exchange Rate Changes,11000000.0,-8000000.0,30000000.0,9000000.0,-46000000.0,
Changes In Cash,-411000000.0,-830000000.0,1262000000.0,-358000000.0,-1687000000.0,
Financing Cash Flow,-4166000000.0,-4590000000.0,-2710000000.0,-1258000000.0,-6861000000.0,
Cash Flow From Continuing Financing Activities,-4166000000.0,-4590000000.0,-2710000000.0,-1258000000.0,-6861000000.0,
Net Other Financing Charges,-1000000.0,37000000.0,-2000000.0,11000000.0,1000000.0,
Proceeds From Stock Option Exercised,48000000.0,63000000.0,5000000.0,56000000.0,10000000.0,
Cash Dividends Paid,-2911000000.0,-2911000000.0,-2910000000.0,-2925000000.0,-2752000000.0,
Common Stock Dividend Paid,-2911000000.0,-2911000000.0,-2910000000.0,-2925000000.0,-2752000000.0,
Net Common Stock Issuance,-3000000.0,-4000000.0,-12000000.0,-961000000.0,-358000000.0,
Common Stock Payments,-3000000.0,-4000000.0,-12000000.0,-961000000.0,-358000000.0,
Net Issuance Payments Of Debt,-1299000000.0,-1775000000.0,209000000.0,2561000000.0,-3762000000.0,
Net Short Term Debt Issuance,-1291000000.0,-1766000000.0,3963000000.0,1593000000.0,0.0,
Short Term Debt Payments,-791000000.0,-2007000000.0,0.0,0.0,0.0,
Short Term Debt Issuance,-500000000.0,241000000.0,3963000000.0,1593000000.0,0.0,
Net Long Term Debt Issuance,-8000000.0,-9000000.0,-3754000000.0,968000000.0,-3762000000.0,
Long Term Debt Payments,-8000000.0,-9000000.0,-3754000000.0,-3026000000.0,-5762000000.0,
Long Term Debt Issuance,0.0,0.0,0.0,3994000000.0,2000000000.0,
Investing Cash Flow,-1463000000.0,-3264000000.0,-1181000000.0,-735000000.0,-1874000000.0,
Cash Flow From Continuing Investing Activities,-1463000000.0,-3264000000.0,-1181000000.0,-735000000.0,-1874000000.0,
Net Other Investing Changes,-1000000.0,-77000000.0,33000000.0,16000000.0,197000000.0,
Net Investment Purchase And Sale,28000000.0,-4000000.0,-5000000.0,22000000.0,12000000.0,
Sale Of Investment,34000000.0,3000000.0,7000000.0,32000000.0,39000000.0,
Purchase Of Investment,-6000000.0,-7000000.0,-12000000.0,-10000000.0,-27000000.0,
Net Business Purchase And Sale,-1161000000.0,-2802000000.0,-940000000.0,-538000000.0,-1792000000.0,
Purchase Of Business,-1161000000.0,-2802000000.0,-940000000.0,-538000000.0,-1792000000.0,
Net PPE Purchase And Sale,-329000000.0,-381000000.0,-269000000.0,-235000000.0,-291000000.0,
Purchase Of PPE,-329000000.0,-381000000.0,-269000000.0,-235000000.0,-291000000.0,
Operating Cash Flow,5218000000.0,7024000000.0,5153000000.0,1635000000.0,7048000000.0,
Cash Flow From Continuing Operating Activities,5218000000.0,7024000000.0,5153000000.0,1635000000.0,7048000000.0,
Change In Working Capital,-473000000.0,1253000000.0,-562000000.0,-2580000000.0,-397000000.0,
Change In Other Working Capital,646000000.0,-411000000.0,-1375000000.0,378000000.0,-1803000000.0,
Change In Payables And Accrued Expense,-598000000.0,1730000000.0,515000000.0,-696000000.0,1247000000.0,
Change In Payable,-598000000.0,1730000000.0,515000000.0,-696000000.0,1247000000.0,
Change In Account Payable,-598000000.0,1730000000.0,515000000.0,-696000000.0,1247000000.0,
Change In Prepaid Assets,-658000000.0,88000000.0,371000000.0,-628000000.0,-100000000.0,
Change In Inventory,-25000000.0,2000000.0,-56000000.0,-155000000.0,-128000000.0,
Change In Receivables,162000000.0,-156000000.0,-17000000.0,-1479000000.0,387000000.0,
Changes In Account Receivables,162000000.0,-156000000.0,-17000000.0,-1479000000.0,387000000.0,
Other Non Cash Items,1981000000.0,2590000000.0,3567000000.0,505000000.0,1326000000.0,
Stock Based Compensation,157000000.0,209000000.0,179000000.0,410000000.0,164000000.0,
Provisionand Write Offof Assets,136000000.0,-319000000.0,,,167000000.0,314000000.0
Asset Impairment Charge,0.0,,,,4476000000.0,0.0
Deferred Tax,-385000000.0,193000000.0,-272000000.0,-28000000.0,-767000000.0,
Deferred Income Tax,-385000000.0,193000000.0,-272000000.0,-28000000.0,-767000000.0,
Depreciation Amortization Depletion,1987000000.0,2063000000.0,2050000000.0,2039000000.0,2102000000.0,
Depreciation And Amortization,1987000000.0,2063000000.0,2050000000.0,2039000000.0,2102000000.0,
Amortization Cash Flow,1784000000.0,1871000000.0,1864000000.0,1858000000.0,1896000000.0,
Amortization Of Intangibles,1784000000.0,1871000000.0,1864000000.0,1858000000.0,1896000000.0,
Depreciation,203000000.0,192000000.0,186000000.0,181000000.0,206000000.0,
Net Income From Continuing Operations,1815000000.0,188000000.0,941000000.0,1289000000.0,-23000000.0,
