,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,526000000.0,1356000000.0,975000000.0,1789000000.0,466000000.0,
Repurchase Of Capital Stock,-1095000000.0,-877000000.0,-1010000000.0,-807000000.0,-838000000.0,
Income Tax Paid Supplemental Data,52000000.0,12000000.0,155000000.0,13000000.0,48000000.0,
End Cash Position,13486000000.0,14713000000.0,18444000000.0,16750000000.0,12760000000.0,
Beginning Cash Position,14713000000.0,18444000000.0,16750000000.0,12760000000.0,14198000000.0,
Effect Of Exchange Rate Changes,-3000000.0,-31000000.0,482000000.0,207000000.0,-354000000.0,
Changes In Cash,-1224000000.0,-3700000000.0,1212000000.0,3783000000.0,-1084000000.0,
Financing Cash Flow,-1450000000.0,-4850000000.0,328000000.0,2145000000.0,-1330000000.0,
Cash Flow From Continuing Financing Activities,-1450000000.0,-4850000000.0,328000000.0,2145000000.0,-1330000000.0,
Net Other Financing Charges,-399000000.0,-3976000000.0,1293000000.0,2922000000.0,-553000000.0,
Proceeds From Stock Option Exercised,44000000.0,3000000.0,45000000.0,30000000.0,61000000.0,
Net Common Stock Issuance,-1095000000.0,-877000000.0,-1010000000.0,-807000000.0,-838000000.0,
Common Stock Payments,-1095000000.0,-877000000.0,-1010000000.0,-807000000.0,-838000000.0,
Investing Cash Flow,-300000000.0,-206000000.0,-91000000.0,-151000000.0,-220000000.0,
Cash Flow From Continuing Investing Activities,-300000000.0,-206000000.0,-91000000.0,-151000000.0,-220000000.0,
Net Other Investing Changes,-6000000.0,-9000000.0,-23000000.0,-8000000.0,-49000000.0,
Net Investment Purchase And Sale,-294000000.0,-197000000.0,-68000000.0,-143000000.0,-171000000.0,
Sale Of Investment,484000000.0,820000000.0,809000000.0,623000000.0,526000000.0,
Purchase Of Investment,-778000000.0,-1017000000.0,-877000000.0,-766000000.0,-697000000.0,
Operating Cash Flow,526000000.0,1356000000.0,975000000.0,1789000000.0,466000000.0,
Cash Flow From Continuing Operating Activities,526000000.0,1356000000.0,975000000.0,1789000000.0,466000000.0,
Change In Working Capital,-329000000.0,-748000000.0,-210000000.0,1181000000.0,-496000000.0,
Change In Other Working Capital,-76000000.0,-1038000000.0,131000000.0,1105000000.0,-33000000.0,
Change In Payables And Accrued Expense,-111000000.0,219000000.0,-145000000.0,155000000.0,-322000000.0,
Change In Accrued Expense,-111000000.0,219000000.0,-145000000.0,155000000.0,-322000000.0,
Change In Prepaid Assets,-142000000.0,71000000.0,-196000000.0,-79000000.0,-141000000.0,
Other Non Cash Items,63000000.0,65000000.0,74000000.0,71000000.0,-18000000.0,
Stock Based Compensation,411000000.0,399000000.0,424000000.0,358000000.0,368000000.0,
Deferred Tax,40000000.0,266000000.0,,,129000000.0,239000000.0
Deferred Income Tax,40000000.0,266000000.0,,,129000000.0,239000000.0
Depreciation Amortization Depletion,,,,25000000.0,22000000.0,15000000.0
Depreciation And Amortization,,,,25000000.0,22000000.0,15000000.0
Net Income From Continuing Operations,341000000.0,1374000000.0,642000000.0,154000000.0,461000000.0,
