,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,2626000000.0,2291000000.0,1545000000.0,933000000.0,2148000000.0,
Repurchase Of Capital Stock,-302000000.0,-305000000.0,-6000000.0,-280000000.0,-315000000.0,
Repayment Of Debt,-1000000.0,-501000000.0,-1000000.0,-1001000000.0,-640000000.0,
Issuance Of Debt,2000000.0,0.0,2000000.0,1000000.0,1000000.0,
Capital Expenditure,-689000000.0,-496000000.0,-502000000.0,-484000000.0,-720000000.0,
End Cash Position,8522000000.0,7511000000.0,6951000000.0,6532000000.0,7616000000.0,
Beginning Cash Position,7511000000.0,6951000000.0,6532000000.0,7616000000.0,7558000000.0,
Effect Of Exchange Rate Changes,6000000.0,-10000000.0,51000000.0,24000000.0,-83000000.0,
Changes In Cash,1005000000.0,570000000.0,368000000.0,-1108000000.0,141000000.0,
Financing Cash Flow,-1397000000.0,-1760000000.0,-1097000000.0,-2055000000.0,-1861000000.0,
Cash Flow From Continuing Financing Activities,-1397000000.0,-1760000000.0,-1097000000.0,-2055000000.0,-1861000000.0,
Net Other Financing Charges,0.0,0.0,,,,
Proceeds From Stock Option Exercised,5000000.0,69000000.0,35000000.0,287000000.0,25000000.0,
Cash Dividends Paid,-1030000000.0,-1031000000.0,-1029000000.0,-1026000000.0,-958000000.0,
Common Stock Dividend Paid,-1030000000.0,-1031000000.0,-1029000000.0,-1026000000.0,-958000000.0,
Net Common Stock Issuance,-302000000.0,-305000000.0,-6000000.0,-280000000.0,-315000000.0,
Common Stock Payments,-302000000.0,-305000000.0,-6000000.0,-280000000.0,-315000000.0,
Net Issuance Payments Of Debt,-70000000.0,-493000000.0,-15000000.0,-1036000000.0,-613000000.0,
Net Short Term Debt Issuance,-71000000.0,8000000.0,-16000000.0,-36000000.0,26000000.0,
Net Long Term Debt Issuance,1000000.0,-501000000.0,1000000.0,-1000000000.0,-639000000.0,
Long Term Debt Payments,-1000000.0,-501000000.0,-1000000.0,-1001000000.0,-640000000.0,
Long Term Debt Issuance,2000000.0,0.0,2000000.0,1000000.0,1000000.0,
Investing Cash Flow,-913000000.0,-457000000.0,-582000000.0,-470000000.0,-866000000.0,
Cash Flow From Continuing Investing Activities,-913000000.0,-457000000.0,-582000000.0,-470000000.0,-866000000.0,
Net Other Investing Changes,6000000.0,4000000.0,2000000.0,6000000.0,4000000.0,
Net Investment Purchase And Sale,-210000000.0,90000000.0,-52000000.0,8000000.0,-150000000.0,
Net Business Purchase And Sale,-20000000.0,-55000000.0,,,0.0,0.0
Sale Of Business,0.0,0.0,,,0.0,0.0
Purchase Of Business,-20000000.0,-55000000.0,,,0.0,0.0
Net PPE Purchase And Sale,-689000000.0,-496000000.0,-502000000.0,-484000000.0,-720000000.0,
Purchase Of PPE,-689000000.0,-496000000.0,-502000000.0,-484000000.0,-720000000.0,
Operating Cash Flow,3315000000.0,2787000000.0,2047000000.0,1417000000.0,2868000000.0,
Cash Flow From Continuing Operating Activities,3315000000.0,2787000000.0,2047000000.0,1417000000.0,2868000000.0,
Change In Working Capital,110000000.0,11000000.0,-407000000.0,-517000000.0,-8391000000.0,
Change In Inventory,234000000.0,213000000.0,3000000.0,-255000000.0,235000000.0,
Change In Receivables,222000000.0,-202000000.0,-410000000.0,-262000000.0,-158000000.0,
Changes In Account Receivables,222000000.0,-202000000.0,-410000000.0,-262000000.0,-158000000.0,
Other Non Cash Items,,221000000.0,-244000000.0,-436000000.0,,-22000000.0
Stock Based Compensation,113000000.0,120000000.0,142000000.0,289000000.0,111000000.0,
Depreciation Amortization Depletion,792000000.0,791000000.0,777000000.0,756000000.0,807000000.0,
Depreciation And Amortization,792000000.0,791000000.0,777000000.0,756000000.0,807000000.0,
Amortization Cash Flow,422000000.0,420000000.0,420000000.0,420000000.0,465000000.0,
Amortization Of Intangibles,422000000.0,420000000.0,420000000.0,420000000.0,465000000.0,
Depreciation,370000000.0,371000000.0,357000000.0,336000000.0,342000000.0,
Net Income From Continuing Operations,1776000000.0,1644000000.0,1779000000.0,1325000000.0,9229000000.0,
