,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,3702290.076336,4179816.513761,1898139.534884,1783464.566929,2100000.0
Tax Rate For Calcs,0.246819,0.245872,0.172558,0.254781,0.21
Normalized EBITDA,3255000000.0,3075000000.0,3037000000.0,2658000000.0,2963000000.0
Total Unusual Items,15000000.0,17000000.0,11000000.0,7000000.0,10000000.0
Total Unusual Items Excluding Goodwill,15000000.0,17000000.0,11000000.0,7000000.0,10000000.0
Net Income From Continuing Operation Net Minority Interest,1776000000.0,1644000000.0,1779000000.0,1325000000.0,9229000000.0
Reconciled Depreciation,792000000.0,791000000.0,777000000.0,756000000.0,807000000.0
Reconciled Cost Of Revenue,4552000000.0,4704000000.0,4497000000.0,4132000000.0,4600000000.0
EBITDA,3270000000.0,3092000000.0,3048000000.0,2665000000.0,2973000000.0
EBIT,2478000000.0,2301000000.0,2271000000.0,1909000000.0,2166000000.0
Net Interest Income,-42000000.0,-44000000.0,-50000000.0,-49000000.0,-45000000.0
Interest Expense,120000000.0,121000000.0,121000000.0,131000000.0,136000000.0
Interest Income,78000000.0,77000000.0,71000000.0,82000000.0,91000000.0
Normalized Income,1764702290.076336,1631179816.513761,1769898139.534884,1319783464.566929,9221100000.0
Net Income From Continuing And Discontinued Operation,1776000000.0,1644000000.0,1779000000.0,1325000000.0,9229000000.0
Total Expenses,9208000000.0,9312000000.0,9090000000.0,8665000000.0,9063000000.0
Total Operating Income As Reported,2251000000.0,2057000000.0,2052000000.0,1693000000.0,1911000000.0
Diluted Average Shares,1747000000.0,1749000000.0,1751000000.0,1747220000.0,1746000000.0
Basic Average Shares,1736599451.0,1738871947.0,1740459014.0,1739206000.0,1731697991.0
Diluted EPS,1.01,0.94,1.01,0.76,5.27
Basic EPS,1.022688,0.945441,1.022144,0.76,5.329451
Diluted NI Availto Com Stockholders,1776000000.0,1644000000.0,1779000000.0,1325000000.0,9229000000.0
Net Income Common Stockholders,1776000000.0,1644000000.0,1779000000.0,1325000000.0,9229000000.0
Net Income,1776000000.0,1644000000.0,1779000000.0,1325000000.0,9229000000.0
Net Income Including Noncontrolling Interests,1776000000.0,1644000000.0,1779000000.0,1325000000.0,9229000000.0
Net Income Continuous Operations,1776000000.0,1644000000.0,1779000000.0,1325000000.0,9229000000.0
Tax Provision,582000000.0,536000000.0,371000000.0,453000000.0,-7199000000.0
Pretax Income,2358000000.0,2180000000.0,2150000000.0,1778000000.0,2030000000.0
Other Income Expense,149000000.0,167000000.0,148000000.0,134000000.0,164000000.0
Other Non Operating Income Expenses,134000000.0,150000000.0,137000000.0,127000000.0,154000000.0
Gain On Sale Of Security,15000000.0,17000000.0,11000000.0,7000000.0,10000000.0
Net Non Operating Interest Income Expense,-42000000.0,-44000000.0,-50000000.0,-49000000.0,-45000000.0
Interest Expense Non Operating,120000000.0,121000000.0,121000000.0,131000000.0,136000000.0
Interest Income Non Operating,78000000.0,77000000.0,71000000.0,82000000.0,91000000.0
Operating Income,2251000000.0,2057000000.0,2052000000.0,1693000000.0,1911000000.0
Operating Expense,4286000000.0,4237000000.0,4236000000.0,4197000000.0,4121000000.0
Depreciation Amortization Depletion Income Statement,422000000.0,420000000.0,420000000.0,420000000.0,465000000.0
Depreciation And Amortization In Income Statement,422000000.0,420000000.0,420000000.0,420000000.0,465000000.0
Amortization,422000000.0,420000000.0,420000000.0,420000000.0,465000000.0
Amortization Of Intangibles Income Statement,422000000.0,420000000.0,420000000.0,420000000.0,465000000.0
Research And Development,735000000.0,766000000.0,725000000.0,716000000.0,749000000.0
Selling General And Administration,3129000000.0,3051000000.0,3091000000.0,3061000000.0,2907000000.0
Gross Profit,6537000000.0,6294000000.0,6288000000.0,5890000000.0,6032000000.0
Cost Of Revenue,4922000000.0,5075000000.0,4854000000.0,4468000000.0,4942000000.0
Total Revenue,11459000000.0,11369000000.0,11142000000.0,10358000000.0,10974000000.0
Operating Revenue,11459000000.0,11369000000.0,11142000000.0,10358000000.0,10974000000.0
