,2026-02-28,2025-11-30,2025-08-31,2025-05-31,2025-02-28,2024-11-30,2024-08-31
Free Cash Flow,2921000000.0,3126000000.0,2126000000.0,2144000000.0,2456000000.0,,
Repurchase Of Capital Stock,-2478000000.0,-2474000000.0,-2057000000.0,-3500000000.0,-3250000000.0,,
Repayment Of Debt,0.0,0.0,0.0,0.0,-1500000000.0,,
Issuance Of Debt,0.0,0.0,0.0,0.0,1997000000.0,,
Issuance Of Capital Stock,84000000.0,0.0,252000000.0,0.0,96000000.0,,
Capital Expenditure,-37000000.0,-34000000.0,-72000000.0,-47000000.0,-26000000.0,,
Interest Paid Supplemental Data,79000000.0,50000000.0,81000000.0,67000000.0,48000000.0,,
Income Tax Paid Supplemental Data,125000000.0,514000000.0,523000000.0,1000000000.0,182000000.0,,
End Cash Position,6332000000.0,5431000000.0,4982000000.0,4931000000.0,6758000000.0,,
Beginning Cash Position,5431000000.0,4982000000.0,4931000000.0,6758000000.0,7613000000.0,,
Effect Of Exchange Rate Changes,13000000.0,-10000000.0,8000000.0,48000000.0,-12000000.0,,
Changes In Cash,888000000.0,459000000.0,43000000.0,-1875000000.0,-843000000.0,,
Financing Cash Flow,-2544000000.0,-2555000000.0,-1876000000.0,-3788000000.0,-2841000000.0,,
Cash Flow From Continuing Financing Activities,-2544000000.0,-2555000000.0,-1876000000.0,-3788000000.0,-2841000000.0,,
Net Other Financing Charges,-150000000.0,-81000000.0,-71000000.0,-288000000.0,-184000000.0,,
Net Common Stock Issuance,-2394000000.0,-2474000000.0,-1805000000.0,-3500000000.0,-3154000000.0,,
Common Stock Payments,-2478000000.0,-2474000000.0,-2057000000.0,-3500000000.0,-3250000000.0,,
Common Stock Issuance,84000000.0,0.0,252000000.0,0.0,96000000.0,,
Net Issuance Payments Of Debt,0.0,0.0,0.0,0.0,497000000.0,,
Net Long Term Debt Issuance,0.0,0.0,0.0,0.0,497000000.0,,
Long Term Debt Payments,0.0,0.0,0.0,0.0,-1500000000.0,,
Long Term Debt Issuance,0.0,0.0,0.0,0.0,1997000000.0,,
Investing Cash Flow,474000000.0,-146000000.0,-279000000.0,-278000000.0,-484000000.0,,
Cash Flow From Continuing Investing Activities,474000000.0,-146000000.0,-279000000.0,-278000000.0,-484000000.0,,
Net Other Investing Changes,1000000.0,,,,2000000.0,,
Net Investment Purchase And Sale,510000000.0,-115000000.0,-190000000.0,-229000000.0,-460000000.0,,
Sale Of Investment,920000000.0,486000000.0,440000000.0,116000000.0,132000000.0,,
Purchase Of Investment,-410000000.0,-601000000.0,-630000000.0,-345000000.0,-592000000.0,,
Net Business Purchase And Sale,,0.0,,,,,
Purchase Of Business,,0.0,,,,,
Net PPE Purchase And Sale,-37000000.0,-34000000.0,-72000000.0,-47000000.0,-26000000.0,,
Purchase Of PPE,-37000000.0,-34000000.0,-72000000.0,-47000000.0,-26000000.0,,
Operating Cash Flow,2958000000.0,3160000000.0,2198000000.0,2191000000.0,2482000000.0,,
Cash Flow From Continuing Operating Activities,2958000000.0,3160000000.0,2198000000.0,2191000000.0,2482000000.0,,
Change In Working Capital,276000000.0,741000000.0,-178000000.0,-89000000.0,131000000.0,,
Change In Other Working Capital,340000000.0,496000000.0,200000000.0,-156000000.0,231000000.0,,
Change In Payables And Accrued Expense,-76000000.0,428000000.0,-83000000.0,-105000000.0,-41000000.0,,
Change In Accrued Expense,-450000000.0,375000000.0,-103000000.0,286000000.0,-378000000.0,,
Change In Payable,374000000.0,53000000.0,20000000.0,-391000000.0,337000000.0,,
Change In Account Payable,3000000.0,87000000.0,-30000000.0,35000000.0,-28000000.0,,
Change In Tax Payable,371000000.0,-34000000.0,50000000.0,-426000000.0,365000000.0,,
Change In Income Tax Payable,371000000.0,-34000000.0,50000000.0,-426000000.0,365000000.0,,
Change In Prepaid Assets,-240000000.0,67000000.0,64000000.0,-65000000.0,-156000000.0,,
Change In Receivables,252000000.0,-250000000.0,-359000000.0,237000000.0,97000000.0,,
Changes In Account Receivables,252000000.0,-250000000.0,-359000000.0,237000000.0,97000000.0,,
Other Non Cash Items,46000000.0,11000000.0,2000000.0,18000000.0,17000000.0,,
Stock Based Compensation,509000000.0,489000000.0,497000000.0,481000000.0,475000000.0,,
Unrealized Gain Loss On Investment Securities,,,,,,-11000000.0,-10000000.0
Deferred Tax,64000000.0,-121000000.0,-103000000.0,-119000000.0,-169000000.0,,
Deferred Income Tax,64000000.0,-121000000.0,-103000000.0,-119000000.0,-169000000.0,,
Depreciation Amortization Depletion,174000000.0,184000000.0,208000000.0,209000000.0,217000000.0,,
Depreciation And Amortization,174000000.0,184000000.0,208000000.0,209000000.0,217000000.0,,
Depreciation,174000000.0,184000000.0,208000000.0,209000000.0,217000000.0,,
Operating Gains Losses,,,,,,21000000.0,19000000.0
Gain Loss On Sale Of PPE,,,,,,21000000.0,19000000.0
Net Income From Continuing Operations,1889000000.0,1856000000.0,1772000000.0,1691000000.0,1811000000.0,,
