,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,2900000000.0,3236000000.0,1874000000.0,1872000000.0,1655000000.0,
Repurchase Of Capital Stock,-434000000.0,-360000000.0,-340000000.0,-99000000.0,-2000000.0,
Repayment Of Debt,-600000000.0,0.0,,,0.0,0.0
Issuance Of Debt,0.0,0.0,,,0.0,0.0
Issuance Of Capital Stock,,,,,0.0,0.0
Capital Expenditure,-89000000.0,-48000000.0,,-92000000.0,-50000000.0,-63000000.0
End Cash Position,678000000.0,931000000.0,995000000.0,840000000.0,704000000.0,
Other Cash Adjustment Outside Changein Cash,,91000000.0,110000000.0,-201000000.0,,-114000000.0
Beginning Cash Position,931000000.0,995000000.0,840000000.0,704000000.0,816000000.0,
Changes In Cash,-253000000.0,-155000000.0,45000000.0,337000000.0,-226000000.0,
Financing Cash Flow,-1293000000.0,-634000000.0,-620000000.0,-334000000.0,-260000000.0,
Cash Flow From Continuing Financing Activities,-1293000000.0,-634000000.0,-620000000.0,-334000000.0,-260000000.0,
Net Other Financing Charges,23000000.0,7000000.0,4000000.0,23000000.0,0.0,
Proceeds From Stock Option Exercised,10000000.0,12000000.0,11000000.0,15000000.0,14000000.0,
Cash Dividends Paid,-292000000.0,-293000000.0,-295000000.0,-273000000.0,-272000000.0,
Preferred Stock Dividend Paid,-29000000.0,-29000000.0,-30000000.0,-29000000.0,-29000000.0,
Common Stock Dividend Paid,-263000000.0,-264000000.0,-265000000.0,-244000000.0,-243000000.0,
Net Preferred Stock Issuance,,,,,0.0,0.0
Preferred Stock Payments,,,,,0.0,0.0
Preferred Stock Issuance,,,,,0.0,0.0
Net Common Stock Issuance,-434000000.0,-360000000.0,-340000000.0,-99000000.0,-2000000.0,
Common Stock Payments,-434000000.0,-360000000.0,-340000000.0,-99000000.0,-2000000.0,
Net Issuance Payments Of Debt,-600000000.0,0.0,,,0.0,0.0
Net Long Term Debt Issuance,,,,,0.0,0.0
Long Term Debt Payments,-600000000.0,0.0,,,0.0,0.0
Long Term Debt Issuance,0.0,0.0,,,0.0,0.0
Investing Cash Flow,-1949000000.0,-2805000000.0,-1208000000.0,-1293000000.0,-1671000000.0,
Cash Flow From Continuing Investing Activities,-1949000000.0,-2805000000.0,-1208000000.0,-1293000000.0,-1671000000.0,
Net Investment Purchase And Sale,-1906000000.0,-3945000000.0,-3109000000.0,-1081000000.0,-1294000000.0,
Sale Of Investment,17092000000.0,26275000000.0,24100000000.0,13271000000.0,14016000000.0,
Purchase Of Investment,-18998000000.0,-30220000000.0,-27209000000.0,-14352000000.0,-15310000000.0,
Net Business Purchase And Sale,108000000.0,1219000000.0,1938000000.0,-136000000.0,-308000000.0,
Sale Of Business,416000000.0,1490000000.0,2273000000.0,219000000.0,224000000.0,
Purchase Of Business,-308000000.0,-271000000.0,-335000000.0,-355000000.0,-532000000.0,
Net PPE Purchase And Sale,-89000000.0,-48000000.0,1000000.0,-92000000.0,-50000000.0,
Sale Of PPE,0.0,0.0,0.0,0.0,0.0,
Purchase Of PPE,-89000000.0,-48000000.0,1000000.0,-92000000.0,-50000000.0,
Operating Cash Flow,2989000000.0,3284000000.0,1873000000.0,1964000000.0,1705000000.0,
Cash Flow From Continuing Operating Activities,2989000000.0,3284000000.0,1873000000.0,1964000000.0,1705000000.0,
Change In Working Capital,-875000000.0,505000000.0,393000000.0,809000000.0,-485000000.0,
Change In Other Working Capital,51000000.0,682000000.0,-804000000.0,292000000.0,-106000000.0,
Change In Receivables,1306000000.0,-174000000.0,325000000.0,-1658000000.0,487000000.0,
Changes In Account Receivables,1306000000.0,-174000000.0,325000000.0,-1658000000.0,487000000.0,
Depreciation And Amortization,108000000.0,115000000.0,127000000.0,132000000.0,151000000.0,
Depreciation,108000000.0,115000000.0,127000000.0,132000000.0,,
Operating Gains Losses,-69000000.0,-1074000000.0,-811000000.0,408000000.0,138000000.0,
Pension And Employee Benefit Expense,-5000000.0,-108000000.0,0.0,78000000.0,-52000000.0,
Earnings Losses From Equity Investments,-6000000.0,32000000.0,-13000000.0,5000000.0,-4000000.0,
Gain Loss On Investment Securities,-65000000.0,-278000000.0,92000000.0,325000000.0,194000000.0,
Gain Loss On Sale Of Business,7000000.0,-720000000.0,,,,
Net Income From Continuing Operations,3827000000.0,3744000000.0,2099000000.0,596000000.0,1890000000.0,
