,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-4427263.479145,156769000.0,195125000.0,-2737134.909597,-2282564.311964,
Tax Rate For Calcs,0.221363,0.223,0.223,0.171071,0.228256,
Total Unusual Items,-20000000.0,703000000.0,875000000.0,-16000000.0,-10000000.0,
Total Unusual Items Excluding Goodwill,-20000000.0,703000000.0,875000000.0,-16000000.0,-10000000.0,
Net Income From Continuing Operation Net Minority Interest,3832000000.0,3746000000.0,2109000000.0,595000000.0,1928000000.0,
Reconciled Depreciation,108000000.0,115000000.0,127000000.0,132000000.0,151000000.0,
EBIT,5013000000.0,4920000000.0,2803000000.0,819000000.0,2550000000.0,
Net Interest Income,-98000000.0,-101000000.0,-100000000.0,-100000000.0,-101000000.0,
Interest Expense,98000000.0,101000000.0,100000000.0,100000000.0,101000000.0,
Normalized Income,3847572736.520855,3199769000.0,1429125000.0,608262865.090403,1935717435.688036,
Net Income From Continuing And Discontinued Operation,3832000000.0,3746000000.0,2109000000.0,595000000.0,1928000000.0,
Total Expenses,12284000000.0,12242000000.0,13843000000.0,15544000000.0,13893000000.0,
Diluted Average Shares,264700000.0,266400000.0,267900000.0,268800000.0,268700000.0,
Basic Average Shares,261300000.0,263100000.0,264600000.0,265300000.0,265100000.0,
Diluted EPS,14.37,13.95,7.76,2.11,7.07,
Basic EPS,14.55,14.13,7.86,2.13,7.16,
Diluted NI Availto Com Stockholders,3803000000.0,3717000000.0,2079000000.0,566000000.0,1899000000.0,
Net Income Common Stockholders,3803000000.0,3717000000.0,2079000000.0,566000000.0,1899000000.0,
Preferred Stock Dividends,29000000.0,29000000.0,30000000.0,29000000.0,29000000.0,
Net Income,3832000000.0,3746000000.0,2109000000.0,595000000.0,1928000000.0,
Minority Interests,5000000.0,2000000.0,10000000.0,-1000000.0,38000000.0,
Net Income Including Noncontrolling Interests,3827000000.0,3744000000.0,2099000000.0,596000000.0,1890000000.0,
Net Income Continuous Operations,3827000000.0,3744000000.0,2099000000.0,596000000.0,1890000000.0,
Tax Provision,1088000000.0,1075000000.0,604000000.0,123000000.0,559000000.0,
Pretax Income,4915000000.0,4819000000.0,2703000000.0,719000000.0,2449000000.0,
Other Income Expense,755000000.0,691000000.0,747000000.0,762000000.0,801000000.0,
Special Income Charges,-20000000.0,703000000.0,875000000.0,-16000000.0,-10000000.0,
Other Special Charges,7000000.0,-720000000.0,-890000000.0,,,
Restructuring And Mergern Acquisition,13000000.0,17000000.0,15000000.0,16000000.0,10000000.0,
Net Non Operating Interest Income Expense,-98000000.0,-101000000.0,-100000000.0,-100000000.0,-101000000.0,
Interest Expense Non Operating,98000000.0,101000000.0,100000000.0,100000000.0,101000000.0,
Other Operating Expenses,2332000000.0,2265000000.0,2135000000.0,2245000000.0,2505000000.0,
Depreciation And Amortization In Income Statement,56000000.0,59000000.0,57000000.0,59000000.0,70000000.0,
Amortization,56000000.0,59000000.0,57000000.0,59000000.0,70000000.0,
Selling General And Administration,-5000000.0,-108000000.0,0.0,78000000.0,-52000000.0,
General And Administrative Expense,-5000000.0,-108000000.0,,78000000.0,-52000000.0,26000000.0
Salaries And Wages,-5000000.0,-108000000.0,0.0,78000000.0,-52000000.0,
Total Revenue,17199000000.0,17061000000.0,16546000000.0,16263000000.0,16342000000.0,
Operating Revenue,17199000000.0,17061000000.0,16546000000.0,16263000000.0,16342000000.0,
Loss Adjustment Expense,7804000000.0,8721000000.0,10437000000.0,11148000000.0,9361000000.0,
Net Policyholder Benefits And Claims,7804000000.0,8721000000.0,10437000000.0,11148000000.0,9361000000.0,
