,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.119551,0.18,0.086735,0.123,0.19821
Normalized EBITDA,3299000000.0,5913000000.0,3603000000.0,4083000000.0,2926000000.0
Net Income From Continuing Operation Net Minority Interest,1333000000.0,3216000000.0,1432000000.0,1730000000.0,627000000.0
Reconciled Depreciation,1132000000.0,1307000000.0,1341000000.0,1387000000.0,1397000000.0
Reconciled Cost Of Revenue,2976000000.0,3082000000.0,3011000000.0,2968000000.0,3112000000.0
EBITDA,3299000000.0,5913000000.0,3603000000.0,4083000000.0,2926000000.0
EBIT,2167000000.0,4606000000.0,2262000000.0,2696000000.0,1529000000.0
Net Interest Income,-653000000.0,-685000000.0,-694000000.0,-723000000.0,-747000000.0
Interest Expense,653000000.0,685000000.0,694000000.0,723000000.0,747000000.0
Normalized Income,1333000000.0,3216000000.0,1432000000.0,1730000000.0,627000000.0
Net Income From Continuing And Discontinued Operation,1333000000.0,3216000000.0,1432000000.0,1730000000.0,627000000.0
Total Expenses,7146000000.0,7031000000.0,6523000000.0,6971000000.0,6775000000.0
Total Operating Income As Reported,2720000000.0,2526000000.0,2656000000.0,1178000000.0,2311000000.0
Diluted Average Shares,543000000.0,542000000.0,541000000.0,541000000.0,542000000.0
Basic Average Shares,539000000.0,538000000.0,538000000.0,538000000.0,537000000.0
Diluted EPS,2.45,5.93,2.65,3.2,1.16
Basic EPS,2.47,5.98,2.66,3.22,1.17
Diluted NI Availto Com Stockholders,1333000000.0,3216000000.0,1432000000.0,1730000000.0,627000000.0
Net Income Common Stockholders,1333000000.0,3216000000.0,1432000000.0,1730000000.0,627000000.0
Net Income,1333000000.0,3216000000.0,1432000000.0,1730000000.0,627000000.0
Net Income Including Noncontrolling Interests,1333000000.0,3216000000.0,1432000000.0,1730000000.0,627000000.0
Net Income Continuous Operations,1333000000.0,3216000000.0,1432000000.0,1730000000.0,627000000.0
Tax Provision,181000000.0,705000000.0,136000000.0,243000000.0,155000000.0
Pretax Income,1514000000.0,3921000000.0,1568000000.0,1973000000.0,782000000.0
Other Income Expense,-553000000.0,2080000000.0,-394000000.0,1518000000.0,-782000000.0
Other Non Operating Income Expenses,-553000000.0,2080000000.0,-394000000.0,1518000000.0,-782000000.0
Net Non Operating Interest Income Expense,-653000000.0,-685000000.0,-694000000.0,-723000000.0,-747000000.0
Interest Expense Non Operating,653000000.0,685000000.0,694000000.0,723000000.0,747000000.0
Operating Income,2720000000.0,2526000000.0,2656000000.0,1178000000.0,2311000000.0
Operating Expense,4170000000.0,3949000000.0,3512000000.0,4003000000.0,3663000000.0
Other Operating Expenses,76000000.0,329000000.0,77000000.0,830000000.0,61000000.0
Research And Development,2142000000.0,1900000000.0,1744000000.0,1486000000.0,1724000000.0
Selling General And Administration,1952000000.0,1720000000.0,1691000000.0,1687000000.0,1878000000.0
Gross Profit,6890000000.0,6475000000.0,6168000000.0,5181000000.0,5974000000.0
Cost Of Revenue,2976000000.0,3082000000.0,3011000000.0,2968000000.0,3112000000.0
Total Revenue,9866000000.0,9557000000.0,9179000000.0,8149000000.0,9086000000.0
Operating Revenue,9367000000.0,9137000000.0,8771000000.0,7873000000.0,8716000000.0
