,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,227547603.833866,2500796947.106851,143677518.339167,584272614.050464,59714081.166943
Tax Rate For Calcs,0.185905,0.245296,0.128398,0.210019,0.104032
Normalized EBITDA,45531000000.0,35309000000.0,35481000000.0,33700000000.0,37976000000.0
Total Unusual Items,1224000000.0,10195000000.0,1119000000.0,2782000000.0,574000000.0
Total Unusual Items Excluding Goodwill,1224000000.0,10195000000.0,1119000000.0,2782000000.0,574000000.0
Net Income From Continuing Operation Net Minority Interest,21192000000.0,21187000000.0,18164000000.0,17127000000.0,20004000000.0
Reconciled Depreciation,19471000000.0,16796000000.0,15227000000.0,14262000000.0,15631000000.0
Reconciled Cost Of Revenue,109959000000.0,88670000000.0,80809000000.0,76976000000.0,98893000000.0
EBITDA,46755000000.0,45504000000.0,36600000000.0,36482000000.0,38550000000.0
EBIT,27284000000.0,28708000000.0,21373000000.0,22220000000.0,22919000000.0
Net Interest Income,451000000.0,562000000.0,569000000.0,525000000.0,678000000.0
Interest Expense,679000000.0,538000000.0,516000000.0,541000000.0,570000000.0
Interest Income,1130000000.0,1100000000.0,1085000000.0,1066000000.0,1248000000.0
Normalized Income,20195547603.833866,13492796947.106852,17188677518.33917,14929272614.050465,19489714081.166943
Net Income From Continuing And Discontinued Operation,21192000000.0,21187000000.0,18164000000.0,17127000000.0,20004000000.0
Total Expenses,188409000000.0,162747000000.0,148531000000.0,137262000000.0,166589000000.0
Total Operating Income As Reported,24977000000.0,17422000000.0,19171000000.0,18405000000.0,21203000000.0
Diluted Average Shares,10863000000.0,10845000000.0,10806000000.0,10793000000.0,10771000000.0
Basic Average Shares,10709000000.0,10674000000.0,10637000000.0,10603000000.0,10552000000.0
Diluted EPS,1.95,1.95,1.68,1.59,1.86
Basic EPS,1.98,1.98,1.71,1.62,1.9
Diluted NI Availto Com Stockholders,21192000000.0,21187000000.0,18164000000.0,17127000000.0,20004000000.0
Net Income Common Stockholders,21192000000.0,21187000000.0,18164000000.0,17127000000.0,20004000000.0
Net Income,21192000000.0,21187000000.0,18164000000.0,17127000000.0,20004000000.0
Net Income Including Noncontrolling Interests,21192000000.0,21187000000.0,18164000000.0,17127000000.0,20004000000.0
Net Income Continuous Operations,21192000000.0,21187000000.0,18164000000.0,17127000000.0,20004000000.0
Earnings From Equity Interest Net Of Tax,-467000000.0,-73000000.0,-15000000.0,1000000.0,-20000000.0
Tax Provision,4946000000.0,6910000000.0,2678000000.0,4553000000.0,2325000000.0
Pretax Income,26605000000.0,28170000000.0,20857000000.0,21679000000.0,22349000000.0
Other Income Expense,1177000000.0,10186000000.0,1117000000.0,2749000000.0,468000000.0
Other Non Operating Income Expenses,-47000000.0,-9000000.0,-2000000.0,-33000000.0,-106000000.0
Gain On Sale Of Security,1224000000.0,10195000000.0,1119000000.0,2782000000.0,574000000.0
Net Non Operating Interest Income Expense,451000000.0,562000000.0,569000000.0,525000000.0,678000000.0
Interest Expense Non Operating,679000000.0,538000000.0,516000000.0,541000000.0,570000000.0
Interest Income Non Operating,1130000000.0,1100000000.0,1085000000.0,1066000000.0,1248000000.0
Operating Income,24977000000.0,17422000000.0,19171000000.0,18405000000.0,21203000000.0
Operating Expense,78450000000.0,74077000000.0,67722000000.0,60286000000.0,67696000000.0
Other Operating Expenses,61482000000.0,59516000000.0,53341000000.0,47895000000.0,51709000000.0
Selling General And Administration,16968000000.0,14561000000.0,14381000000.0,12391000000.0,15987000000.0
Selling And Marketing Expense,14264000000.0,11686000000.0,11416000000.0,9763000000.0,13124000000.0
General And Administrative Expense,2704000000.0,2875000000.0,2965000000.0,2628000000.0,2863000000.0
Other Gand A,2704000000.0,2875000000.0,2965000000.0,2628000000.0,2863000000.0
Gross Profit,103427000000.0,91499000000.0,86893000000.0,78691000000.0,88899000000.0
Cost Of Revenue,109959000000.0,88670000000.0,80809000000.0,76976000000.0,98893000000.0
Total Revenue,213386000000.0,180169000000.0,167702000000.0,155667000000.0,187792000000.0
Operating Revenue,213386000000.0,180169000000.0,167702000000.0,155667000000.0,187792000000.0
