,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31
Ordinary Shares Number,4736000000.0,4741000000.0,4722000000.0,4703000000.0,4702000000.0,
Share Issued,4736000000.0,4741000000.0,4722000000.0,4703000000.0,4702000000.0,
Net Debt,51883000000.0,48958000000.0,53501000000.0,57799000000.0,57250000000.0,
Total Debt,66057000000.0,65136000000.0,64229000000.0,67282000000.0,66579000000.0,
Tangible Book Value,-48231000000.0,-48782000000.0,-58868000000.0,-64608000000.0,-66665000000.0,
Invested Capital,145929000000.0,146428000000.0,137496000000.0,136857000000.0,136346000000.0,
Working Capital,15203000000.0,13059000000.0,8294000000.0,1584000000.0,80000000.0,
Net Tangible Assets,-48231000000.0,-48782000000.0,-58868000000.0,-64608000000.0,-66665000000.0,
Capital Lease Obligations,,0.0,10000000.0,11000000.0,22000000.0,39000000.0
Common Stock Equity,79872000000.0,81292000000.0,73277000000.0,69586000000.0,69789000000.0,
Total Capitalization,143677000000.0,143276000000.0,136100000000.0,131330000000.0,130704000000.0,
Total Equity Gross Minority Interest,79872000000.0,81292000000.0,73277000000.0,69586000000.0,69789000000.0,
Stockholders Equity,79872000000.0,81292000000.0,73277000000.0,69586000000.0,69789000000.0,
Gains Losses Not Affecting Retained Earnings,212000000.0,218000000.0,221000000.0,206000000.0,207000000.0,
Other Equity Adjustments,212000000.0,218000000.0,221000000.0,206000000.0,207000000.0,
Retained Earnings,6520000000.0,9761000000.0,4040000000.0,2686000000.0,2729000000.0,
Additional Paid In Capital,73135000000.0,71308000000.0,69011000000.0,66689000000.0,66848000000.0,
Capital Stock,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,
Common Stock,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,90031000000.0,89800000000.0,92344000000.0,95044000000.0,95569000000.0,
Total Non Current Liabilities Net Minority Interest,73172000000.0,71286000000.0,75640000000.0,74447000000.0,74659000000.0,
Other Non Current Liabilities,1810000000.0,1423000000.0,1410000000.0,1445000000.0,1467000000.0,
Tradeand Other Payables Non Current,1668000000.0,1628000000.0,3817000000.0,3732000000.0,3621000000.0,
Non Current Deferred Liabilities,5889000000.0,6251000000.0,7583000000.0,7519000000.0,8645000000.0,
Non Current Deferred Revenue,3667000000.0,3547000000.0,4031000000.0,4154000000.0,4628000000.0,
Non Current Deferred Taxes Liabilities,2222000000.0,2704000000.0,3552000000.0,3365000000.0,4017000000.0,
Long Term Debt And Capital Lease Obligation,63805000000.0,61984000000.0,62830000000.0,61751000000.0,60926000000.0,
Long Term Capital Lease Obligation,,0.0,7000000.0,7000000.0,11000000.0,13000000.0
Long Term Debt,63805000000.0,61984000000.0,62823000000.0,61744000000.0,60915000000.0,
Current Liabilities,16859000000.0,18514000000.0,16704000000.0,20597000000.0,20910000000.0,
Other Current Liabilities,682000000.0,663000000.0,795000000.0,992000000.0,1124000000.0,
Current Deferred Liabilities,9188000000.0,9469000000.0,10305000000.0,10303000000.0,9908000000.0,
Current Deferred Revenue,9188000000.0,9469000000.0,10305000000.0,10303000000.0,9908000000.0,
Current Debt And Capital Lease Obligation,2252000000.0,3152000000.0,1399000000.0,5531000000.0,5653000000.0,
Current Capital Lease Obligation,,0.0,3000000.0,4000000.0,11000000.0,26000000.0
Current Debt,2252000000.0,3152000000.0,1396000000.0,5527000000.0,5642000000.0,
Other Current Borrowings,,3152000000.0,900000000.0,1650000000.0,1650000000.0,1245000000.0
Commercial Paper,,,496000000.0,3877000000.0,3992000000.0,
Pensionand Other Post Retirement Benefit Plans Current,864000000.0,2129000000.0,1719000000.0,1266000000.0,922000000.0,
Payables And Accrued Expenses,3873000000.0,3101000000.0,2486000000.0,2505000000.0,3303000000.0,
Current Accrued Expenses,673000000.0,620000000.0,644000000.0,562000000.0,575000000.0,
