,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Preferred Shares Number,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,
Ordinary Shares Number,686000000.0,689000000.0,696000000.0,701109524.0,702000000.0,
Share Issued,686000000.0,689000000.0,696000000.0,701109524.0,702000000.0,
Net Debt,10051000000.0,5765000000.0,1865000000.0,389000000.0,10537000000.0,
Total Debt,57759000000.0,59233000000.0,59695000000.0,52795000000.0,51089000000.0,
Tangible Book Value,28511000000.0,32417000000.0,32311000000.0,31202000000.0,25954000000.0,
Invested Capital,91233000000.0,91650000000.0,92006000000.0,83997000000.0,81353000000.0,
Net Tangible Assets,28511000000.0,32417000000.0,32311000000.0,31202000000.0,25954000000.0,
Common Stock Equity,33474000000.0,32417000000.0,32311000000.0,31202000000.0,30264000000.0,
Total Capitalization,89862000000.0,90204000000.0,90513000000.0,82438000000.0,79979000000.0,
Total Equity Gross Minority Interest,33474000000.0,32417000000.0,32311000000.0,31202000000.0,30264000000.0,
Stockholders Equity,33474000000.0,32417000000.0,32311000000.0,31202000000.0,30264000000.0,
Gains Losses Not Affecting Retained Earnings,-3277000000.0,-3249000000.0,-3248000000.0,-3366000000.0,-3395000000.0,
Foreign Currency Translation Adjustments,-2783000000.0,-2798000000.0,-2792000000.0,-2907000000.0,-2924000000.0,
Minimum Pension Liabilities,-490000000.0,-446000000.0,-450000000.0,-453000000.0,-462000000.0,
Unrealized Gain Loss,-4000000.0,-5000000.0,-6000000.0,-6000000.0,-9000000.0,
Retained Earnings,25487000000.0,24469000000.0,24367000000.0,23391000000.0,22148000000.0,
Additional Paid In Capital,11126000000.0,11059000000.0,11052000000.0,11037000000.0,11370000000.0,
Capital Stock,138000000.0,138000000.0,140000000.0,140000000.0,141000000.0,
Common Stock,138000000.0,138000000.0,140000000.0,140000000.0,141000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,266578000000.0,265133000000.0,263245000000.0,251042000000.0,241197000000.0,
Employee Benefits,3091000000.0,,,,2676000000.0,
Non Current Deferred Liabilities,4655000000.0,,,,4042000000.0,
Non Current Deferred Revenue,4655000000.0,,,,4042000000.0,
Long Term Debt And Capital Lease Obligation,56388000000.0,57787000000.0,58202000000.0,51236000000.0,49715000000.0,
Long Term Debt,56388000000.0,57787000000.0,58202000000.0,51236000000.0,49715000000.0,
Current Debt And Capital Lease Obligation,1371000000.0,1446000000.0,1493000000.0,1559000000.0,1374000000.0,
Current Debt,1371000000.0,1446000000.0,1493000000.0,1559000000.0,1374000000.0,
Other Current Borrowings,1371000000.0,1446000000.0,1493000000.0,1559000000.0,1374000000.0,
Payables And Accrued Expenses,18348000000.0,14708000000.0,14121000000.0,13564000000.0,17391000000.0,
Current Accrued Expenses,2247000000.0,,,,2121000000.0,
Payables,16101000000.0,14708000000.0,14121000000.0,13564000000.0,15270000000.0,
Total Tax Payable,1401000000.0,,,,1386000000.0,
Income Tax Payable,1401000000.0,,,,1386000000.0,
Accounts Payable,14700000000.0,14708000000.0,14121000000.0,13564000000.0,13884000000.0,
Total Assets,300052000000.0,297550000000.0,295556000000.0,282244000000.0,271461000000.0,
Investments And Advances,1043000000.0,1374000000.0,1258000000.0,1110000000.0,1240000000.0,
Available For Sale Securities,217000000.0,235000000.0,270000000.0,1110000000.0,48000000.0,
Goodwill And Other Intangible Assets,4963000000.0,,,,4310000000.0,
Other Intangible Assets,90000000.0,,,,123000000.0,
Goodwill,4873000000.0,,,,4187000000.0,
Net PPE,7116000000.0,5861000000.0,5662000000.0,5383000000.0,6175000000.0,
Accumulated Depreciation,-12039000000.0,-11754000000.0,-11369000000.0,-11130000000.0,-10739000000.0,
Gross PPE,19155000000.0,17615000000.0,17031000000.0,16513000000.0,16914000000.0,
Other Properties,19155000000.0,,,,16914000000.0,
Other Short Term Investments,826000000.0,1139000000.0,988000000.0,,1192000000.0,867000000.0
Cash And Cash Equivalents,47708000000.0,53468000000.0,57830000000.0,52406000000.0,40552000000.0,
Cash Equivalents,658000000.0,38000000.0,101000000.0,173000000.0,139000000.0,
Cash Financial,3559000000.0,3229000000.0,3109000000.0,3010000000.0,3407000000.0,
Cash Cash Equivalents And Federal Funds Sold,47792000000.0,54706000000.0,57937000000.0,52508000000.0,40640000000.0,
