,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,2346000000.0,5578000000.0,3745000000.0,4334000000.0,5283000000.0,
Repurchase Of Capital Stock,-899000000.0,-2351000000.0,-1356000000.0,-1208000000.0,-1031000000.0,
Repayment Of Debt,-3261000000.0,-7001000000.0,-4361000000.0,-3534000000.0,-3401000000.0,
Issuance Of Debt,2001000000.0,6459000000.0,11018000000.0,4899000000.0,83000000.0,
Issuance Of Capital Stock,9000000.0,26000000.0,0.0,22000000.0,51000000.0,
Capital Expenditure,-721000000.0,-655000000.0,-619000000.0,-430000000.0,-495000000.0,
End Cash Position,47792000000.0,54706000000.0,57937000000.0,52508000000.0,40640000000.0,
Beginning Cash Position,54706000000.0,57937000000.0,52508000000.0,40640000000.0,47918000000.0,
Effect Of Exchange Rate Changes,120000000.0,91000000.0,184000000.0,10000000.0,-41000000.0,
Changes In Cash,-7034000000.0,-3322000000.0,5245000000.0,11858000000.0,-7237000000.0,
Financing Cash Flow,-154000000.0,-2957000000.0,7678000000.0,6643000000.0,-770000000.0,
Cash Flow From Continuing Financing Activities,-154000000.0,-2957000000.0,7678000000.0,6643000000.0,-770000000.0,
Cash Dividends Paid,-583000000.0,-586000000.0,-593000000.0,-509000000.0,-510000000.0,
Common Stock Dividend Paid,,,-593000000.0,-509000000.0,,
Net Common Stock Issuance,-890000000.0,-2325000000.0,-1356000000.0,-1186000000.0,-980000000.0,
Common Stock Payments,-899000000.0,-2351000000.0,-1356000000.0,-1208000000.0,-1031000000.0,
Common Stock Issuance,9000000.0,26000000.0,0.0,22000000.0,51000000.0,
Net Issuance Payments Of Debt,-1287000000.0,-542000000.0,6657000000.0,1365000000.0,-3280000000.0,
Net Short Term Debt Issuance,-28000000.0,-20000000.0,-110000000.0,131000000.0,38000000.0,
Short Term Debt Issuance,,-20000000.0,-110000000.0,131000000.0,,
Net Long Term Debt Issuance,-1259000000.0,-522000000.0,6767000000.0,1234000000.0,-3318000000.0,
Long Term Debt Payments,-3261000000.0,-7001000000.0,-4361000000.0,-3534000000.0,-3401000000.0,
Long Term Debt Issuance,2002000000.0,6479000000.0,11128000000.0,4768000000.0,83000000.0,
Investing Cash Flow,-9947000000.0,-6598000000.0,-6797000000.0,451000000.0,-12245000000.0,
Cash Flow From Continuing Investing Activities,-9947000000.0,-6598000000.0,-6797000000.0,451000000.0,-12245000000.0,
Net Investment Purchase And Sale,136000000.0,-215000000.0,-227000000.0,46000000.0,-72000000.0,
Sale Of Investment,582000000.0,330000000.0,303000000.0,285000000.0,311000000.0,
Purchase Of Investment,-446000000.0,-545000000.0,-530000000.0,-239000000.0,-383000000.0,
Net Business Purchase And Sale,0.0,0.0,,,-364000000.0,-80000000.0
Sale Of Business,0.0,0.0,,,0.0,10000000.0
Purchase Of Business,0.0,0.0,,,-364000000.0,-90000000.0
Net PPE Purchase And Sale,-722000000.0,-654000000.0,-619000000.0,-430000000.0,-495000000.0,
Sale Of PPE,,1000000.0,,,,
Purchase Of PPE,-721000000.0,-655000000.0,-619000000.0,-430000000.0,-495000000.0,
Operating Cash Flow,3067000000.0,6233000000.0,4364000000.0,4764000000.0,5778000000.0,
Cash Flow From Continuing Operating Activities,3067000000.0,6233000000.0,4364000000.0,4764000000.0,5778000000.0,
Change In Working Capital,-1127000000.0,1708000000.0,37000000.0,246000000.0,2081000000.0,
Change In Other Current Assets,-1448000000.0,-181000000.0,-1170000000.0,18000000.0,1229000000.0,
Change In Payables And Accrued Expense,321000000.0,1889000000.0,1207000000.0,228000000.0,852000000.0,
Change In Payable,321000000.0,1889000000.0,1207000000.0,228000000.0,852000000.0,
Change In Account Payable,321000000.0,1889000000.0,1207000000.0,228000000.0,852000000.0,
Other Non Cash Items,-385000000.0,13000000.0,-152000000.0,213000000.0,-231000000.0,
Stock Based Compensation,141000000.0,125000000.0,127000000.0,158000000.0,111000000.0,
Deferred Tax,100000000.0,-257000000.0,-365000000.0,-20000000.0,-73000000.0,
Deferred Income Tax,100000000.0,-257000000.0,-365000000.0,-20000000.0,-73000000.0,
Depreciation Amortization Depletion,462000000.0,455000000.0,427000000.0,433000000.0,428000000.0,
Depreciation And Amortization,462000000.0,455000000.0,427000000.0,433000000.0,428000000.0,
Net Income From Continuing Operations,2462000000.0,2902000000.0,2885000000.0,2584000000.0,2170000000.0,
