,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,366000000.0,238000000.0,-200000000.0,-2290000000.0,-4098000000.0,
Repayment Of Debt,-2900000000.0,-44000000.0,-382000000.0,-295000000.0,-3849000000.0,
Issuance Of Debt,27000000.0,40000000.0,69000000.0,29000000.0,41000000.0,
Capital Expenditure,-965000000.0,-885000000.0,-427000000.0,-674000000.0,-648000000.0,
End Cash Position,10921000000.0,6173000000.0,7087000000.0,10142000000.0,13801000000.0,
Other Cash Adjustment Outside Changein Cash,-33000000.0,0.0,-688000000.0,-21000000.0,0.0,
Beginning Cash Position,6173000000.0,7087000000.0,10142000000.0,13822000000.0,9961000000.0,
Effect Of Exchange Rate Changes,1000000.0,5000000.0,22000000.0,12000000.0,-55000000.0,
Changes In Cash,4780000000.0,-919000000.0,-2389000000.0,-3671000000.0,3895000000.0,
Financing Cash Flow,-2951000000.0,-87000000.0,-387000000.0,-338000000.0,19971000000.0,
Cash Flow From Continuing Financing Activities,-2951000000.0,-87000000.0,-387000000.0,-338000000.0,19971000000.0,
Net Other Financing Charges,9000000.0,3000000.0,,,-78000000.0,12000000.0
Cash Dividends Paid,-87000000.0,-86000000.0,-86000000.0,-72000000.0,,
Preferred Stock Dividend Paid,-87000000.0,-86000000.0,-86000000.0,-72000000.0,,
Net Issuance Payments Of Debt,-2873000000.0,-4000000.0,-313000000.0,-266000000.0,-3808000000.0,
Net Long Term Debt Issuance,-2873000000.0,-4000000.0,-313000000.0,-266000000.0,-3808000000.0,
Long Term Debt Payments,-2900000000.0,-44000000.0,-382000000.0,-295000000.0,-3849000000.0,
Long Term Debt Issuance,27000000.0,40000000.0,69000000.0,29000000.0,41000000.0,
Investing Cash Flow,6400000000.0,-1955000000.0,-2229000000.0,-1717000000.0,-12626000000.0,
Cash Flow From Continuing Investing Activities,6400000000.0,-1955000000.0,-2229000000.0,-1717000000.0,-12626000000.0,
Net Other Investing Changes,-367000000.0,-142000000.0,-151000000.0,1000000.0,-197000000.0,
Net Investment Purchase And Sale,-1647000000.0,-929000000.0,-1687000000.0,-1047000000.0,-11908000000.0,
Sale Of Investment,13954000000.0,13827000000.0,11097000000.0,7750000000.0,197000000.0,
Purchase Of Investment,-15601000000.0,-14756000000.0,-12784000000.0,-8797000000.0,-12105000000.0,
Net Business Purchase And Sale,9302000000.0,0.0,,,124000000.0,0.0
Sale Of Business,10550000000.0,0.0,,,,
Purchase Of Business,,,,,0.0,0.0
Net Intangibles Purchase And Sale,,,,,0.0,0.0
Purchase Of Intangibles,,,,,0.0,0.0
Net PPE Purchase And Sale,-879000000.0,-884000000.0,-426000000.0,-671000000.0,-645000000.0,
Sale Of PPE,77000000.0,1000000.0,1000000.0,3000000.0,3000000.0,
Purchase Of PPE,-956000000.0,-885000000.0,-427000000.0,-674000000.0,-648000000.0,
Operating Cash Flow,1331000000.0,1123000000.0,227000000.0,-1616000000.0,-3450000000.0,
Cash Flow From Continuing Operating Activities,1331000000.0,1123000000.0,227000000.0,-1616000000.0,-3450000000.0,
Change In Working Capital,1541000000.0,304000000.0,-134000000.0,-2713000000.0,-1835000000.0,
Change In Other Working Capital,1355000000.0,-1406000000.0,-1524000000.0,698000000.0,1960000000.0,
Change In Other Current Liabilities,-52000000.0,-82000000.0,-61000000.0,-151000000.0,-101000000.0,
Change In Other Current Assets,-72000000.0,-38000000.0,294000000.0,-29000000.0,10000000.0,
Change In Payables And Accrued Expense,952000000.0,1407000000.0,187000000.0,-481000000.0,321000000.0,
Change In Accrued Expense,767000000.0,822000000.0,138000000.0,-386000000.0,1236000000.0,
Change In Payable,185000000.0,585000000.0,49000000.0,-95000000.0,-915000000.0,
Change In Account Payable,185000000.0,585000000.0,49000000.0,-95000000.0,-915000000.0,
Change In Inventory,-1385000000.0,258000000.0,1147000000.0,-1521000000.0,-5499000000.0,
Change In Receivables,743000000.0,165000000.0,-177000000.0,-1229000000.0,1474000000.0,
Changes In Account Receivables,741000000.0,-153000000.0,-113000000.0,-570000000.0,238000000.0,
Other Non Cash Items,404000000.0,435000000.0,438000000.0,517000000.0,544000000.0,
Stock Based Compensation,83000000.0,89000000.0,119000000.0,135000000.0,97000000.0,
Asset Impairment Charge,13000000.0,2000000.0,23000000.0,7000000.0,64000000.0,
Depreciation Amortization Depletion,536000000.0,491000000.0,460000000.0,466000000.0,509000000.0,
Depreciation And Amortization,536000000.0,491000000.0,460000000.0,466000000.0,509000000.0,
Operating Gains Losses,-9466000000.0,5141000000.0,-67000000.0,3000000.0,1032000000.0,
Gain Loss On Investment Securities,143000000.0,,,,1073000000.0,
Net Income From Continuing Operations,8220000000.0,-5339000000.0,-612000000.0,-31000000.0,-3861000000.0,
