,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,114149296.79048,2730000.0,19320000.0,0.0,3004153.43269
Tax Rate For Calcs,0.0119,0.21,0.21,0.21,0.056682
Normalized EBITDA,-78000000.0,-4027000000.0,517000000.0,1250000000.0,-2882000000.0
Total Unusual Items,9592000000.0,13000000.0,92000000.0,0.0,53000000.0
Total Unusual Items Excluding Goodwill,9592000000.0,13000000.0,92000000.0,0.0,53000000.0
Net Income From Continuing Operation Net Minority Interest,8220000000.0,-5337000000.0,-611000000.0,-37000000.0,-3865000000.0
Reconciled Depreciation,536000000.0,491000000.0,460000000.0,466000000.0,509000000.0
Reconciled Cost Of Revenue,22136000000.0,25645000000.0,20314000000.0,17079000000.0,16831000000.0
EBITDA,9514000000.0,-4014000000.0,609000000.0,1250000000.0,-2829000000.0
EBIT,8978000000.0,-4505000000.0,149000000.0,784000000.0,-3338000000.0
Net Interest Income,-659000000.0,-694000000.0,-710000000.0,-708000000.0,-755000000.0
Interest Expense,659000000.0,694000000.0,710000000.0,708000000.0,755000000.0
Normalized Income,-1257850703.20952,-5347270000.0,-683680000.0,-37000000.0,-3914995846.56731
Net Income From Continuing And Discontinued Operation,8220000000.0,-5337000000.0,-611000000.0,-37000000.0,-3865000000.0
Total Expenses,24763000000.0,28064000000.0,23017000000.0,19035000000.0,19065000000.0
Total Operating Income As Reported,8777000000.0,-4781000000.0,-176000000.0,461000000.0,-3770000000.0
Diluted Average Shares,803800000.0,756700000.0,664130435.0,768750000.0,718100000.0
Basic Average Shares,768083097.0,747478992.0,664130435.0,768750000.0,707875458.0
Diluted EPS,10.23,-7.14,-0.92,-0.16,-5.46
Basic EPS,10.59,-7.14,-0.92,-0.16,-5.46
Diluted NI Availto Com Stockholders,7874000000.0,-5337000000.0,-697000000.0,-123000000.0,-3923000000.0
Net Income Common Stockholders,7874000000.0,-5337000000.0,-697000000.0,-123000000.0,-3923000000.0
Preferred Stock Dividends,,,86000000.0,86000000.0,
Net Income,8220000000.0,-5337000000.0,-611000000.0,-37000000.0,-3865000000.0
Minority Interests,0.0,2000000.0,1000000.0,-6000000.0,-4000000.0
Net Income Including Noncontrolling Interests,8220000000.0,-5339000000.0,-612000000.0,-31000000.0,-3861000000.0
Net Income Continuous Operations,8220000000.0,-5339000000.0,-612000000.0,-31000000.0,-3861000000.0
Tax Provision,99000000.0,140000000.0,51000000.0,107000000.0,-232000000.0
Pretax Income,8319000000.0,-5199000000.0,-561000000.0,76000000.0,-4093000000.0
Other Income Expense,9793000000.0,289000000.0,417000000.0,323000000.0,485000000.0
Other Non Operating Income Expenses,201000000.0,276000000.0,325000000.0,323000000.0,432000000.0
Special Income Charges,9609000000.0,-1000000.0,67000000.0,-3000000.0,41000000.0
Gain On Sale Of Ppe,9609000000.0,-1000000.0,67000000.0,-3000000.0,41000000.0
Gain On Sale Of Security,-17000000.0,14000000.0,25000000.0,3000000.0,12000000.0
Net Non Operating Interest Income Expense,-659000000.0,-694000000.0,-710000000.0,-708000000.0,-755000000.0
Interest Expense Non Operating,659000000.0,694000000.0,710000000.0,708000000.0,755000000.0
Operating Income,-815000000.0,-4794000000.0,-268000000.0,461000000.0,-3823000000.0
Operating Expense,2627000000.0,2419000000.0,2703000000.0,1956000000.0,2234000000.0
Research And Development,964000000.0,897000000.0,910000000.0,844000000.0,836000000.0
Selling General And Administration,1663000000.0,1522000000.0,1793000000.0,1112000000.0,1398000000.0
General And Administrative Expense,1663000000.0,1522000000.0,1793000000.0,1112000000.0,1398000000.0
Other Gand A,1663000000.0,1522000000.0,1793000000.0,1112000000.0,1398000000.0
Gross Profit,1812000000.0,-2375000000.0,2435000000.0,2417000000.0,-1589000000.0
Cost Of Revenue,22136000000.0,25645000000.0,20314000000.0,17079000000.0,16831000000.0
Total Revenue,23948000000.0,23270000000.0,22749000000.0,19496000000.0,15242000000.0
Operating Revenue,23948000000.0,23270000000.0,22749000000.0,19496000000.0,15242000000.0
