,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Preferred Shares Number,,,,,409797847.0
Ordinary Shares Number,7212464345.0,7329421929.0,7436679485.0,7560084716.0,7610862311.0
Share Issued,7212464345.0,7329421929.0,7436679485.0,7560084716.0,7610862311.0
Net Debt,126585000000.0,110965000000.0,85921000000.0,64755000000.0,30184000000.0
Total Debt,365904000000.0,365684000000.0,361309000000.0,345616000000.0,326670000000.0
Tangible Book Value,208230000000.0,209139000000.0,207083000000.0,206061000000.0,201783000000.0
Invested Capital,643155000000.0,643844000000.0,637413000000.0,620698000000.0,597474000000.0
Net Tangible Assets,234222000000.0,235131000000.0,230578000000.0,226560000000.0,224942000000.0
Common Stock Equity,277251000000.0,278160000000.0,276104000000.0,275082000000.0,270804000000.0
Preferred Stock Equity,25992000000.0,25992000000.0,23495000000.0,20499000000.0,23159000000.0
Total Capitalization,621059000000.0,615636000000.0,613017000000.0,599727000000.0,577242000000.0
Total Equity Gross Minority Interest,303243000000.0,304152000000.0,299599000000.0,295581000000.0,293963000000.0
Stockholders Equity,303243000000.0,304152000000.0,299599000000.0,295581000000.0,293963000000.0
Gains Losses Not Affecting Retained Earnings,-10526000000.0,-11745000000.0,-12504000000.0,-13271000000.0,-15285000000.0
Other Equity Adjustments,-10526000000.0,-11745000000.0,-12504000000.0,-13271000000.0,-15285000000.0
Retained Earnings,261693000000.0,258141000000.0,252180000000.0,247315000000.0,240753000000.0
Capital Stock,52076000000.0,57756000000.0,59923000000.0,61537000000.0,68495000000.0
Common Stock,26084000000.0,31764000000.0,36428000000.0,41038000000.0,45336000000.0
Preferred Stock,25992000000.0,25992000000.0,23495000000.0,20499000000.0,23159000000.0
Total Liabilities Net Minority Interest,3108495000000.0,3099564000000.0,3141543000000.0,3053843000000.0,2967336000000.0
Derivative Product Liabilities,42076000000.0,40157000000.0,41693000000.0,35365000000.0,39353000000.0
Long Term Debt And Capital Lease Obligation,317816000000.0,311484000000.0,313418000000.0,304146000000.0,283279000000.0
Long Term Debt,317816000000.0,311484000000.0,313418000000.0,304146000000.0,283279000000.0
Long Term Provisions,1177000000.0,1109000000.0,1143000000.0,1110000000.0,1096000000.0
Current Debt And Capital Lease Obligation,48088000000.0,54200000000.0,47891000000.0,41470000000.0,43391000000.0
Current Debt,48088000000.0,54200000000.0,47891000000.0,41470000000.0,43391000000.0
Other Current Borrowings,48088000000.0,54200000000.0,47891000000.0,41470000000.0,43391000000.0
Total Assets,3411738000000.0,3403716000000.0,3441142000000.0,3349424000000.0,3261299000000.0
Investments And Advances,1106720000000.0,1096833000000.0,1106468000000.0,1107638000000.0,1061416000000.0
Held To Maturity Securities,522660000000.0,531414000000.0,541286000000.0,550720000000.0,558677000000.0
Available For Sale Securities,16177000000.0,14343000000.0,10897000000.0,12310000000.0,12175000000.0
Trading Securities,181085000000.0,160783000000.0,176252000000.0,168359000000.0,144132000000.0
Goodwill And Other Intangible Assets,69021000000.0,69021000000.0,69021000000.0,69021000000.0,69021000000.0
Goodwill,69021000000.0,69021000000.0,69021000000.0,69021000000.0,69021000000.0
Net PPE,12516000000.0,12348000000.0,12254000000.0,12151000000.0,12168000000.0
Receivables,114379000000.0,116099000000.0,109674000000.0,95986000000.0,97919000000.0
Other Receivables,16193000000.0,16236000000.0,15710000000.0,15657000000.0,15672000000.0
Accounts Receivable,98186000000.0,99863000000.0,93964000000.0,80329000000.0,82247000000.0
Other Short Term Investments,386798000000.0,390293000000.0,378033000000.0,376249000000.0,346432000000.0
Cash And Cash Equivalents,239319000000.0,254719000000.0,275388000000.0,280861000000.0,296486000000.0
Cash Financial,28595000000.0,25352000000.0,26661000000.0,24734000000.0,26003000000.0
Cash Cash Equivalents And Federal Funds Sold,555897000000.0,580519000000.0,627780000000.0,609226000000.0,571195000000.0
