,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,401700000.0,1221000000.0,134300000.0,212200000.0,694600000.0,
Repayment Of Debt,0.0,0.0,-1750000000.0,0.0,0.0,
Issuance Of Debt,0.0,-300000.0,,,0.0,0.0
Capital Expenditure,-110200000.0,-51500000.0,-26600000.0,-47100000.0,-66300000.0,
End Cash Position,3008500000.0,3862800000.0,2758800000.0,2598300000.0,2375000000.0,
Beginning Cash Position,3862800000.0,2758800000.0,2598300000.0,2375000000.0,1699200000.0,
Effect Of Exchange Rate Changes,2500000.0,-3200000.0,68300000.0,34300000.0,-74400000.0,
Changes In Cash,-856800000.0,1107200000.0,92200000.0,189000000.0,750200000.0,
Financing Cash Flow,-137000000.0,-130200000.0,-11700000.0,-23000000.0,7900000.0,
Cash Flow From Continuing Financing Activities,-137000000.0,-130200000.0,-11700000.0,-23000000.0,7900000.0,
Net Other Financing Charges,-140000000.0,-135100000.0,-1200000.0,1300000.0,4400000.0,
Proceeds From Stock Option Exercised,3000000.0,5200000.0,6100000.0,-24300000.0,3500000.0,
Net Issuance Payments Of Debt,0.0,-300000.0,-16600000.0,0.0,0.0,
Net Long Term Debt Issuance,0.0,-300000.0,-16600000.0,0.0,0.0,
Long Term Debt Payments,0.0,0.0,-1750000000.0,0.0,0.0,
Long Term Debt Issuance,0.0,-300000.0,,,0.0,0.0
Investing Cash Flow,-1231700000.0,-35100000.0,-57000000.0,-47300000.0,-18600000.0,
Cash Flow From Continuing Investing Activities,-1231700000.0,-35100000.0,-57000000.0,-47300000.0,-18600000.0,
Net Other Investing Changes,22700000.0,50800000.0,-30400000.0,-200000.0,-300000.0,
Net Investment Purchase And Sale,-1144200000.0,-34400000.0,0.0,0.0,48000000.0,
Sale Of Investment,23100000.0,56600000.0,0.0,0.0,48000000.0,
Purchase Of Investment,-1167300000.0,,,,0.0,0.0
Net Business Purchase And Sale,0.0,0.0,,,0.0,-1074800000.0
Sale Of Business,0.0,0.0,,,0.0,0.0
Purchase Of Business,0.0,,,,0.0,
Net Intangibles Purchase And Sale,-66300000.0,-5300000.0,0.0,-10000000.0,-27000000.0,
Sale Of Intangibles,0.0,0.0,,,0.0,-14400000.0
Purchase Of Intangibles,-66300000.0,-5300000.0,0.0,-10000000.0,-27000000.0,
Net PPE Purchase And Sale,-43900000.0,-46200000.0,-26600000.0,-37100000.0,-39300000.0,
Purchase Of PPE,-43900000.0,-46200000.0,-26600000.0,-37100000.0,-39300000.0,
Operating Cash Flow,511900000.0,1272500000.0,160900000.0,259300000.0,760900000.0,
Cash Flow From Continuing Operating Activities,511900000.0,1272500000.0,160900000.0,259300000.0,760900000.0,
Change In Working Capital,-108700000.0,174200000.0,-789600000.0,-333500000.0,28300000.0,
Change In Other Working Capital,-262100000.0,-333800000.0,-625800000.0,15600000.0,-96600000.0,
Change In Payables And Accrued Expense,203800000.0,286000000.0,-18200000.0,-300500000.0,108800000.0,
Change In Accrued Expense,203800000.0,286000000.0,-18200000.0,-300500000.0,108800000.0,
Change In Inventory,-29400000.0,-7400000.0,-89900000.0,62000000.0,-66400000.0,
Change In Receivables,-21000000.0,229400000.0,-55700000.0,-110600000.0,82500000.0,
Changes In Account Receivables,27800000.0,245400000.0,10500000.0,-181000000.0,94700000.0,
Other Non Cash Items,199900000.0,100000000.0,82000000.0,75000000.0,146500000.0,
Stock Based Compensation,59600000.0,75300000.0,74900000.0,81000000.0,75100000.0,
Asset Impairment Charge,57300000.0,0.0,,,40000000.0,20200000.0
Deferred Tax,166900000.0,253800000.0,-31300000.0,-27800000.0,-58400000.0,
Deferred Income Tax,166900000.0,253800000.0,-31300000.0,-27800000.0,-58400000.0,
Depreciation Amortization Depletion,200200000.0,202200000.0,194300000.0,183200000.0,184000000.0,
Depreciation And Amortization,200200000.0,202200000.0,194300000.0,183200000.0,184000000.0,
Amortization Cash Flow,132200000.0,135700000.0,127400000.0,111800000.0,111200000.0,
Amortization Of Intangibles,132200000.0,135700000.0,127400000.0,111800000.0,111200000.0,
Depreciation,68000000.0,66500000.0,66900000.0,71400000.0,72800000.0,
Operating Gains Losses,-14400000.0,500000.0,-7700000.0,40900000.0,78700000.0,
Gain Loss On Investment Securities,-14400000.0,500000.0,-7700000.0,40900000.0,78700000.0,
Gain Loss On Sale Of PPE,0.0,0.0,,,0.0,0.0
Net Income From Continuing Operations,-48900000.0,466500000.0,634800000.0,240500000.0,266700000.0,
