,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-53744464.285714,-4757509.42042,-9422903.225806,-62969800.0,-15424493.996569,
Tax Rate For Calcs,0.126786,0.162928,0.146774,0.227,0.085077,
Normalized EBITDA,635600000.0,856100000.0,1075100000.0,831800000.0,716800000.0,
Total Unusual Items,-423900000.0,-29200000.0,-64200000.0,-277400000.0,-181300000.0,
Total Unusual Items Excluding Goodwill,-423900000.0,-29200000.0,-64200000.0,-277400000.0,-181300000.0,
Net Income From Continuing Operation Net Minority Interest,-48900000.0,466500000.0,634800000.0,240500000.0,266700000.0,
Reconciled Depreciation,200200000.0,202200000.0,194300000.0,183200000.0,184000000.0,
Reconciled Cost Of Revenue,431900000.0,607900000.0,541600000.0,557900000.0,550700000.0,
EBITDA,211700000.0,826900000.0,1010900000.0,554400000.0,535500000.0,
EBIT,11500000.0,624700000.0,816600000.0,371200000.0,351500000.0,
Net Interest Income,-30300000.0,-35800000.0,-40300000.0,-36100000.0,-41500000.0,
Interest Expense,67500000.0,67400000.0,72600000.0,60000000.0,60000000.0,
Interest Income,37200000.0,31600000.0,32300000.0,23900000.0,18500000.0,
Normalized Income,321255535.714286,490942490.57958,689577096.774194,454930200.0,432575506.003431,
Net Income From Continuing And Discontinued Operation,-48900000.0,466500000.0,634800000.0,240500000.0,266700000.0,
Total Expenses,1893900000.0,1928200000.0,1793700000.0,1805800000.0,2004100000.0,
Diluted Average Shares,146700000.0,147100000.0,146700000.0,146600000.0,146100000.0,
Basic Average Shares,146700000.0,146600000.0,146500000.0,146100000.0,145700000.0,
Diluted EPS,-0.33,3.17,4.33,1.64,1.83,
Basic EPS,-0.33,3.18,4.33,1.65,1.83,
Diluted NI Availto Com Stockholders,-48900000.0,466500000.0,634800000.0,240500000.0,266700000.0,
Net Income Common Stockholders,-48900000.0,466500000.0,634800000.0,240500000.0,266700000.0,
Net Income,-48900000.0,466500000.0,634800000.0,240500000.0,266700000.0,
Minority Interests,,,,,0.0,0.0
Net Income Including Noncontrolling Interests,-48900000.0,466500000.0,634800000.0,240500000.0,266700000.0,
Net Income Continuous Operations,-48900000.0,466500000.0,634800000.0,240500000.0,266700000.0,
Tax Provision,-7100000.0,90800000.0,109200000.0,70700000.0,24800000.0,
Pretax Income,-56000000.0,557300000.0,744000000.0,311200000.0,291500000.0,
Other Income Expense,-411200000.0,-13400000.0,-67500000.0,-277900000.0,-117600000.0,
Other Non Operating Income Expenses,12700000.0,15800000.0,-3300000.0,-500000.0,63700000.0,
Special Income Charges,-426600000.0,-15100000.0,-59100000.0,-245600000.0,-97800000.0,
Gain On Sale Of Ppe,,0.0,0.0,,-88600000.0,0.0
Other Special Charges,361900000.0,2100000.0,46600000.0,200700000.0,,
Restructuring And Mergern Acquisition,11800000.0,13000000.0,12500000.0,44900000.0,9200000.0,
Gain On Sale Of Security,2700000.0,-14100000.0,-5100000.0,-31800000.0,-83500000.0,
Net Non Operating Interest Income Expense,-30300000.0,-35800000.0,-40300000.0,-36100000.0,-41500000.0,
Interest Expense Non Operating,67500000.0,67400000.0,72600000.0,60000000.0,60000000.0,
Interest Income Non Operating,37200000.0,31600000.0,32300000.0,23900000.0,18500000.0,
Operating Income,385500000.0,606500000.0,851800000.0,625200000.0,450600000.0,
Operating Expense,1398400000.0,1253800000.0,1188700000.0,1176500000.0,1420600000.0,
Other Operating Expenses,69900000.0,87200000.0,75000000.0,58100000.0,57100000.0,
Depreciation Amortization Depletion Income Statement,136600000.0,135700000.0,130900000.0,111800000.0,151200000.0,
Depreciation And Amortization In Income Statement,136600000.0,135700000.0,130900000.0,111800000.0,151200000.0,
Amortization,136600000.0,135700000.0,130900000.0,111800000.0,151200000.0,
Amortization Of Intangibles Income Statement,136600000.0,135700000.0,130900000.0,111800000.0,151200000.0,
Research And Development,509400000.0,436100000.0,399000000.0,434100000.0,532300000.0,
Selling General And Administration,682500000.0,594800000.0,583800000.0,572500000.0,680000000.0,
Gross Profit,1783900000.0,1860300000.0,2040500000.0,1801700000.0,1871200000.0,
Cost Of Revenue,495500000.0,674400000.0,605000000.0,629300000.0,583500000.0,
Total Revenue,2279400000.0,2534700000.0,2645500000.0,2431000000.0,2454700000.0,
Operating Revenue,2279400000.0,2534700000.0,2645500000.0,2052800000.0,2357700000.0,
