,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-140049782.202862,-6119178.768152,112343250.44405,-4230000.0,3572990.965288
Tax Rate For Calcs,0.231487,0.235353,0.260657,0.141,0.210176
Normalized EBITDA,2721000000.0,2504000000.0,2211000000.0,2153000000.0,2452000000.0
Total Unusual Items,-605000000.0,-26000000.0,431000000.0,-30000000.0,17000000.0
Total Unusual Items Excluding Goodwill,-605000000.0,-26000000.0,431000000.0,-30000000.0,17000000.0
Net Income From Continuing Operation Net Minority Interest,1127000000.0,1323000000.0,1593000000.0,1510000000.0,1670000000.0
Reconciled Depreciation,369000000.0,346000000.0,217000000.0,194000000.0,200000000.0
Reconciled Cost Of Revenue,3709000000.0,3426000000.0,2747000000.0,2673000000.0,2806000000.0
EBITDA,2116000000.0,2478000000.0,2642000000.0,2123000000.0,2469000000.0
EBIT,1747000000.0,2132000000.0,2425000000.0,1929000000.0,2269000000.0
Net Interest Income,-16000000.0,-22000000.0,-29000000.0,7000000.0,46000000.0
Interest Expense,140000000.0,135000000.0,173000000.0,166000000.0,166000000.0
Interest Income,124000000.0,113000000.0,144000000.0,173000000.0,212000000.0
Normalized Income,1591950217.797138,1342880821.231848,1274343250.44405,1535770000.0,1656572990.965288
Net Income From Continuing And Discontinued Operation,1127000000.0,1323000000.0,1593000000.0,1510000000.0,1670000000.0
Total Expenses,4780000000.0,4464000000.0,3573000000.0,3490000000.0,3637000000.0
Rent Expense Supplemental,150000000.0,137000000.0,120000000.0,114000000.0,113000000.0
Total Operating Income As Reported,1661000000.0,1955000000.0,1731000000.0,1698000000.0,2075000000.0
Diluted Average Shares,165400000.0,156900000.0,156300000.0,156600000.0,157000000.0
Basic Average Shares,155100000.0,154900000.0,154900000.0,155000000.0,155000000.0
Diluted EPS,7.16,8.43,10.19,9.64,10.63
Basic EPS,7.27,8.54,10.29,9.74,10.78
Diluted NI Availto Com Stockholders,1184000000.0,1393000000.0,1593000000.0,1510000000.0,1670000000.0
Average Dilution Earnings,57000000.0,70000000.0,,,
Net Income Common Stockholders,1127000000.0,1323000000.0,1593000000.0,1510000000.0,1670000000.0
Net Income,1127000000.0,1323000000.0,1593000000.0,1510000000.0,1670000000.0
Minority Interests,-108000000.0,-204000000.0,-72000000.0,-5000000.0,9000000.0
Net Income Including Noncontrolling Interests,1235000000.0,1527000000.0,1665000000.0,1515000000.0,1661000000.0
Net Income Continuous Operations,1235000000.0,1527000000.0,1665000000.0,1515000000.0,1661000000.0
Tax Provision,372000000.0,470000000.0,587000000.0,248000000.0,442000000.0
Pretax Income,1607000000.0,1997000000.0,2252000000.0,1763000000.0,2103000000.0
Other Income Expense,-605000000.0,-26000000.0,431000000.0,-30000000.0,17000000.0
Special Income Charges,-564000000.0,-93000000.0,-115000000.0,-96000000.0,28000000.0
Restructuring And Mergern Acquisition,455000000.0,93000000.0,115000000.0,96000000.0,-28000000.0
Gain On Sale Of Security,-41000000.0,67000000.0,546000000.0,66000000.0,-11000000.0
Net Non Operating Interest Income Expense,-16000000.0,-22000000.0,-29000000.0,7000000.0,46000000.0
Interest Expense Non Operating,140000000.0,135000000.0,173000000.0,166000000.0,166000000.0
Interest Income Non Operating,124000000.0,113000000.0,144000000.0,173000000.0,212000000.0
Operating Income,2228000000.0,2045000000.0,1850000000.0,1786000000.0,2040000000.0
Operating Expense,970000000.0,945000000.0,746000000.0,740000000.0,756000000.0
Depreciation Amortization Depletion Income Statement,268000000.0,253000000.0,137000000.0,117000000.0,125000000.0
Depreciation And Amortization In Income Statement,268000000.0,253000000.0,137000000.0,117000000.0,125000000.0
Amortization,268000000.0,253000000.0,137000000.0,117000000.0,125000000.0
Amortization Of Intangibles Income Statement,268000000.0,253000000.0,137000000.0,117000000.0,125000000.0
Selling General And Administration,702000000.0,692000000.0,609000000.0,623000000.0,631000000.0
Selling And Marketing Expense,101000000.0,82000000.0,93000000.0,97000000.0,92000000.0
General And Administrative Expense,601000000.0,610000000.0,516000000.0,526000000.0,539000000.0
Other Gand A,451000000.0,473000000.0,396000000.0,412000000.0,426000000.0
Rent And Landing Fees,150000000.0,137000000.0,120000000.0,114000000.0,113000000.0
Gross Profit,3198000000.0,2990000000.0,2596000000.0,2526000000.0,2796000000.0
Cost Of Revenue,3810000000.0,3519000000.0,2827000000.0,2750000000.0,2881000000.0
Total Revenue,7008000000.0,6509000000.0,5423000000.0,5276000000.0,5677000000.0
Operating Revenue,7008000000.0,6509000000.0,5423000000.0,5276000000.0,5677000000.0
