,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,1604000000.0,5991000000.0,3556000000.0,1694000000.0,4061000000.0,
Repurchase Of Capital Stock,,,,,0.0,0.0
Repayment Of Debt,-10068000000.0,-229000000.0,,,0.0,-2747000000.0
Issuance Of Debt,5334000000.0,5000000.0,58000000.0,368000000.0,-405000000.0,
Capital Expenditure,-370000000.0,-320000000.0,-361000000.0,-260000000.0,-378000000.0,
End Cash Position,10218000000.0,15726000000.0,12611000000.0,10875000000.0,10347000000.0,
Beginning Cash Position,15726000000.0,12611000000.0,10875000000.0,10347000000.0,7893000000.0,
Effect Of Exchange Rate Changes,5000000.0,-4000000.0,128000000.0,66000000.0,-147000000.0,
Changes In Cash,-5513000000.0,3119000000.0,1608000000.0,462000000.0,2601000000.0,
Financing Cash Flow,-6029000000.0,-1490000000.0,-1836000000.0,-993000000.0,-1642000000.0,
Cash Flow From Continuing Financing Activities,-6029000000.0,-1490000000.0,-1836000000.0,-993000000.0,-1642000000.0,
Proceeds From Stock Option Exercised,-33000000.0,-3000000.0,11000000.0,-103000000.0,-19000000.0,
Cash Dividends Paid,-1262000000.0,-1263000000.0,-1262000000.0,-1258000000.0,-1218000000.0,
Common Stock Dividend Paid,-1262000000.0,-1263000000.0,-1262000000.0,-1258000000.0,-1218000000.0,
Net Common Stock Issuance,,,,,0.0,0.0
Common Stock Payments,,,,,0.0,0.0
Net Issuance Payments Of Debt,-4734000000.0,-224000000.0,-585000000.0,368000000.0,-405000000.0,
Net Short Term Debt Issuance,-406000000.0,5000000.0,58000000.0,368000000.0,-405000000.0,
Short Term Debt Payments,0.0,0.0,,,0.0,-269000000.0
Short Term Debt Issuance,-406000000.0,5000000.0,58000000.0,368000000.0,-405000000.0,
Net Long Term Debt Issuance,-4328000000.0,-229000000.0,-643000000.0,0.0,0.0,
Long Term Debt Payments,-10068000000.0,-229000000.0,,,0.0,-2478000000.0
Long Term Debt Issuance,5740000000.0,0.0,0.0,0.0,0.0,
Investing Cash Flow,-1458000000.0,-1702000000.0,-473000000.0,-499000000.0,-196000000.0,
Cash Flow From Continuing Investing Activities,-1458000000.0,-1702000000.0,-473000000.0,-499000000.0,-196000000.0,
Net Investment Purchase And Sale,340000000.0,213000000.0,-97000000.0,-404000000.0,-104000000.0,
Sale Of Investment,418000000.0,878000000.0,524000000.0,232000000.0,267000000.0,
Purchase Of Investment,-78000000.0,-665000000.0,-621000000.0,-636000000.0,-371000000.0,
Net Business Purchase And Sale,-1428000000.0,-1595000000.0,-15000000.0,165000000.0,286000000.0,
Sale Of Business,279000000.0,279000000.0,270000000.0,243000000.0,333000000.0,
Purchase Of Business,-1707000000.0,-1874000000.0,-285000000.0,-78000000.0,-47000000.0,
Capital Expenditure Reported,-370000000.0,-320000000.0,-361000000.0,-260000000.0,-378000000.0,
Operating Cash Flow,1974000000.0,6311000000.0,3917000000.0,1954000000.0,4439000000.0,
Cash Flow From Continuing Operating Activities,1974000000.0,6311000000.0,3917000000.0,1954000000.0,4439000000.0,
Change In Working Capital,-1654000000.0,3055000000.0,15000000.0,-1871000000.0,1276000000.0,
Change In Other Working Capital,-1330000000.0,1943000000.0,1103000000.0,-1686000000.0,320000000.0,
Change In Payables And Accrued Expense,-414000000.0,1047000000.0,-608000000.0,-31000000.0,638000000.0,
Change In Payable,-414000000.0,1047000000.0,-608000000.0,-31000000.0,638000000.0,
Change In Account Payable,-90000000.0,160000000.0,13000000.0,-85000000.0,517000000.0,
Change In Tax Payable,-324000000.0,887000000.0,-621000000.0,54000000.0,121000000.0,
Change In Income Tax Payable,-324000000.0,887000000.0,-621000000.0,54000000.0,121000000.0,
Change In Inventory,71000000.0,-90000000.0,4000000.0,-169000000.0,175000000.0,
Change In Receivables,19000000.0,155000000.0,-484000000.0,15000000.0,143000000.0,
Other Non Cash Items,1716000000.0,559000000.0,1831000000.0,198000000.0,1000000.0,
Stock Based Compensation,133000000.0,139000000.0,137000000.0,144000000.0,120000000.0,
Asset Impairment Charge,584000000.0,196000000.0,,,1953000000.0,139000000.0
Deferred Tax,-392000000.0,-359000000.0,-437000000.0,223000000.0,-791000000.0,
Deferred Income Tax,-392000000.0,-359000000.0,-437000000.0,223000000.0,-791000000.0,
Depreciation Amortization Depletion,977000000.0,1011000000.0,1011000000.0,1012000000.0,1880000000.0,
Depreciation And Amortization,977000000.0,1011000000.0,1011000000.0,1012000000.0,1880000000.0,
Operating Gains Losses,-475000000.0,-485000000.0,-271000000.0,-214000000.0,-76000000.0,
Earnings Losses From Equity Investments,-190000000.0,-190000000.0,22000000.0,78000000.0,205000000.0,
Gain Loss On Sale Of Business,-285000000.0,-295000000.0,-293000000.0,-292000000.0,-281000000.0,
Net Income From Continuing Operations,1085000000.0,2195000000.0,1313000000.0,2462000000.0,76000000.0,
