,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,5827000000.0,3140000000.0,-2171000000.0,1593000000.0,4875000000.0,
Repurchase Of Capital Stock,-1001000000.0,0.0,-1112000000.0,-1508000000.0,-2022000000.0,
Repayment Of Debt,-2554000000.0,-2043000000.0,-900000000.0,-700000000.0,0.0,
Issuance Of Debt,-3000000.0,6460000000.0,0.0,0.0,0.0,
Issuance Of Capital Stock,25000000.0,37000000.0,72000000.0,69000000.0,22000000.0,
Capital Expenditure,-322000000.0,-278000000.0,-285000000.0,-327000000.0,-337000000.0,
Interest Paid Supplemental Data,307000000.0,363000000.0,301000000.0,379000000.0,305000000.0,
Income Tax Paid Supplemental Data,,6000000.0,210000000.0,140000000.0,59000000.0,272000000.0
End Cash Position,7736000000.0,6071000000.0,4386000000.0,8376000000.0,8931000000.0,
Beginning Cash Position,6071000000.0,4386000000.0,8376000000.0,8931000000.0,7184000000.0,
Effect Of Exchange Rate Changes,2000000.0,-5000000.0,26000000.0,9000000.0,-26000000.0,
Changes In Cash,1663000000.0,1690000000.0,-4016000000.0,-564000000.0,1773000000.0,
Financing Cash Flow,-4066000000.0,2659000000.0,-1333000000.0,-3681000000.0,-3248000000.0,
Cash Flow From Continuing Financing Activities,-4066000000.0,2659000000.0,-1333000000.0,-3681000000.0,-3248000000.0,
Net Other Financing Charges,-125000000.0,-182000000.0,-179000000.0,-239000000.0,-96000000.0,
Cash Dividends Paid,-396000000.0,-402000000.0,-401000000.0,-412000000.0,-384000000.0,
Common Stock Dividend Paid,-396000000.0,-402000000.0,-401000000.0,-412000000.0,-384000000.0,
Net Common Stock Issuance,-976000000.0,37000000.0,-1040000000.0,-1439000000.0,-2000000000.0,
Common Stock Payments,-1001000000.0,0.0,-1112000000.0,-1508000000.0,-2022000000.0,
Common Stock Issuance,25000000.0,37000000.0,72000000.0,69000000.0,22000000.0,
Net Issuance Payments Of Debt,-2569000000.0,3206000000.0,287000000.0,-1591000000.0,-768000000.0,
Net Short Term Debt Issuance,-12000000.0,-1211000000.0,1187000000.0,-891000000.0,-768000000.0,
Net Long Term Debt Issuance,-2557000000.0,4417000000.0,-900000000.0,-700000000.0,0.0,
Long Term Debt Payments,-2554000000.0,-2043000000.0,-900000000.0,-700000000.0,0.0,
Long Term Debt Issuance,-3000000.0,6460000000.0,0.0,0.0,0.0,
Investing Cash Flow,-420000000.0,-4387000000.0,-797000000.0,1197000000.0,-191000000.0,
Cash Flow From Continuing Investing Activities,-420000000.0,-4387000000.0,-797000000.0,1197000000.0,-191000000.0,
Net Other Investing Changes,-627000000.0,-192000000.0,-224000000.0,-93000000.0,-487000000.0,
Net Investment Purchase And Sale,-134000000.0,-3401000000.0,-237000000.0,-780000000.0,2000000.0,
Sale Of Investment,733000000.0,663000000.0,609000000.0,647000000.0,726000000.0,
Purchase Of Investment,-867000000.0,-4064000000.0,-846000000.0,-1427000000.0,-724000000.0,
Net Business Purchase And Sale,638000000.0,-597000000.0,0.0,2346000000.0,522000000.0,
Sale Of Business,638000000.0,0.0,0.0,2346000000.0,521000000.0,
Purchase Of Business,0.0,,,,1000000.0,
Net PPE Purchase And Sale,-322000000.0,-278000000.0,-285000000.0,-327000000.0,-337000000.0,
Purchase Of PPE,-322000000.0,-278000000.0,-285000000.0,-327000000.0,-337000000.0,
Operating Cash Flow,6149000000.0,3418000000.0,-1886000000.0,1920000000.0,5212000000.0,
Cash Flow From Continuing Operating Activities,6149000000.0,3418000000.0,-1886000000.0,1920000000.0,5212000000.0,
Change In Working Capital,3487000000.0,1111000000.0,-4489000000.0,92000000.0,2972000000.0,
Change In Other Working Capital,2000000.0,862000000.0,-662000000.0,260000000.0,119000000.0,
Change In Other Current Assets,-1706000000.0,,-791000000.0,1517000000.0,-1609000000.0,105000000.0
Change In Payables And Accrued Expense,3685000000.0,1005000000.0,1014000000.0,-1039000000.0,1735000000.0,
Change In Payable,3685000000.0,1005000000.0,1014000000.0,-1039000000.0,1735000000.0,
Change In Account Payable,3685000000.0,2000000000.0,19000000.0,-1039000000.0,1735000000.0,
Change In Receivables,1921000000.0,-1050000000.0,-3974000000.0,-2424000000.0,3104000000.0,
Changes In Account Receivables,1921000000.0,-1050000000.0,-3974000000.0,-2424000000.0,3104000000.0,
Deferred Tax,500000000.0,118000000.0,-76000000.0,-216000000.0,256000000.0,
Deferred Income Tax,500000000.0,118000000.0,-76000000.0,-216000000.0,256000000.0,
Depreciation And Amortization,722000000.0,697000000.0,682000000.0,674000000.0,646000000.0,
Operating Gains Losses,166000000.0,-64000000.0,-52000000.0,-39000000.0,-198000000.0,
Gain Loss On Investment Securities,100000000.0,-26000000.0,-52000000.0,2000000.0,-68000000.0,
Gain Loss On Sale Of Business,66000000.0,-38000000.0,0.0,-41000000.0,-130000000.0,
Net Income From Continuing Operations,1274000000.0,1973000000.0,1632000000.0,1409000000.0,1536000000.0,
