,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-19723720.418272,5320000.0,0.0,5945000.0,30607267.297163,
Tax Rate For Calcs,0.298844,0.14,0.192,0.145,0.235441,
Total Unusual Items,-66000000.0,38000000.0,0.0,41000000.0,130000000.0,
Total Unusual Items Excluding Goodwill,-66000000.0,38000000.0,0.0,41000000.0,130000000.0,
Net Income From Continuing Operation Net Minority Interest,1234000000.0,1868000000.0,1532000000.0,1323000000.0,1424000000.0,
Reconciled Depreciation,722000000.0,697000000.0,682000000.0,674000000.0,646000000.0,
Reconciled Cost Of Revenue,,,61017000000.0,,,
EBIT,2179000000.0,2642000000.0,2358000000.0,2010000000.0,2371000000.0,
Net Interest Income,-362000000.0,-347000000.0,-337000000.0,-362000000.0,-362000000.0,
Interest Expense,362000000.0,347000000.0,337000000.0,362000000.0,362000000.0,
Normalized Income,1280276279.581728,1835320000.0,1532000000.0,1287945000.0,1324607267.297163,
Net Income From Continuing And Discontinued Operation,1234000000.0,1868000000.0,1532000000.0,1323000000.0,1424000000.0,
Total Expenses,70555000000.0,67479000000.0,64872000000.0,63852000000.0,63708000000.0,
Total Operating Income As Reported,,,2306000000.0,,,
Diluted Average Shares,265699000.0,267530000.0,268154000.0,270867000.0,277784000.0,
Basic Average Shares,265699000.0,267530000.0,266181000.0,270867000.0,277784000.0,
Diluted EPS,4.64,6.98,5.71,4.85,5.13,
Basic EPS,4.64,6.98,5.76,4.88,5.13,
Diluted NI Availto Com Stockholders,1234000000.0,1868000000.0,1532000000.0,1323000000.0,1424000000.0,
Net Income Common Stockholders,1234000000.0,1868000000.0,1532000000.0,1323000000.0,1424000000.0,
Net Income,1234000000.0,1868000000.0,1532000000.0,1323000000.0,1424000000.0,
Minority Interests,-40000000.0,-105000000.0,-100000000.0,-86000000.0,-112000000.0,
Net Income Including Noncontrolling Interests,1274000000.0,1973000000.0,1632000000.0,1409000000.0,1536000000.0,
Net Income Continuous Operations,1274000000.0,1973000000.0,1632000000.0,1409000000.0,1536000000.0,
Tax Provision,543000000.0,322000000.0,389000000.0,239000000.0,473000000.0,
Pretax Income,1817000000.0,2295000000.0,2021000000.0,1648000000.0,2009000000.0,
Other Income Expense,58336000000.0,56054000000.0,288000000.0,48633000000.0,49941000000.0,
Special Income Charges,-66000000.0,38000000.0,0.0,41000000.0,130000000.0,
Gain On Sale Of Business,,,0.0,,,
Other Special Charges,66000000.0,-38000000.0,,-41000000.0,-130000000.0,87000000.0
Gain On Sale Of Security,,,288000000.0,,,
Net Non Operating Interest Income Expense,-362000000.0,-347000000.0,-337000000.0,-362000000.0,-362000000.0,
Interest Expense Non Operating,362000000.0,347000000.0,337000000.0,362000000.0,362000000.0,
Operating Income,,,2070000000.0,,,
Operating Expense,,,3855000000.0,,,
Other Operating Expenses,57795000000.0,55530000000.0,53268000000.0,48398000000.0,49021000000.0,
Depreciation Amortization Depletion Income Statement,,,422000000.0,,,
Depreciation And Amortization In Income Statement,463000000.0,436000000.0,422000000.0,422000000.0,424000000.0,
Amortization,463000000.0,436000000.0,422000000.0,422000000.0,424000000.0,
Amortization Of Intangibles Income Statement,,,422000000.0,,,
Selling General And Administration,3609000000.0,3362000000.0,3433000000.0,4213000000.0,3865000000.0,
Gross Profit,,,5925000000.0,,,
Cost Of Revenue,,,61017000000.0,,,
Total Revenue,72372000000.0,69774000000.0,66942000000.0,65500000000.0,65717000000.0,
Operating Revenue,72372000000.0,69774000000.0,62805000000.0,65500000000.0,65717000000.0,
Loss Adjustment Expense,8260000000.0,7842000000.0,7749000000.0,10498000000.0,10166000000.0,
Net Policyholder Benefits And Claims,8260000000.0,7842000000.0,7749000000.0,10498000000.0,10166000000.0,
