,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.228,0.232,0.237,0.215509,
Normalized EBITDA,345000000.0,1217000000.0,1229000000.0,1167000000.0,1191000000.0,
Net Income From Continuing Operation Net Minority Interest,-37000000.0,735000000.0,743000000.0,690000000.0,739000000.0,
Reconciled Depreciation,173000000.0,158000000.0,151000000.0,148000000.0,148000000.0,
Reconciled Cost Of Revenue,2084000000.0,2082000000.0,2041000000.0,1924000000.0,1963000000.0,
EBITDA,345000000.0,1217000000.0,1229000000.0,1167000000.0,1191000000.0,
EBIT,172000000.0,1059000000.0,1078000000.0,1019000000.0,1043000000.0,
Net Interest Income,-45000000.0,-46000000.0,-50000000.0,-51000000.0,-50000000.0,
Interest Expense,64000000.0,67000000.0,71000000.0,66000000.0,,
Interest Income,19000000.0,21000000.0,21000000.0,15000000.0,,
Normalized Income,-37000000.0,735000000.0,743000000.0,690000000.0,739000000.0,
Net Income From Continuing And Discontinued Operation,-37000000.0,735000000.0,743000000.0,690000000.0,739000000.0,
Total Expenses,4211000000.0,4072000000.0,4030000000.0,3835000000.0,3820000000.0,
Total Operating Income As Reported,92000000.0,1059000000.0,1080000000.0,1076000000.0,1063000000.0,
Diluted Average Shares,804700000.0,810200000.0,813300000.0,815000000.0,819700000.0,
Basic Average Shares,804700000.0,807800000.0,810200000.0,812000000.0,816000000.0,
Diluted EPS,-0.05,0.91,0.91,0.85,0.9,
Basic EPS,-0.05,0.91,0.92,0.85,0.91,
Diluted NI Availto Com Stockholders,-37000000.0,735000000.0,743000000.0,690000000.0,739000000.0,
Net Income Common Stockholders,-37000000.0,735000000.0,743000000.0,690000000.0,739000000.0,
Net Income,-37000000.0,735000000.0,743000000.0,690000000.0,739000000.0,
Minority Interests,-32000000.0,-31000000.0,-30000000.0,-36000000.0,-40000000.0,
Net Income Including Noncontrolling Interests,-5000000.0,766000000.0,773000000.0,726000000.0,779000000.0,
Net Income Continuous Operations,-5000000.0,766000000.0,773000000.0,726000000.0,779000000.0,
Tax Provision,113000000.0,226000000.0,234000000.0,227000000.0,214000000.0,
Pretax Income,108000000.0,992000000.0,1007000000.0,953000000.0,993000000.0,
Other Income Expense,-866000000.0,-21000000.0,-23000000.0,-72000000.0,-82000000.0,
Other Non Operating Income Expenses,43000000.0,-21000000.0,-23000000.0,-72000000.0,-98000000.0,
Net Non Operating Interest Income Expense,-45000000.0,-46000000.0,-50000000.0,-51000000.0,-50000000.0,
Total Other Finance Cost,,,,,,56000000.0
Interest Expense Non Operating,64000000.0,67000000.0,71000000.0,66000000.0,,
Interest Income Non Operating,19000000.0,21000000.0,21000000.0,15000000.0,,
Operating Income,1019000000.0,1059000000.0,1080000000.0,1076000000.0,1125000000.0,
Operating Expense,2127000000.0,1990000000.0,1989000000.0,1911000000.0,1857000000.0,
Other Operating Expenses,,19000000.0,26000000.0,13000000.0,,30000000.0
Selling General And Administration,2070000000.0,1971000000.0,1963000000.0,1898000000.0,1896000000.0,
Gross Profit,3146000000.0,3049000000.0,3069000000.0,2987000000.0,2982000000.0,
Cost Of Revenue,2084000000.0,2082000000.0,2041000000.0,1924000000.0,1963000000.0,
Total Revenue,5230000000.0,5131000000.0,5110000000.0,4911000000.0,4945000000.0,
Operating Revenue,5230000000.0,5131000000.0,5110000000.0,4911000000.0,4945000000.0,
