,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,1101400000.0,949700000.0,1040100000.0,1102400000.0,991700000.0,
Repurchase Of Capital Stock,-257900000.0,0.0,,,,
Repayment Of Debt,0.0,0.0,0.0,-750000000.0,0.0,
Issuance Of Debt,0.0,-1700000.0,0.0,742300000.0,,
Capital Expenditure,-32500000.0,-18400000.0,-18400000.0,-14200000.0,-26200000.0,
Interest Paid Supplemental Data,23900000.0,46700000.0,23900000.0,41100000.0,23900000.0,
Income Tax Paid Supplemental Data,308800000.0,275600000.0,566900000.0,12700000.0,259000000.0,
End Cash Position,164079500000.0,151494500000.0,144145800000.0,122106100000.0,101794100000.0,
Beginning Cash Position,151494500000.0,144145800000.0,122106100000.0,101794100000.0,101785600000.0,
Changes In Cash,12585000000.0,7348700000.0,22039700000.0,20312000000.0,8500000.0,
Financing Cash Flow,9899200000.0,6399700000.0,20999200000.0,19211400000.0,-984100000.0,
Cash Flow From Continuing Financing Activities,9899200000.0,6399700000.0,20999200000.0,19211400000.0,-984100000.0,
Net Other Financing Charges,10612100000.0,6856700000.0,21462700000.0,21786500000.0,-565300000.0,
Cash Dividends Paid,-455000000.0,-455300000.0,-455300000.0,-2567400000.0,-418800000.0,
Common Stock Dividend Paid,,,,-2567400000.0,,
Net Common Stock Issuance,-257900000.0,0.0,,,,
Common Stock Payments,-257900000.0,0.0,,,,
Net Issuance Payments Of Debt,0.0,-1700000.0,0.0,-7700000.0,0.0,
Net Long Term Debt Issuance,0.0,-1700000.0,0.0,-7700000.0,0.0,
Long Term Debt Payments,0.0,0.0,0.0,-750000000.0,0.0,
Long Term Debt Issuance,0.0,-1700000.0,0.0,742300000.0,,
Investing Cash Flow,1551900000.0,-19100000.0,-18000000.0,-16000000.0,-25300000.0,
Cash Flow From Continuing Investing Activities,1551900000.0,-19100000.0,-18000000.0,-16000000.0,-25300000.0,
Net Investment Purchase And Sale,600000.0,300000.0,400000.0,600000.0,-12600000.0,
Sale Of Investment,1700000.0,1400000.0,1200000.0,3600000.0,-12400000.0,
Purchase Of Investment,-1100000.0,-1100000.0,-800000.0,-3000000.0,-200000.0,
Net Business Purchase And Sale,1583800000.0,-1000000.0,0.0,-2400000.0,13500000.0,
Purchase Of Business,-7600000.0,-1000000.0,0.0,-2400000.0,0.0,
Net PPE Purchase And Sale,-32500000.0,-18400000.0,-18400000.0,-14200000.0,-26200000.0,
Purchase Of PPE,-32500000.0,-18400000.0,-18400000.0,-14200000.0,-26200000.0,
Operating Cash Flow,1133900000.0,968100000.0,1058500000.0,1116600000.0,1017900000.0,
Cash Flow From Continuing Operating Activities,1133900000.0,968100000.0,1058500000.0,1116600000.0,1017900000.0,
Change In Working Capital,104400000.0,-14000000.0,-51700000.0,61000000.0,66900000.0,
Change In Other Current Liabilities,68900000.0,-75600000.0,118600000.0,-59900000.0,-52900000.0,
Change In Other Current Assets,-27700000.0,54300000.0,-11300000.0,16500000.0,103400000.0,
Change In Payables And Accrued Expense,60400000.0,-18200000.0,-260400000.0,301200000.0,-39400000.0,
Change In Payable,60400000.0,-18200000.0,-260400000.0,301200000.0,-39400000.0,
Change In Account Payable,-3100000.0,-17500000.0,-7800000.0,20300000.0,-50000000.0,
Change In Tax Payable,63500000.0,-700000.0,-252600000.0,280900000.0,10600000.0,
Change In Income Tax Payable,63500000.0,-700000.0,-252600000.0,280900000.0,10600000.0,
Change In Receivables,2800000.0,25500000.0,101400000.0,-196800000.0,55800000.0,
Changes In Account Receivables,2800000.0,25500000.0,101400000.0,-196800000.0,55800000.0,
Other Non Cash Items,63800000.0,,,5700000.0,2300000.0,12300000.0
Stock Based Compensation,28900000.0,24000000.0,20700000.0,21200000.0,27100000.0,
Deferred Tax,21300000.0,-6700000.0,-13300000.0,-7400000.0,-44500000.0,
Deferred Income Tax,21300000.0,-6700000.0,-13300000.0,-7400000.0,-44500000.0,
Depreciation Amortization Depletion,82400000.0,82600000.0,83400000.0,82500000.0,83400000.0,
Depreciation And Amortization,82400000.0,82600000.0,83400000.0,82500000.0,83400000.0,
Amortization Cash Flow,55900000.0,56200000.0,56100000.0,55200000.0,55300000.0,
Amortization Of Intangibles,55900000.0,56200000.0,56100000.0,55200000.0,55300000.0,
Depreciation,26500000.0,26400000.0,27300000.0,27300000.0,28100000.0,
Operating Gains Losses,-349800000.0,-400000.0,0.0,-2600000.0,8100000.0,
Gain Loss On Investment Securities,-349800000.0,-400000.0,0.0,-2600000.0,8100000.0,
Net Income From Continuing Operations,1182900000.0,908000000.0,1025100000.0,956200000.0,874600000.0,
