,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,445188070.197669,354652300.0,348354265.955048,207106400.0,189588728.798103
Tax Rate For Calcs,0.25057,0.229,0.229,0.232,0.202444
Normalized EBITDA,-72200000.0,-245100000.0,-60700000.0,476300000.0,284200000.0
Total Unusual Items,1776700000.0,1548700000.0,1518400000.0,892700000.0,936500000.0
Total Unusual Items Excluding Goodwill,1776700000.0,1548700000.0,1518400000.0,892700000.0,936500000.0
Net Income From Continuing Operation Net Minority Interest,1182900000.0,908000000.0,1025100000.0,956200000.0,874600000.0
Reconciled Depreciation,82400000.0,82600000.0,83400000.0,82500000.0,83400000.0
Reconciled Cost Of Revenue,241100000.0,237600000.0,221600000.0,206700000.0,220800000.0
EBITDA,1704500000.0,1303600000.0,1457700000.0,1369000000.0,1220700000.0
EBIT,1622100000.0,1221000000.0,1374300000.0,1286500000.0,1137300000.0
Net Interest Income,-43700000.0,-44000000.0,-44000000.0,-41700000.0,-40700000.0
Interest Expense,43700000.0,44000000.0,44000000.0,41700000.0,40700000.0
Normalized Income,-148611929.802331,-286047700.0,-145586400.0,270606400.0,127688728.798103
Net Income From Continuing And Discontinued Operation,1182900000.0,908000000.0,1025100000.0,956200000.0,874600000.0
Total Expenses,629100000.0,565000000.0,562700000.0,534300000.0,578200000.0
Total Operating Income As Reported,1019600000.0,972600000.0,1129300000.0,1108000000.0,947100000.0
Diluted Average Shares,360233000.0,360422000.0,360355000.0,360227000.0,360050000.0
Basic Average Shares,359633000.0,359686000.0,359658000.0,359613000.0,359568000.0
Diluted EPS,3.24,2.49,2.81,2.62,2.4
Basic EPS,3.25,2.49,2.81,2.63,2.4
Diluted NI Availto Com Stockholders,1168000000.0,896600000.0,1012200000.0,944200000.0,863700000.0
Net Income Common Stockholders,1168000000.0,896600000.0,1012200000.0,944200000.0,863700000.0
Otherunder Preferred Stock Dividend,9200000.0,5700000.0,7200000.0,6300000.0,-21000000.0
Preferred Stock Dividends,5700000.0,5700000.0,5700000.0,5700000.0,31900000.0
Net Income,1182900000.0,908000000.0,1025100000.0,956200000.0,874600000.0
Net Income Including Noncontrolling Interests,1182900000.0,908000000.0,1025100000.0,956200000.0,874600000.0
Net Income Continuous Operations,1182900000.0,908000000.0,1025100000.0,956200000.0,874600000.0
Tax Provision,395500000.0,269000000.0,305200000.0,288600000.0,222000000.0
Pretax Income,1578400000.0,1177000000.0,1330300000.0,1244800000.0,1096600000.0
Other Income Expense,602500000.0,248400000.0,245000000.0,178500000.0,190200000.0
Other Non Operating Income Expenses,-1262400000.0,-1396600000.0,-1372400000.0,-802400000.0,-837500000.0
Earnings From Equity Interest,88200000.0,96300000.0,99000000.0,88200000.0,91200000.0
Gain On Sale Of Security,1776700000.0,1548700000.0,1518400000.0,892700000.0,936500000.0
Net Non Operating Interest Income Expense,-43700000.0,-44000000.0,-44000000.0,-41700000.0,-40700000.0
Interest Expense Non Operating,43700000.0,44000000.0,44000000.0,41700000.0,40700000.0
Operating Income,1019600000.0,972600000.0,1129300000.0,1108000000.0,947100000.0
Operating Expense,388000000.0,327400000.0,341100000.0,327600000.0,357400000.0
Other Operating Expenses,257700000.0,208100000.0,220300000.0,216600000.0,240100000.0
Depreciation Amortization Depletion Income Statement,82400000.0,82600000.0,83400000.0,82500000.0,83400000.0
Depreciation And Amortization In Income Statement,82400000.0,82600000.0,83400000.0,82500000.0,83400000.0
Amortization,55900000.0,56200000.0,56100000.0,55200000.0,55300000.0
Amortization Of Intangibles Income Statement,55900000.0,56200000.0,56100000.0,55200000.0,55300000.0
Depreciation Income Statement,26500000.0,26400000.0,27300000.0,27300000.0,28100000.0
Selling General And Administration,47900000.0,36700000.0,37400000.0,28500000.0,33900000.0
General And Administrative Expense,47900000.0,36700000.0,37400000.0,28500000.0,33900000.0
Other Gand A,47900000.0,36700000.0,37400000.0,28500000.0,33900000.0
Gross Profit,1407600000.0,1300000000.0,1470400000.0,1435600000.0,1304500000.0
Cost Of Revenue,241100000.0,237600000.0,221600000.0,206700000.0,220800000.0
Total Revenue,1648700000.0,1537600000.0,1692000000.0,1642300000.0,1525300000.0
Operating Revenue,1535900000.0,1430400000.0,1586100000.0,1531800000.0,1413900000.0
