,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-25147689.375893,-122915791.875856,-119421487.603306,-57904000.0,0.0,
Tax Rate For Calcs,0.164364,0.271337,0.280992,0.188,0.250857,
Total Unusual Items,-153000000.0,-453000000.0,-425000000.0,-308000000.0,,
Total Unusual Items Excluding Goodwill,-153000000.0,-453000000.0,-425000000.0,-308000000.0,,
Net Income From Continuing Operation Net Minority Interest,1754000000.0,3193000000.0,-4263000000.0,1404000000.0,1093000000.0,
Reconciled Depreciation,1605000000.0,1832000000.0,1011000000.0,812000000.0,814000000.0,
Net Interest Income,12466000000.0,12404000000.0,9995000000.0,8013000000.0,8098000000.0,
Interest Expense,4221000000.0,4359000000.0,3833000000.0,3405000000.0,3619000000.0,
Interest Income,16687000000.0,16763000000.0,13828000000.0,11418000000.0,11717000000.0,
Normalized Income,1881852310.624107,3523084208.124144,-3957421487.603306,1654096000.0,1093000000.0,
Net Income From Continuing And Discontinued Operation,2134000000.0,3192000000.0,-4277000000.0,1404000000.0,1096000000.0,
Diluted Average Shares,631600000.0,639500000.0,505600000.0,384000000.0,383400000.0,
Basic Average Shares,631100000.0,639000000.0,505600000.0,383100000.0,382400000.0,
Diluted EPS,3.26,4.83,-8.58,3.45,2.67,
Basic EPS,3.26,4.83,-8.58,3.46,2.67,
Diluted NI Availto Com Stockholders,2064000000.0,3086000000.0,-4340000000.0,1325000000.0,1022000000.0,
Net Income Common Stockholders,2064000000.0,3086000000.0,-4340000000.0,1325000000.0,1022000000.0,
Otherunder Preferred Stock Dividend,13000000.0,33000000.0,-2000000.0,22000000.0,17000000.0,
Preferred Stock Dividends,57000000.0,73000000.0,65000000.0,57000000.0,57000000.0,
Net Income,2134000000.0,3192000000.0,-4277000000.0,1404000000.0,1096000000.0,
Net Income Including Noncontrolling Interests,2134000000.0,3192000000.0,-4277000000.0,1404000000.0,1096000000.0,
Net Income Discontinuous Operations,380000000.0,-1000000.0,-14000000.0,,,
Net Income Continuous Operations,1754000000.0,3193000000.0,-4263000000.0,1404000000.0,1093000000.0,
Tax Provision,345000000.0,1189000000.0,-1666000000.0,325000000.0,366000000.0,
Pretax Income,2099000000.0,4382000000.0,-5929000000.0,1729000000.0,1459000000.0,
Special Income Charges,-153000000.0,-453000000.0,-425000000.0,-308000000.0,,
Other Special Charges,,,41000000.0,198000000.0,,
Restructuring And Mergern Acquisition,153000000.0,453000000.0,384000000.0,110000000.0,,
Gain On Sale Of Security,0.0,0.0,,,0.0,-35000000.0
Depreciation Amortization Depletion Income Statement,525000000.0,514000000.0,271000000.0,16000000.0,19000000.0,
Depreciation And Amortization In Income Statement,525000000.0,514000000.0,271000000.0,16000000.0,19000000.0,
Amortization,525000000.0,514000000.0,271000000.0,16000000.0,19000000.0,
Amortization Of Intangibles Income Statement,525000000.0,514000000.0,271000000.0,16000000.0,19000000.0,
Selling General And Administration,5364000000.0,4899000000.0,4344000000.0,3748000000.0,3704000000.0,
Selling And Marketing Expense,1934000000.0,1403000000.0,1345000000.0,1202000000.0,1375000000.0,
General And Administrative Expense,3430000000.0,3496000000.0,2999000000.0,2546000000.0,2329000000.0,
Salaries And Wages,3430000000.0,3496000000.0,2999000000.0,2546000000.0,2329000000.0,
Total Revenue,15393000000.0,15464000000.0,12577000000.0,10000000000.0,10190000000.0,
Operating Revenue,15393000000.0,15464000000.0,12577000000.0,10000000000.0,10190000000.0,
Occupancy And Equipment,958000000.0,856000000.0,737000000.0,615000000.0,674000000.0,
Professional Expense And Contract Services Expense,693000000.0,641000000.0,653000000.0,437000000.0,630000000.0,
Other Non Interest Expense,1459000000.0,1005000000.0,646000000.0,778000000.0,712000000.0,
