,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,1295000000.0,3012000000.0,199000000.0,2737000000.0,1140000000.0,
Repurchase Of Capital Stock,-1057000000.0,-1284000000.0,-1225000000.0,-1552000000.0,-1962000000.0,
Repayment Of Debt,-62000000.0,-45000000.0,-259000000.0,-547000000.0,-4374000000.0,
Issuance Of Debt,,,,,5591000000.0,0.0
Capital Expenditure,-3023000000.0,-2866000000.0,-3286000000.0,-3378000000.0,-3317000000.0,
Interest Paid Supplemental Data,63000000.0,369000000.0,,,,
Income Tax Paid Supplemental Data,926000000.0,698000000.0,,,,
End Cash Position,6916000000.0,5599000000.0,5226000000.0,6620000000.0,5905000000.0,
Beginning Cash Position,5599000000.0,5226000000.0,6620000000.0,5905000000.0,5522000000.0,
Effect Of Exchange Rate Changes,7000000.0,-2000000.0,65000000.0,83000000.0,-105000000.0,
Changes In Cash,1310000000.0,375000000.0,-1459000000.0,632000000.0,488000000.0,
Financing Cash Flow,-2158000000.0,-2324000000.0,-2483000000.0,-3137000000.0,-1769000000.0,
Cash Flow From Continuing Financing Activities,-2158000000.0,-2324000000.0,-2483000000.0,-3137000000.0,-1769000000.0,
Net Other Financing Charges,-1000000.0,-20000000.0,-15000000.0,-40000000.0,-127000000.0,
Cash Dividends Paid,-1038000000.0,-975000000.0,-984000000.0,-998000000.0,-897000000.0,
Common Stock Dividend Paid,-1038000000.0,-975000000.0,-984000000.0,-998000000.0,-897000000.0,
Net Common Stock Issuance,-1057000000.0,-1284000000.0,-1225000000.0,-1552000000.0,-1962000000.0,
Common Stock Payments,-1057000000.0,-1284000000.0,-1225000000.0,-1552000000.0,-1962000000.0,
Net Issuance Payments Of Debt,-62000000.0,-45000000.0,-259000000.0,-547000000.0,1217000000.0,
Net Long Term Debt Issuance,-62000000.0,-45000000.0,-259000000.0,-547000000.0,1217000000.0,
Long Term Debt Payments,-62000000.0,-45000000.0,-259000000.0,-547000000.0,-4374000000.0,
Long Term Debt Issuance,,,,,5591000000.0,0.0
Investing Cash Flow,-850000000.0,-3179000000.0,-2461000000.0,-2346000000.0,-2200000000.0,
Cash Flow From Continuing Investing Activities,-850000000.0,-3179000000.0,-2461000000.0,-2346000000.0,-2200000000.0,
Net Other Investing Changes,1672000000.0,235000000.0,433000000.0,1432000000.0,176000000.0,
Net Investment Purchase And Sale,501000000.0,-548000000.0,392000000.0,-400000000.0,1014000000.0,
Sale Of Investment,706000000.0,,,,,
Purchase Of Investment,-205000000.0,,,,,
Net Business Purchase And Sale,0.0,0.0,0.0,0.0,-73000000.0,
Sale Of Business,,0.0,0.0,0.0,,0.0
Capital Expenditure Reported,-3023000000.0,-2866000000.0,-3286000000.0,-3378000000.0,-3317000000.0,
Operating Cash Flow,4318000000.0,5878000000.0,3485000000.0,6115000000.0,4457000000.0,
Cash Flow From Continuing Operating Activities,4318000000.0,5878000000.0,3485000000.0,6115000000.0,4457000000.0,
Dividend Received Cfo,-77000000.0,,,,,
Dividend Paid Cfo,,,-93000000.0,-19000000.0,,
Change In Working Capital,0.0,512000000.0,-1236000000.0,648000000.0,-962000000.0,
Change In Payables And Accrued Expense,190000000.0,319000000.0,-1776000000.0,528000000.0,-208000000.0,
Change In Payable,190000000.0,319000000.0,-1776000000.0,528000000.0,-208000000.0,
Change In Account Payable,-1000000.0,-184000000.0,-545000000.0,518000000.0,-426000000.0,
Change In Tax Payable,191000000.0,503000000.0,-1231000000.0,10000000.0,218000000.0,
Change In Income Tax Payable,191000000.0,503000000.0,-1231000000.0,10000000.0,218000000.0,
Change In Prepaid Assets,93000000.0,112000000.0,-95000000.0,-134000000.0,132000000.0,
Change In Inventory,-165000000.0,133000000.0,-58000000.0,-26000000.0,32000000.0,
Change In Receivables,-118000000.0,-52000000.0,693000000.0,280000000.0,-918000000.0,
Other Non Cash Items,79000000.0,-47000000.0,148000000.0,-21000000.0,233000000.0,
Asset Impairment Charge,-42000000.0,66000000.0,1000000.0,1000000.0,46000000.0,
Deferred Tax,117000000.0,354000000.0,149000000.0,-71000000.0,118000000.0,
Deferred Income Tax,117000000.0,354000000.0,149000000.0,-71000000.0,118000000.0,
Depreciation Amortization Depletion,3131000000.0,2881000000.0,2862000000.0,2807000000.0,2662000000.0,
Depletion,132000000.0,-36000000.0,24000000.0,61000000.0,-2000000.0,
Depreciation And Amortization,2999000000.0,2917000000.0,2838000000.0,2746000000.0,2664000000.0,
Depreciation,2999000000.0,2917000000.0,2838000000.0,2746000000.0,2664000000.0,
Operating Gains Losses,-332000000.0,-3000000.0,-317000000.0,-79000000.0,-510000000.0,
Net Income From Continuing Operations,1442000000.0,1726000000.0,1971000000.0,2849000000.0,2306000000.0,
