,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,117320267.260579,-210000.0,110693000.0,17376000.0,-15202693.602694,
Tax Rate For Calcs,0.357684,0.21,0.347,0.362,0.223569,
Normalized EBITDA,5338000000.0,6127000000.0,5887000000.0,7524000000.0,5976000000.0,
Total Unusual Items,328000000.0,-1000000.0,319000000.0,48000000.0,-68000000.0,
Total Unusual Items Excluding Goodwill,328000000.0,-1000000.0,319000000.0,48000000.0,-68000000.0,
Net Income From Continuing Operation Net Minority Interest,1442000000.0,1726000000.0,1971000000.0,2849000000.0,2306000000.0,
Reconciled Depreciation,3131000000.0,2881000000.0,2862000000.0,2807000000.0,2662000000.0,
Reconciled Cost Of Revenue,10815000000.0,11406000000.0,10495000000.0,11440000000.0,10048000000.0,
EBITDA,5666000000.0,6126000000.0,6206000000.0,7572000000.0,5908000000.0,
EBIT,2535000000.0,3245000000.0,3344000000.0,4765000000.0,3246000000.0,
Net Interest Income,21000000.0,-317000000.0,-327000000.0,-299000000.0,126000000.0,
Interest Expense,290000000.0,317000000.0,327000000.0,299000000.0,276000000.0,
Normalized Income,1231320267.260579,1726790000.0,1762693000.0,2818376000.0,2358797306.397306,
Net Income From Continuing And Discontinued Operation,1442000000.0,1726000000.0,1971000000.0,2849000000.0,2306000000.0,
Total Expenses,11632000000.0,12273000000.0,11398000000.0,12299000000.0,11269000000.0,
Diluted Average Shares,1233956000.0,1246854000.0,1258998000.0,1274879000.0,1209163000.0,
Basic Average Shares,1232575000.0,1245253000.0,1257512000.0,1273350000.0,1207421000.0,
Diluted EPS,1.17,1.38,1.56,2.23,1.9,
Basic EPS,1.17,1.38,1.56,2.23,1.9,
Diluted NI Availto Com Stockholders,1437000000.0,1720000000.0,1964000000.0,2840000000.0,2279000000.0,
Net Income Common Stockholders,1437000000.0,1720000000.0,1964000000.0,2840000000.0,2279000000.0,
Otherunder Preferred Stock Dividend,5000000.0,6000000.0,7000000.0,9000000.0,,
Net Income,1442000000.0,1726000000.0,1971000000.0,2849000000.0,2306000000.0,
Net Income Including Noncontrolling Interests,1442000000.0,1726000000.0,1971000000.0,2849000000.0,2306000000.0,
Net Income Continuous Operations,1442000000.0,1726000000.0,1971000000.0,2849000000.0,2306000000.0,
Tax Provision,803000000.0,1202000000.0,1046000000.0,1617000000.0,664000000.0,
Pretax Income,2245000000.0,2928000000.0,3017000000.0,4466000000.0,2970000000.0,
Other Income Expense,464000000.0,487000000.0,738000000.0,547000000.0,-123000000.0,
Other Non Operating Income Expenses,-147000000.0,143000000.0,104000000.0,107000000.0,-495000000.0,
Special Income Charges,318000000.0,-7000000.0,316000000.0,78000000.0,-81000000.0,
Gain On Sale Of Ppe,332000000.0,3000000.0,317000000.0,79000000.0,-35000000.0,
Write Off,,,,,,0.0
Impairment Of Capital Assets,14000000.0,10000000.0,1000000.0,1000000.0,,
Earnings From Equity Interest,283000000.0,345000000.0,315000000.0,392000000.0,440000000.0,
Gain On Sale Of Security,10000000.0,6000000.0,3000000.0,-30000000.0,13000000.0,
Net Non Operating Interest Income Expense,21000000.0,-317000000.0,-327000000.0,-299000000.0,126000000.0,
Interest Expense Non Operating,290000000.0,317000000.0,327000000.0,299000000.0,276000000.0,
Operating Income,1760000000.0,2758000000.0,2606000000.0,4218000000.0,2967000000.0,
Operating Expense,817000000.0,867000000.0,903000000.0,859000000.0,1221000000.0,
Other Operating Expenses,138000000.0,71000000.0,81000000.0,117000000.0,71000000.0,
Other Taxes,498000000.0,525000000.0,572000000.0,551000000.0,520000000.0,
Selling General And Administration,181000000.0,271000000.0,250000000.0,191000000.0,630000000.0,
Gross Profit,2577000000.0,3625000000.0,3509000000.0,5077000000.0,4188000000.0,
Cost Of Revenue,10815000000.0,11406000000.0,10495000000.0,11440000000.0,10048000000.0,
Total Revenue,13392000000.0,15031000000.0,14004000000.0,16517000000.0,14236000000.0,
Operating Revenue,13392000000.0,15031000000.0,14004000000.0,16517000000.0,14236000000.0,
