,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Free Cash Flow,416000000.0,97000000.0,129000000.0,50000000.0,411000000.0,,
Repurchase Of Capital Stock,-2000000.0,-24000000.0,-2000000.0,-4000000.0,-2000000.0,,
Repayment Of Debt,-703000000.0,-684000000.0,-703000000.0,-1318000000.0,-242000000.0,,
Issuance Of Debt,800000000.0,788000000.0,657000000.0,526000000.0,-5000000.0,,
Issuance Of Capital Stock,,,,,,,2000000.0
Capital Expenditure,-100000000.0,-127000000.0,-130000000.0,-85000000.0,-101000000.0,,
End Cash Position,561000000.0,168000000.0,132000000.0,143000000.0,829000000.0,,
Beginning Cash Position,168000000.0,132000000.0,143000000.0,829000000.0,808000000.0,,
Effect Of Exchange Rate Changes,1000000.0,0.0,1000000.0,-1000000.0,0.0,,
Changes In Cash,392000000.0,36000000.0,-12000000.0,-685000000.0,21000000.0,,
Financing Cash Flow,-27000000.0,-51000000.0,-164000000.0,-915000000.0,-363000000.0,,
Cash Flow From Continuing Financing Activities,-27000000.0,-51000000.0,-164000000.0,-915000000.0,-363000000.0,,
Net Other Financing Charges,-5000000.0,-11000000.0,0.0,-3000000.0,-3000000.0,,
Cash Dividends Paid,-117000000.0,-120000000.0,-116000000.0,-116000000.0,-111000000.0,,
Common Stock Dividend Paid,-117000000.0,-120000000.0,,-116000000.0,-111000000.0,-116000000.0,
Net Common Stock Issuance,-2000000.0,-24000000.0,-2000000.0,-4000000.0,-2000000.0,,
Common Stock Payments,-2000000.0,-24000000.0,-2000000.0,-4000000.0,-2000000.0,,
Common Stock Issuance,,,,,,,2000000.0
Net Issuance Payments Of Debt,97000000.0,104000000.0,-46000000.0,-792000000.0,-247000000.0,,
Net Short Term Debt Issuance,-452000000.0,104000000.0,-46000000.0,358000000.0,-47000000.0,,
Short Term Debt Payments,-703000000.0,-684000000.0,-703000000.0,-168000000.0,-42000000.0,,
Short Term Debt Issuance,251000000.0,788000000.0,657000000.0,526000000.0,-5000000.0,,
Net Long Term Debt Issuance,549000000.0,0.0,0.0,-1150000000.0,-200000000.0,,
Long Term Debt Payments,0.0,0.0,0.0,-1150000000.0,-200000000.0,,
Long Term Debt Issuance,549000000.0,0.0,0.0,0.0,0.0,,
Investing Cash Flow,-97000000.0,-137000000.0,-107000000.0,95000000.0,-128000000.0,,
Cash Flow From Continuing Investing Activities,-97000000.0,-137000000.0,-107000000.0,95000000.0,-128000000.0,,
Net Other Investing Changes,,,12000000.0,-3000000.0,0.0,-5000000.0,0.0
Net Business Purchase And Sale,4000000.0,-10000000.0,11000000.0,183000000.0,-27000000.0,,
Sale Of Business,4000000.0,46000000.0,25000000.0,223000000.0,32000000.0,,
Purchase Of Business,0.0,-56000000.0,-14000000.0,-40000000.0,-59000000.0,,
Net PPE Purchase And Sale,-100000000.0,-127000000.0,-130000000.0,-85000000.0,-101000000.0,,
Purchase Of PPE,-100000000.0,-127000000.0,-130000000.0,-85000000.0,-101000000.0,,
Operating Cash Flow,516000000.0,224000000.0,259000000.0,135000000.0,512000000.0,,
Cash Flow From Continuing Operating Activities,516000000.0,224000000.0,259000000.0,135000000.0,512000000.0,,
Change In Working Capital,217000000.0,-140000000.0,-60000000.0,-149000000.0,151000000.0,,
Change In Other Current Assets,-19000000.0,-11000000.0,3000000.0,7000000.0,-14000000.0,,
Change In Payables And Accrued Expense,-8000000.0,145000000.0,-17000000.0,-190000000.0,-66000000.0,,
Change In Inventory,147000000.0,-83000000.0,-129000000.0,-3000000.0,114000000.0,,
Change In Receivables,97000000.0,-191000000.0,83000000.0,37000000.0,117000000.0,,
Changes In Account Receivables,97000000.0,-191000000.0,83000000.0,37000000.0,117000000.0,,
Other Non Cash Items,20000000.0,32000000.0,37000000.0,6000000.0,27000000.0,,
Stock Based Compensation,20000000.0,13000000.0,5000000.0,16000000.0,17000000.0,,
Asset Impairment Charge,,,0.0,150000000.0,,,
Deferred Tax,13000000.0,27000000.0,4000000.0,-63000000.0,8000000.0,,
Deferred Income Tax,13000000.0,27000000.0,4000000.0,-63000000.0,8000000.0,,
Depreciation Amortization Depletion,102000000.0,99000000.0,106000000.0,109000000.0,110000000.0,,
Depreciation And Amortization,102000000.0,99000000.0,106000000.0,109000000.0,110000000.0,,
Operating Gains Losses,-1000000.0,-1000000.0,22000000.0,0.0,0.0,,
Pension And Employee Benefit Expense,-1000000.0,-1000000.0,22000000.0,0.0,0.0,,
Gain Loss On Sale Of Business,0.0,0.0,0.0,0.0,0.0,,
Net Income From Continuing Operations,145000000.0,194000000.0,145000000.0,66000000.0,173000000.0,,
