,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31
Tax Effect Of Unusual Items,-746113.989637,-1210937.5,-1483695.652174,-28860000.0,-9287449.392713,
Tax Rate For Calcs,0.248705,0.242188,0.211957,0.185,0.299595,
Normalized EBITDA,380000000.0,441000000.0,382000000.0,431000000.0,476000000.0,
Total Unusual Items,-3000000.0,-5000000.0,-7000000.0,-156000000.0,-31000000.0,
Total Unusual Items Excluding Goodwill,-3000000.0,-5000000.0,-7000000.0,-156000000.0,-31000000.0,
Net Income From Continuing Operation Net Minority Interest,145000000.0,194000000.0,145000000.0,66000000.0,173000000.0,
Reconciled Depreciation,102000000.0,99000000.0,106000000.0,109000000.0,110000000.0,
Reconciled Cost Of Revenue,1755000000.0,1797000000.0,1520000000.0,1657000000.0,1775000000.0,
EBITDA,377000000.0,436000000.0,375000000.0,275000000.0,445000000.0,
EBIT,275000000.0,337000000.0,269000000.0,166000000.0,335000000.0,
Net Interest Income,-80000000.0,-80000000.0,-85000000.0,-80000000.0,-80000000.0,
Interest Expense,82000000.0,81000000.0,85000000.0,85000000.0,88000000.0,
Interest Income,2000000.0,1000000.0,0.0,5000000.0,8000000.0,
Normalized Income,147253886.010363,197789062.5,150516304.347826,193140000.0,194712550.607287,
Net Income From Continuing And Discontinued Operation,145000000.0,194000000.0,145000000.0,66000000.0,173000000.0,
Total Expenses,2291000000.0,2340000000.0,2026000000.0,2167000000.0,2331000000.0,
Diluted Average Shares,299000000.0,299000000.0,299000000.0,299000000.0,299000000.0,
Basic Average Shares,298000000.0,298000000.0,298000000.0,298000000.0,298000000.0,
Diluted EPS,0.48,0.65,0.48,0.22,0.58,
Basic EPS,0.49,0.72,0.49,0.22,0.58,
Diluted NI Availto Com Stockholders,145000000.0,194000000.0,145000000.0,66000000.0,173000000.0,
Net Income Common Stockholders,145000000.0,194000000.0,145000000.0,66000000.0,173000000.0,
Net Income,145000000.0,194000000.0,145000000.0,66000000.0,173000000.0,
Minority Interests,0.0,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,145000000.0,194000000.0,145000000.0,66000000.0,173000000.0,
Net Income Continuous Operations,145000000.0,194000000.0,145000000.0,66000000.0,173000000.0,
Tax Provision,48000000.0,62000000.0,39000000.0,15000000.0,74000000.0,
Pretax Income,193000000.0,256000000.0,184000000.0,81000000.0,247000000.0,
Other Income Expense,,-1000000.0,-26000000.0,-147000000.0,-27000000.0,-29000000.0
Other Non Operating Income Expenses,3000000.0,4000000.0,-19000000.0,9000000.0,4000000.0,
Special Income Charges,-3000000.0,-5000000.0,-7000000.0,-156000000.0,-31000000.0,
Gain On Sale Of Business,0.0,0.0,0.0,0.0,0.0,
Impairment Of Capital Assets,0.0,,0.0,150000000.0,26000000.0,
Restructuring And Mergern Acquisition,3000000.0,5000000.0,7000000.0,6000000.0,5000000.0,
Net Non Operating Interest Income Expense,-80000000.0,-80000000.0,-85000000.0,-80000000.0,-80000000.0,
Interest Expense Non Operating,82000000.0,81000000.0,85000000.0,85000000.0,88000000.0,
Interest Income Non Operating,2000000.0,1000000.0,0.0,5000000.0,8000000.0,
Operating Income,273000000.0,337000000.0,295000000.0,308000000.0,354000000.0,
Operating Expense,444000000.0,455000000.0,410000000.0,420000000.0,465000000.0,
Depreciation Amortization Depletion Income Statement,10000000.0,11000000.0,10000000.0,19000000.0,19000000.0,
Depreciation And Amortization In Income Statement,10000000.0,11000000.0,10000000.0,19000000.0,19000000.0,
Amortization,10000000.0,11000000.0,10000000.0,19000000.0,19000000.0,
Amortization Of Intangibles Income Statement,10000000.0,11000000.0,10000000.0,19000000.0,19000000.0,
Research And Development,22000000.0,24000000.0,26000000.0,23000000.0,25000000.0,
Selling General And Administration,412000000.0,420000000.0,374000000.0,378000000.0,421000000.0,
Selling And Marketing Expense,252000000.0,253000000.0,202000000.0,216000000.0,256000000.0,
General And Administrative Expense,160000000.0,167000000.0,172000000.0,162000000.0,165000000.0,
Other Gand A,160000000.0,167000000.0,172000000.0,162000000.0,165000000.0,
Gross Profit,717000000.0,792000000.0,705000000.0,728000000.0,819000000.0,
Cost Of Revenue,1847000000.0,1885000000.0,1616000000.0,1747000000.0,1866000000.0,
Total Revenue,2564000000.0,2677000000.0,2321000000.0,2475000000.0,2685000000.0,
Operating Revenue,2564000000.0,2677000000.0,2321000000.0,2475000000.0,2685000000.0,
