,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Free Cash Flow,1539000000.0,2889000000.0,4017000000.0,3796000000.0,2031000000.0,,
Repurchase Of Capital Stock,-1079000000.0,-2276000000.0,-1564000000.0,-2415000000.0,-1075000000.0,,
Repayment Of Debt,-204000000.0,-2788000000.0,-3528000000.0,-7163000000.0,-6561000000.0,,
Issuance Of Debt,2682000000.0,1559000000.0,1904000000.0,6982000000.0,4674000000.0,,
Issuance Of Capital Stock,,,416000000.0,0.0,,,367000000.0
Capital Expenditure,-283000000.0,-323000000.0,-217000000.0,-261000000.0,-210000000.0,,
Interest Paid Supplemental Data,85000000.0,616000000.0,130000000.0,601000000.0,224000000.0,,
Income Tax Paid Supplemental Data,2935000000.0,634000000.0,627000000.0,583000000.0,2039000000.0,,
End Cash Position,7459000000.0,8401000000.0,8910000000.0,8918000000.0,9508000000.0,,
Beginning Cash Position,8401000000.0,8910000000.0,8918000000.0,9508000000.0,10208000000.0,,
Effect Of Exchange Rate Changes,-19000000.0,-14000000.0,-20000000.0,-15000000.0,-18000000.0,,
Changes In Cash,-923000000.0,-495000000.0,12000000.0,-575000000.0,-682000000.0,,
Financing Cash Flow,-1439000000.0,-3863000000.0,-3949000000.0,-5137000000.0,-3945000000.0,,
Cash Flow From Continuing Financing Activities,-1439000000.0,-3863000000.0,-3949000000.0,-5137000000.0,-3945000000.0,,
Net Other Financing Charges,-1065000000.0,-1000000.0,0.0,577000000.0,-654000000.0,,
Cash Dividends Paid,-1617000000.0,-1617000000.0,-1625000000.0,-1627000000.0,-1593000000.0,,
Common Stock Dividend Paid,-1617000000.0,-1617000000.0,-1625000000.0,-1627000000.0,-1593000000.0,,
Net Common Stock Issuance,-725000000.0,-2276000000.0,-1148000000.0,-2415000000.0,-755000000.0,,
Common Stock Payments,-1079000000.0,-2276000000.0,-1564000000.0,-2415000000.0,-1075000000.0,,
Common Stock Issuance,,,416000000.0,0.0,,,367000000.0
Net Issuance Payments Of Debt,1968000000.0,31000000.0,-1176000000.0,-1672000000.0,-943000000.0,,
Net Short Term Debt Issuance,-510000000.0,1260000000.0,448000000.0,-1491000000.0,944000000.0,,
Net Long Term Debt Issuance,2478000000.0,-1229000000.0,-1624000000.0,-181000000.0,-1887000000.0,,
Long Term Debt Payments,-204000000.0,-2788000000.0,-3528000000.0,-7163000000.0,-6561000000.0,,
Long Term Debt Issuance,2682000000.0,1559000000.0,1904000000.0,6982000000.0,4674000000.0,,
Investing Cash Flow,-1306000000.0,156000000.0,-273000000.0,505000000.0,1022000000.0,,
Cash Flow From Continuing Investing Activities,-1306000000.0,156000000.0,-273000000.0,505000000.0,1022000000.0,,
Net Other Investing Changes,14000000.0,-22000000.0,14000000.0,0.0,-4000000.0,,
Net Investment Purchase And Sale,-998000000.0,508000000.0,-70000000.0,800000000.0,1276000000.0,,
Sale Of Investment,1293000000.0,2510000000.0,1571000000.0,1733000000.0,1857000000.0,,
Purchase Of Investment,-2291000000.0,-2002000000.0,-1641000000.0,-933000000.0,-581000000.0,,
Net Business Purchase And Sale,-39000000.0,-7000000.0,0.0,-34000000.0,-40000000.0,,
Purchase Of Business,-39000000.0,-7000000.0,0.0,-34000000.0,-40000000.0,,
Net PPE Purchase And Sale,-283000000.0,-323000000.0,-217000000.0,-261000000.0,-210000000.0,,
Purchase Of PPE,-283000000.0,-323000000.0,-217000000.0,-261000000.0,-210000000.0,,
Operating Cash Flow,1822000000.0,3212000000.0,4234000000.0,4057000000.0,2241000000.0,,
Cash Flow From Continuing Operating Activities,1822000000.0,3212000000.0,4234000000.0,4057000000.0,2241000000.0,,
Change In Working Capital,-2810000000.0,-1153000000.0,525000000.0,338000000.0,-1831000000.0,,
Change In Other Working Capital,-1942000000.0,-851000000.0,935000000.0,314000000.0,-1063000000.0,,
Change In Other Current Liabilities,557000000.0,-374000000.0,979000000.0,-810000000.0,-13000000.0,,
Change In Other Current Assets,-50000000.0,-592000000.0,17000000.0,-89000000.0,-237000000.0,,
Change In Payables And Accrued Expense,763000000.0,-647000000.0,645000000.0,211000000.0,371000000.0,,
Change In Accrued Expense,419000000.0,-539000000.0,378000000.0,-138000000.0,461000000.0,,
Change In Payable,344000000.0,-108000000.0,267000000.0,349000000.0,-90000000.0,,
Change In Account Payable,344000000.0,-108000000.0,267000000.0,349000000.0,-90000000.0,,
Change In Inventory,-527000000.0,-234000000.0,-332000000.0,100000000.0,212000000.0,,
Change In Receivables,-1611000000.0,1545000000.0,-1719000000.0,612000000.0,-1101000000.0,,
Changes In Account Receivables,-1803000000.0,1857000000.0,-1428000000.0,437000000.0,-1258000000.0,,
Other Non Cash Items,,-3000000.0,,,,-1000000.0,
Stock Based Compensation,934000000.0,1055000000.0,948000000.0,945000000.0,921000000.0,,
Provisionand Write Offof Assets,,,7000000.0,10000000.0,8000000.0,-1000000.0,15000000.0
Deferred Tax,-89000000.0,25000000.0,-341000000.0,-410000000.0,-101000000.0,,
Deferred Income Tax,-89000000.0,25000000.0,-341000000.0,-410000000.0,-101000000.0,,
Depreciation Amortization Depletion,659000000.0,606000000.0,635000000.0,626000000.0,761000000.0,,
Depreciation And Amortization,659000000.0,606000000.0,635000000.0,626000000.0,761000000.0,,
Depreciation,659000000.0,606000000.0,635000000.0,626000000.0,761000000.0,,
