,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31
Tax Effect Of Unusual Items,2971201.316511,6733411.972869,8384128.042681,-13950000.0,-5723588.500173
Tax Rate For Calcs,0.129183,0.156591,0.149717,0.155,0.158989
Normalized EBITDA,4652000000.0,4304000000.0,3946000000.0,4066000000.0,4088000000.0
Total Unusual Items,23000000.0,43000000.0,56000000.0,-90000000.0,-36000000.0
Total Unusual Items Excluding Goodwill,23000000.0,43000000.0,56000000.0,-90000000.0,-36000000.0
Net Income From Continuing Operation Net Minority Interest,3175000000.0,2860000000.0,2550000000.0,2491000000.0,2428000000.0
Reconciled Depreciation,659000000.0,606000000.0,635000000.0,626000000.0,761000000.0
Reconciled Cost Of Revenue,4949000000.0,4763000000.0,5012000000.0,4489000000.0,4384000000.0
EBITDA,4675000000.0,4347000000.0,4002000000.0,3976000000.0,4052000000.0
EBIT,4016000000.0,3741000000.0,3367000000.0,3350000000.0,3291000000.0
Net Interest Income,-160000000.0,-128000000.0,-141000000.0,-153000000.0,-166000000.0
Interest Expense,370000000.0,350000000.0,368000000.0,403000000.0,404000000.0
Interest Income,210000000.0,222000000.0,227000000.0,250000000.0,238000000.0
Normalized Income,3154971201.316511,2823733411.972869,2502384128.042681,2567050000.0,2458276411.499827
Net Income From Continuing And Discontinued Operation,3175000000.0,2860000000.0,2550000000.0,2491000000.0,2428000000.0
Total Expenses,11532000000.0,11373000000.0,11551000000.0,10913000000.0,10868000000.0
Total Operating Income As Reported,3781000000.0,3363000000.0,3087000000.0,3202000000.0,3113000000.0
Diluted Average Shares,3984000000.0,3993000000.0,3992000000.0,4002000000.0,4005000000.0
Basic Average Shares,3955000000.0,3956000000.0,3960000000.0,3972000000.0,3981000000.0
Diluted EPS,0.8,0.72,0.71,0.62,0.61
Basic EPS,0.8,0.72,0.71,0.63,0.61
Diluted NI Availto Com Stockholders,3175000000.0,2860000000.0,2550000000.0,2491000000.0,2428000000.0
Net Income Common Stockholders,3175000000.0,2860000000.0,2550000000.0,2491000000.0,2428000000.0
Net Income,3175000000.0,2860000000.0,2550000000.0,2491000000.0,2428000000.0
Net Income Including Noncontrolling Interests,3175000000.0,2860000000.0,2550000000.0,2491000000.0,2428000000.0
Net Income Continuous Operations,3175000000.0,2860000000.0,2550000000.0,2491000000.0,2428000000.0
Tax Provision,471000000.0,531000000.0,449000000.0,456000000.0,459000000.0
Pretax Income,3646000000.0,3391000000.0,2999000000.0,2947000000.0,2887000000.0
Other Income Expense,-11000000.0,9000000.0,18000000.0,-136000000.0,-70000000.0
Other Non Operating Income Expenses,-34000000.0,-34000000.0,-38000000.0,-46000000.0,-34000000.0
Special Income Charges,-36000000.0,-147000000.0,-35000000.0,-34000000.0,-10000000.0
Restructuring And Mergern Acquisition,36000000.0,147000000.0,35000000.0,34000000.0,10000000.0
Gain On Sale Of Security,59000000.0,190000000.0,91000000.0,-56000000.0,-26000000.0
Net Non Operating Interest Income Expense,-160000000.0,-128000000.0,-141000000.0,-153000000.0,-166000000.0
Interest Expense Non Operating,370000000.0,350000000.0,368000000.0,403000000.0,404000000.0
Interest Income Non Operating,210000000.0,222000000.0,227000000.0,250000000.0,238000000.0
Operating Income,3817000000.0,3510000000.0,3122000000.0,3236000000.0,3123000000.0
Operating Expense,6155000000.0,6235000000.0,6158000000.0,6042000000.0,5988000000.0
Depreciation Amortization Depletion Income Statement,231000000.0,231000000.0,254000000.0,244000000.0,265000000.0
Depreciation And Amortization In Income Statement,231000000.0,231000000.0,254000000.0,244000000.0,265000000.0
Amortization,231000000.0,231000000.0,254000000.0,244000000.0,265000000.0
Amortization Of Intangibles Income Statement,231000000.0,231000000.0,254000000.0,244000000.0,265000000.0
Research And Development,2355000000.0,2400000000.0,2380000000.0,2335000000.0,2299000000.0
Selling General And Administration,3569000000.0,3604000000.0,3524000000.0,3463000000.0,3424000000.0
Selling And Marketing Expense,2881000000.0,2871000000.0,2818000000.0,2724000000.0,2672000000.0
General And Administrative Expense,688000000.0,733000000.0,706000000.0,739000000.0,752000000.0
Other Gand A,688000000.0,733000000.0,706000000.0,739000000.0,752000000.0
Gross Profit,9972000000.0,9745000000.0,9280000000.0,9278000000.0,9111000000.0
Cost Of Revenue,5377000000.0,5138000000.0,5393000000.0,4871000000.0,4880000000.0
Total Revenue,15349000000.0,14883000000.0,14673000000.0,14149000000.0,13991000000.0
Operating Revenue,15349000000.0,14883000000.0,14673000000.0,14149000000.0,13991000000.0
