,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,1859740714.0,1862136956.0,1864277014.0,1878545871.0,1900189590.0,
Share Issued,1859740714.0,1862136956.0,1864277014.0,1878545871.0,1900189590.0,
Net Debt,18203000000.0,18550000000.0,18779000000.0,17987000000.0,17570000000.0,
Total Debt,19352000000.0,19643000000.0,19650000000.0,19615000000.0,18989000000.0,
Tangible Book Value,12888000000.0,12483000000.0,11935000000.0,11740000000.0,12069000000.0,
Invested Capital,32028000000.0,31915000000.0,31538000000.0,31296000000.0,31005000000.0,
Working Capital,-583000000.0,-455000000.0,-678000000.0,-401000000.0,-456000000.0,
Net Tangible Assets,12888000000.0,12483000000.0,11935000000.0,11740000000.0,12069000000.0,
Capital Lease Obligations,479000000.0,481000000.0,484000000.0,489000000.0,486000000.0,
Common Stock Equity,13155000000.0,12753000000.0,12372000000.0,12170000000.0,12502000000.0,
Total Capitalization,31320000000.0,31307000000.0,30922000000.0,30691000000.0,30399000000.0,
Total Equity Gross Minority Interest,13160000000.0,12758000000.0,12377000000.0,12175000000.0,12507000000.0,
Minority Interest,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,
Stockholders Equity,13155000000.0,12753000000.0,12372000000.0,12170000000.0,12502000000.0,
Gains Losses Not Affecting Retained Earnings,-213000000.0,-220000000.0,-224000000.0,-227000000.0,-232000000.0,
Other Equity Adjustments,-213000000.0,-220000000.0,-224000000.0,-227000000.0,-232000000.0,
Retained Earnings,10560000000.0,10191000000.0,9850000000.0,9655000000.0,9988000000.0,
Additional Paid In Capital,948000000.0,920000000.0,882000000.0,864000000.0,846000000.0,
Capital Stock,1860000000.0,1862000000.0,1864000000.0,1878000000.0,1900000000.0,
Common Stock,1860000000.0,1862000000.0,1864000000.0,1878000000.0,1900000000.0,
Total Liabilities Net Minority Interest,30522000000.0,30521000000.0,30552000000.0,31024000000.0,30257000000.0,
Total Non Current Liabilities Net Minority Interest,27389000000.0,27555000000.0,27569000000.0,27603000000.0,26981000000.0,
Other Non Current Liabilities,536000000.0,500000000.0,513000000.0,535000000.0,560000000.0,
Non Current Deferred Liabilities,7914000000.0,7709000000.0,7718000000.0,7739000000.0,7725000000.0,
Non Current Deferred Taxes Liabilities,7914000000.0,7709000000.0,7718000000.0,7739000000.0,7725000000.0,
Long Term Debt And Capital Lease Obligation,18644000000.0,19035000000.0,19034000000.0,19010000000.0,18383000000.0,
Long Term Capital Lease Obligation,479000000.0,481000000.0,484000000.0,489000000.0,486000000.0,
Long Term Debt,18165000000.0,18554000000.0,18550000000.0,18521000000.0,17897000000.0,
Long Term Provisions,295000000.0,311000000.0,304000000.0,319000000.0,313000000.0,
Current Liabilities,3133000000.0,2966000000.0,2983000000.0,3421000000.0,3276000000.0,
Other Current Liabilities,272000000.0,252000000.0,327000000.0,279000000.0,243000000.0,
Current Debt And Capital Lease Obligation,708000000.0,608000000.0,616000000.0,605000000.0,606000000.0,
Current Debt,708000000.0,608000000.0,616000000.0,605000000.0,606000000.0,
Current Provisions,184000000.0,159000000.0,158000000.0,146000000.0,149000000.0,
Payables And Accrued Expenses,1969000000.0,1947000000.0,1882000000.0,2391000000.0,2278000000.0,
Current Accrued Expenses,170000000.0,,,,172000000.0,
Interest Payable,170000000.0,,,,172000000.0,
Payables,1799000000.0,1947000000.0,1882000000.0,2391000000.0,2106000000.0,
