,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,709000000.0,607000000.0,-141000000.0,536000000.0,550000000.0,
Repurchase Of Capital Stock,-112000000.0,-112000000.0,-421000000.0,-751000000.0,-1025000000.0,
Repayment Of Debt,-601000000.0,-9000000.0,-1000000.0,-2000000.0,-2000000.0,
Issuance Of Debt,300000000.0,0.0,0.0,600000000.0,0.0,
Capital Expenditure,-677000000.0,-730000000.0,-776000000.0,-719000000.0,-838000000.0,
End Cash Position,670000000.0,612000000.0,387000000.0,1139000000.0,933000000.0,
Beginning Cash Position,612000000.0,387000000.0,1139000000.0,933000000.0,1644000000.0,
Changes In Cash,58000000.0,225000000.0,-752000000.0,206000000.0,-711000000.0,
Financing Cash Flow,-622000000.0,-421000000.0,-580000000.0,-402000000.0,-1216000000.0,
Cash Flow From Continuing Financing Activities,-622000000.0,-421000000.0,-580000000.0,-402000000.0,-1216000000.0,
Net Other Financing Charges,33000000.0,-58000000.0,85000000.0,-4000000.0,41000000.0,
Cash Dividends Paid,-242000000.0,-242000000.0,-243000000.0,-245000000.0,-230000000.0,
Common Stock Dividend Paid,,-242000000.0,-243000000.0,-245000000.0,,-232000000.0
Net Common Stock Issuance,-112000000.0,-112000000.0,-421000000.0,-751000000.0,-1025000000.0,
Common Stock Payments,-112000000.0,-112000000.0,-421000000.0,-751000000.0,-1025000000.0,
Net Issuance Payments Of Debt,-301000000.0,-9000000.0,-1000000.0,598000000.0,-2000000.0,
Net Long Term Debt Issuance,-301000000.0,-9000000.0,-1000000.0,598000000.0,-2000000.0,
Long Term Debt Payments,-601000000.0,-9000000.0,-1000000.0,-2000000.0,-2000000.0,
Long Term Debt Issuance,300000000.0,0.0,0.0,600000000.0,0.0,
Investing Cash Flow,-706000000.0,-691000000.0,-807000000.0,-647000000.0,-883000000.0,
Cash Flow From Continuing Investing Activities,-706000000.0,-691000000.0,-807000000.0,-647000000.0,-883000000.0,
Net Other Investing Changes,-50000000.0,22000000.0,-45000000.0,-18000000.0,-3000000.0,
Net Investment Purchase And Sale,8000000.0,3000000.0,2000000.0,67000000.0,-56000000.0,
Sale Of Investment,8000000.0,3000000.0,2000000.0,67000000.0,10000000.0,
Purchase Of Investment,,,,,-66000000.0,0.0
Net Business Purchase And Sale,-1000000.0,-1000000.0,-14000000.0,0.0,-2000000.0,
Purchase Of Business,-1000000.0,-1000000.0,-14000000.0,0.0,-2000000.0,
Net PPE Purchase And Sale,-663000000.0,-715000000.0,-750000000.0,-696000000.0,-822000000.0,
Sale Of PPE,14000000.0,15000000.0,26000000.0,23000000.0,16000000.0,
Purchase Of PPE,-677000000.0,-730000000.0,-776000000.0,-719000000.0,-838000000.0,
Operating Cash Flow,1386000000.0,1337000000.0,635000000.0,1255000000.0,1388000000.0,
Cash Flow From Continuing Operating Activities,1386000000.0,1337000000.0,635000000.0,1255000000.0,1388000000.0,
Change In Working Capital,223000000.0,-81000000.0,-561000000.0,175000000.0,164000000.0,
Change In Other Current Liabilities,112000000.0,-5000000.0,53000000.0,-46000000.0,4000000.0,
Change In Other Current Assets,-55000000.0,-19000000.0,21000000.0,-34000000.0,18000000.0,
Change In Payables And Accrued Expense,48000000.0,-63000000.0,-608000000.0,264000000.0,67000000.0,
Change In Payable,48000000.0,-63000000.0,-608000000.0,264000000.0,67000000.0,
Change In Account Payable,-61000000.0,83000000.0,-71000000.0,89000000.0,-62000000.0,
Change In Tax Payable,109000000.0,-146000000.0,-537000000.0,175000000.0,129000000.0,
Change In Income Tax Payable,109000000.0,-146000000.0,-537000000.0,175000000.0,129000000.0,
Change In Receivables,118000000.0,6000000.0,-27000000.0,-9000000.0,75000000.0,
Changes In Account Receivables,118000000.0,6000000.0,-27000000.0,-9000000.0,75000000.0,
Other Non Cash Items,-12000000.0,-8000000.0,-46000000.0,-4000000.0,-29000000.0,
Asset Impairment Charge,0.0,,,,,
Deferred Tax,51000000.0,144000000.0,-14000000.0,13000000.0,-7000000.0,
Deferred Income Tax,51000000.0,144000000.0,-14000000.0,13000000.0,-7000000.0,
Depreciation Amortization Depletion,404000000.0,424000000.0,427000000.0,425000000.0,422000000.0,
Depreciation And Amortization,404000000.0,424000000.0,427000000.0,425000000.0,422000000.0,
Operating Gains Losses,,,,,-3000000.0,1000000.0
Gain Loss On Sale Of PPE,,,,,-3000000.0,1000000.0
Net Income From Continuing Operations,720000000.0,694000000.0,829000000.0,646000000.0,733000000.0,
