,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,2606000000.0,98000000.0,1290000000.0,3813000000.0,1092000000.0,
Repurchase Of Capital Stock,0.0,0.0,0.0,0.0,0.0,
Repayment Of Debt,-1267000000.0,-3719000000.0,-19000000.0,-743000000.0,-3067000000.0,
Issuance Of Debt,0.0,3969000000.0,,,4273000000.0,600000000.0
Capital Expenditure,-784000000.0,-698000000.0,-607000000.0,-743000000.0,-768000000.0,
End Cash Position,8712000000.0,9352000000.0,12025000000.0,10346000000.0,8884000000.0,
Beginning Cash Position,9352000000.0,12025000000.0,10346000000.0,8884000000.0,7140000000.0,
Changes In Cash,-640000000.0,-2673000000.0,1679000000.0,1462000000.0,1744000000.0,
Financing Cash Flow,-2032000000.0,-1382000000.0,806000000.0,-2332000000.0,431000000.0,
Cash Flow From Continuing Financing Activities,-2032000000.0,-1382000000.0,806000000.0,-2332000000.0,431000000.0,
Net Other Financing Charges,-6000000.0,18000000.0,-136000000.0,-34000000.0,44000000.0,
Proceeds From Stock Option Exercised,86000000.0,117000000.0,47000000.0,144000000.0,19000000.0,
Cash Dividends Paid,-845000000.0,-846000000.0,-866000000.0,-840000000.0,-838000000.0,
Common Stock Dividend Paid,-845000000.0,-846000000.0,-866000000.0,-840000000.0,-838000000.0,
Net Common Stock Issuance,0.0,0.0,0.0,0.0,0.0,
Common Stock Payments,0.0,0.0,0.0,0.0,0.0,
Net Issuance Payments Of Debt,-1267000000.0,-671000000.0,1761000000.0,-1602000000.0,1206000000.0,
Net Short Term Debt Issuance,-1247000000.0,-1793000000.0,1780000000.0,-859000000.0,1319000000.0,
Short Term Debt Payments,-1247000000.0,,,,0.0,200000000.0
Short Term Debt Issuance,,,,,1319000000.0,600000000.0
Net Long Term Debt Issuance,-20000000.0,1122000000.0,-19000000.0,-743000000.0,-113000000.0,
Long Term Debt Payments,-20000000.0,-2847000000.0,-19000000.0,-743000000.0,-3067000000.0,
Long Term Debt Issuance,0.0,3969000000.0,,,2954000000.0,0.0
Investing Cash Flow,-1998000000.0,-2087000000.0,-1024000000.0,-762000000.0,-547000000.0,
Cash Flow From Continuing Investing Activities,-1998000000.0,-2087000000.0,-1024000000.0,-762000000.0,-547000000.0,
Net Other Investing Changes,17000000.0,-14000000.0,4000000.0,19000000.0,26000000.0,
Net Investment Purchase And Sale,-1224000000.0,-1085000000.0,-302000000.0,-18000000.0,205000000.0,
Sale Of Investment,2743000000.0,2774000000.0,3332000000.0,3534000000.0,2719000000.0,
Purchase Of Investment,-3967000000.0,-3859000000.0,-3634000000.0,-3552000000.0,-2514000000.0,
Net Business Purchase And Sale,-7000000.0,-290000000.0,-119000000.0,-20000000.0,-10000000.0,
Purchase Of Business,-7000000.0,-290000000.0,-119000000.0,-20000000.0,-10000000.0,
Net PPE Purchase And Sale,-784000000.0,-698000000.0,-607000000.0,-743000000.0,-768000000.0,
Purchase Of PPE,-784000000.0,-698000000.0,-607000000.0,-743000000.0,-768000000.0,
Operating Cash Flow,3390000000.0,796000000.0,1897000000.0,4556000000.0,1860000000.0,
Cash Flow From Continuing Operating Activities,3390000000.0,796000000.0,1897000000.0,4556000000.0,1860000000.0,
Change In Working Capital,-1021000000.0,-1571000000.0,-309000000.0,1427000000.0,-394000000.0,
Change In Other Current Liabilities,-855000000.0,1110000000.0,-118000000.0,1876000000.0,-479000000.0,
Change In Other Current Assets,-2005000000.0,381000000.0,132000000.0,-1101000000.0,812000000.0,
Change In Payables And Accrued Expense,-1915000000.0,1989000000.0,814000000.0,2983000000.0,45000000.0,
Change In Payable,-1915000000.0,1989000000.0,814000000.0,2983000000.0,45000000.0,
Change In Account Payable,-1197000000.0,1221000000.0,1212000000.0,2619000000.0,166000000.0,
Change In Inventory,-285000000.0,-1653000000.0,-51000000.0,722000000.0,-457000000.0,
Change In Receivables,4039000000.0,-3398000000.0,-1086000000.0,-3053000000.0,-315000000.0,
Changes In Account Receivables,4039000000.0,-3398000000.0,-1086000000.0,-3053000000.0,-315000000.0,
Stock Based Compensation,135000000.0,138000000.0,136000000.0,126000000.0,137000000.0,
Asset Impairment Charge,0.0,,,,0.0,
Deferred Tax,542000000.0,-157000000.0,-114000000.0,-169000000.0,340000000.0,
Deferred Income Tax,542000000.0,-157000000.0,-114000000.0,-169000000.0,340000000.0,
Depreciation Amortization Depletion,1147000000.0,1134000000.0,1171000000.0,1154000000.0,1147000000.0,
Depreciation And Amortization,1147000000.0,1134000000.0,1171000000.0,1154000000.0,1147000000.0,
Operating Gains Losses,0.0,-483000000.0,0.0,236000000.0,,
Gain Loss On Sale Of Business,0.0,-483000000.0,0.0,236000000.0,,
Net Income From Continuing Operations,2923000000.0,-3990000000.0,1013000000.0,1782000000.0,1623000000.0,
