,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,-1100820000.0,0.0,0.0,90142521.16651,
Tax Rate For Calcs,0.21,0.21,0.385,0.319,0.236595,
Normalized EBITDA,3288000000.0,3678000000.0,3581000000.0,4556000000.0,3650000000.0,
Total Unusual Items,0.0,-5242000000.0,,,381000000.0,-1169000000.0
Total Unusual Items Excluding Goodwill,0.0,-5242000000.0,,,381000000.0,-1169000000.0
Net Income From Continuing Operation Net Minority Interest,2943000000.0,-3975000000.0,1021000000.0,1779000000.0,1644000000.0,
Reconciled Depreciation,1147000000.0,1134000000.0,1171000000.0,1154000000.0,1147000000.0,
Reconciled Cost Of Revenue,92126000000.0,89065000000.0,85322000000.0,80192000000.0,84811000000.0,
EBITDA,3288000000.0,-1564000000.0,3581000000.0,4556000000.0,4031000000.0,
EBIT,2141000000.0,-2698000000.0,2410000000.0,3402000000.0,2884000000.0,
Net Interest Income,-787000000.0,-784000000.0,-763000000.0,-785000000.0,-758000000.0,
Interest Expense,787000000.0,784000000.0,763000000.0,785000000.0,758000000.0,
Normalized Income,2943000000.0,166180000.0,1021000000.0,1779000000.0,1353142521.16651,
Net Income From Continuing And Discontinued Operation,2943000000.0,-3975000000.0,1021000000.0,1779000000.0,1644000000.0,
Total Expenses,103581000000.0,100353000000.0,96534000000.0,91214000000.0,95232000000.0,
Total Operating Income As Reported,2112000000.0,-3207000000.0,2381000000.0,3374000000.0,2368000000.0,
Diluted Average Shares,1277000000.0,1269000000.0,1270000000.0,1264000000.0,1261000000.0,
Basic Average Shares,1270000000.0,1269000000.0,1266000000.0,1261000000.0,1259000000.0,
Diluted EPS,2.3,-3.13,0.8,1.41,1.3,
Basic EPS,2.32,-3.13,0.81,1.41,1.31,
Diluted NI Availto Com Stockholders,2943000000.0,-3975000000.0,1021000000.0,1779000000.0,1644000000.0,
Net Income Common Stockholders,2943000000.0,-3975000000.0,1021000000.0,1779000000.0,1644000000.0,
Net Income,2943000000.0,-3975000000.0,1021000000.0,1779000000.0,1644000000.0,
Minority Interests,20000000.0,15000000.0,8000000.0,-3000000.0,21000000.0,
Net Income Including Noncontrolling Interests,2923000000.0,-3990000000.0,1013000000.0,1782000000.0,1623000000.0,
Net Income Continuous Operations,2923000000.0,-3990000000.0,1013000000.0,1782000000.0,1623000000.0,
Tax Provision,-1569000000.0,508000000.0,634000000.0,835000000.0,503000000.0,
Pretax Income,1354000000.0,-3482000000.0,1647000000.0,2617000000.0,2126000000.0,
Other Income Expense,29000000.0,-5216000000.0,29000000.0,28000000.0,406000000.0,
Other Non Operating Income Expenses,29000000.0,26000000.0,29000000.0,28000000.0,25000000.0,
Special Income Charges,0.0,-5242000000.0,,,381000000.0,-1169000000.0
Gain On Sale Of Ppe,,,,,0.0,0.0
Gain On Sale Of Business,0.0,483000000.0,,,,
Impairment Of Capital Assets,0.0,5725000000.0,,,,
Restructuring And Mergern Acquisition,0.0,0.0,,,10000000.0,1169000000.0
Net Non Operating Interest Income Expense,-787000000.0,-784000000.0,-763000000.0,-785000000.0,-758000000.0,
Interest Expense Non Operating,787000000.0,784000000.0,763000000.0,785000000.0,758000000.0,
Operating Income,2112000000.0,2518000000.0,2381000000.0,3374000000.0,2478000000.0,
Operating Expense,11455000000.0,11288000000.0,11212000000.0,11022000000.0,10421000000.0,
Other Operating Expenses,11455000000.0,11288000000.0,11212000000.0,11022000000.0,10421000000.0,
Gross Profit,13567000000.0,13806000000.0,13593000000.0,14396000000.0,12899000000.0,
Cost Of Revenue,92126000000.0,89065000000.0,85322000000.0,80192000000.0,84811000000.0,
Total Revenue,105693000000.0,102871000000.0,98915000000.0,94588000000.0,97710000000.0,
Operating Revenue,105693000000.0,102871000000.0,98915000000.0,94588000000.0,97710000000.0,
