,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,5525000000.0,4941000000.0,4864000000.0,1262000000.0,4357000000.0
Repurchase Of Capital Stock,-2998000000.0,-2566000000.0,-2598000000.0,-3917000000.0,-4500000000.0
Repayment Of Debt,-3197000000.0,-3616000000.0,-4761000000.0,-2778000000.0,-1556000000.0
Issuance Of Debt,2273000000.0,5675000000.0,4462000000.0,7808000000.0,168000000.0
Capital Expenditure,-5264000000.0,-4444000000.0,-3712000000.0,-3927000000.0,-4338000000.0
Interest Paid Supplemental Data,369000000.0,163000000.0,286000000.0,124000000.0,261000000.0
Income Tax Paid Supplemental Data,1780000000.0,1388000000.0,1584000000.0,2552000000.0,1872000000.0
End Cash Position,7285000000.0,8783000000.0,5375000000.0,6166000000.0,8262000000.0
Beginning Cash Position,8783000000.0,5375000000.0,6166000000.0,8262000000.0,5764000000.0
Effect Of Exchange Rate Changes,17000000.0,-6000000.0,50000000.0,-3000000.0,-85000000.0
Changes In Cash,-1515000000.0,3414000000.0,-841000000.0,-2093000000.0,2583000000.0
Financing Cash Flow,-7372000000.0,-4042000000.0,-5985000000.0,-1664000000.0,-8782000000.0
Cash Flow From Continuing Financing Activities,-7372000000.0,-4042000000.0,-5985000000.0,-1664000000.0,-8782000000.0
Net Other Financing Charges,-103000000.0,-190000000.0,-165000000.0,-11000000.0,-143000000.0
Proceeds From Stock Option Exercised,57000000.0,84000000.0,11000000.0,218000000.0,136000000.0
Cash Dividends Paid,-3404000000.0,-3429000000.0,-2934000000.0,-2984000000.0,-2887000000.0
Common Stock Dividend Paid,-3404000000.0,-3429000000.0,-2934000000.0,-2984000000.0,-2887000000.0
Net Common Stock Issuance,-2998000000.0,-2566000000.0,-2598000000.0,-3917000000.0,-4500000000.0
Common Stock Payments,-2998000000.0,-2566000000.0,-2598000000.0,-3917000000.0,-4500000000.0
Net Issuance Payments Of Debt,-924000000.0,2059000000.0,-299000000.0,5030000000.0,-1388000000.0
Net Short Term Debt Issuance,-242000000.0,-2710000000.0,2291000000.0,-400000000.0,-747000000.0
Short Term Debt Payments,-2279000000.0,-2710000000.0,-2171000000.0,-2717000000.0,-840000000.0
Short Term Debt Issuance,2037000000.0,0.0,4462000000.0,2317000000.0,93000000.0
Net Long Term Debt Issuance,-682000000.0,4769000000.0,-2590000000.0,5430000000.0,-641000000.0
Long Term Debt Payments,-918000000.0,-906000000.0,-2590000000.0,-61000000.0,-716000000.0
Long Term Debt Issuance,236000000.0,5675000000.0,0.0,5491000000.0,75000000.0
Investing Cash Flow,-4932000000.0,-1929000000.0,-3432000000.0,-5618000000.0,2670000000.0
Cash Flow From Continuing Investing Activities,-4932000000.0,-1929000000.0,-3432000000.0,-5618000000.0,2670000000.0
Net Other Investing Changes,277000000.0,1422000000.0,229000000.0,527000000.0,6936000000.0
Net Investment Purchase And Sale,-1000000.0,2000000.0,0.0,0.0,0.0
Sale Of Investment,3000000.0,5000000.0,9000000.0,0.0,2000000.0
Purchase Of Investment,-4000000.0,-3000000.0,-9000000.0,0.0,-2000000.0
