,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.381387,0.332656,0.39,0.37,0.21
Normalized EBITDA,10924000000.0,11633000000.0,8830000000.0,10030000000.0,10349000000.0
Net Income From Continuing Operation Net Minority Interest,2770000000.0,3539000000.0,2490000000.0,3500000000.0,3239000000.0
Reconciled Depreciation,5964000000.0,5849000000.0,4409000000.0,4235000000.0,4091000000.0
Reconciled Cost Of Revenue,31232000000.0,33179000000.0,31202000000.0,32733000000.0,35121000000.0
EBITDA,10924000000.0,11633000000.0,8830000000.0,10030000000.0,10349000000.0
EBIT,4960000000.0,5784000000.0,4421000000.0,5795000000.0,6258000000.0
Net Interest Income,-361000000.0,-370000000.0,-274000000.0,-212000000.0,-199000000.0
Interest Expense,361000000.0,370000000.0,274000000.0,212000000.0,199000000.0
Normalized Income,2770000000.0,3539000000.0,2490000000.0,3500000000.0,3239000000.0
Net Income From Continuing And Discontinued Operation,2770000000.0,3539000000.0,2490000000.0,3500000000.0,3239000000.0
Total Expenses,41764000000.0,43872000000.0,40318000000.0,41804000000.0,45918000000.0
Diluted Average Shares,1996984000.0,1946035000.0,1724397000.0,1751441000.0,1777366000.0
Basic Average Shares,1990448000.0,1938922000.0,1719184000.0,1744628000.0,1770310000.0
Diluted EPS,1.39,1.82,1.45,2.0,1.84
Basic EPS,1.39,1.83,1.45,2.01,1.85
Diluted NI Availto Com Stockholders,2770000000.0,3539000000.0,2490000000.0,3500000000.0,3239000000.0
Net Income Common Stockholders,2770000000.0,3539000000.0,2490000000.0,3500000000.0,3239000000.0
Net Income,2770000000.0,3539000000.0,2490000000.0,3500000000.0,3239000000.0
Minority Interests,-75000000.0,-74000000.0,-25000000.0,-12000000.0,-20000000.0
Net Income Including Noncontrolling Interests,2845000000.0,3613000000.0,2515000000.0,3512000000.0,3259000000.0
Net Income Continuous Operations,2845000000.0,3613000000.0,2515000000.0,3512000000.0,3259000000.0
Tax Provision,1754000000.0,1801000000.0,1632000000.0,2071000000.0,2800000000.0
Pretax Income,4599000000.0,5414000000.0,4147000000.0,5583000000.0,6059000000.0
Other Income Expense,937000000.0,1487000000.0,364000000.0,1498000000.0,3842000000.0
Other Non Operating Income Expenses,274000000.0,506000000.0,-172000000.0,678000000.0,3154000000.0
Earnings From Equity Interest,663000000.0,981000000.0,536000000.0,820000000.0,688000000.0
Net Non Operating Interest Income Expense,-361000000.0,-370000000.0,-274000000.0,-212000000.0,-199000000.0
Interest Expense Non Operating,361000000.0,370000000.0,274000000.0,212000000.0,199000000.0
Operating Income,4023000000.0,4297000000.0,4057000000.0,4297000000.0,2416000000.0
Operating Expense,10532000000.0,10693000000.0,9116000000.0,9071000000.0,10797000000.0
Other Operating Expenses,7713000000.0,7822000000.0,6926000000.0,6595000000.0,8071000000.0
Other Taxes,1327000000.0,1347000000.0,1301000000.0,1255000000.0,1141000000.0
Selling General And Administration,1492000000.0,1524000000.0,889000000.0,1221000000.0,1585000000.0
Gross Profit,14555000000.0,14990000000.0,13173000000.0,13368000000.0,13213000000.0
Cost Of Revenue,31232000000.0,33179000000.0,31202000000.0,32733000000.0,35121000000.0
Total Revenue,45787000000.0,48169000000.0,44375000000.0,46101000000.0,48334000000.0
Operating Revenue,45787000000.0,48169000000.0,44375000000.0,46101000000.0,48334000000.0
