,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31
Free Cash Flow,-1578000000.0,2628000000.0,1844000000.0,682000000.0,-1923000000.0,
Repurchase Of Capital Stock,-302000000.0,-2000000.0,-298000000.0,-397000000.0,-441000000.0,
Repayment Of Debt,-3360000000.0,-2461000000.0,-4966000000.0,-3084000000.0,-1753000000.0,
Issuance Of Debt,780000000.0,2454000000.0,5000000000.0,2539000000.0,3168000000.0,
Capital Expenditure,-688000000.0,-1367000000.0,-1052000000.0,-1018000000.0,-791000000.0,
End Cash Position,7073000000.0,8533000000.0,8847000000.0,8179000000.0,6907000000.0,
Beginning Cash Position,8533000000.0,8847000000.0,8179000000.0,6907000000.0,7633000000.0,
Effect Of Exchange Rate Changes,98000000.0,-31000000.0,88000000.0,107000000.0,-87000000.0,
Changes In Cash,-1558000000.0,-283000000.0,580000000.0,1165000000.0,-639000000.0,
Financing Cash Flow,-2490000000.0,-3022000000.0,-736000000.0,102000000.0,-923000000.0,
Cash Flow From Continuing Financing Activities,-2490000000.0,-3022000000.0,-736000000.0,102000000.0,-923000000.0,
Net Other Financing Charges,-15000000.0,-36000000.0,-33000000.0,0.0,-10000000.0,
Cash Dividends Paid,-441000000.0,-438000000.0,-439000000.0,-440000000.0,-403000000.0,
Common Stock Dividend Paid,-441000000.0,-438000000.0,-439000000.0,-440000000.0,-403000000.0,
Net Common Stock Issuance,-302000000.0,-2000000.0,-298000000.0,-397000000.0,-441000000.0,
Common Stock Payments,-302000000.0,-2000000.0,-298000000.0,-397000000.0,-441000000.0,
Net Issuance Payments Of Debt,-1732000000.0,-2546000000.0,34000000.0,939000000.0,-69000000.0,
Net Short Term Debt Issuance,848000000.0,-479000000.0,-2611000000.0,2035000000.0,-1484000000.0,
Short Term Debt Payments,,,,,-1484000000.0,
Net Long Term Debt Issuance,-2580000000.0,-2067000000.0,2645000000.0,-1096000000.0,1415000000.0,
Long Term Debt Payments,-3360000000.0,-4521000000.0,-2906000000.0,-3084000000.0,-1753000000.0,
Long Term Debt Issuance,780000000.0,2454000000.0,5551000000.0,1988000000.0,3168000000.0,
Investing Cash Flow,1822000000.0,-1256000000.0,-1580000000.0,-637000000.0,1416000000.0,
Cash Flow From Continuing Investing Activities,1822000000.0,-1256000000.0,-1580000000.0,-637000000.0,1416000000.0,
Net Other Investing Changes,2118000000.0,-408000000.0,-709000000.0,-165000000.0,1854000000.0,
Net Investment Purchase And Sale,15000000.0,22000000.0,-137000000.0,-22000000.0,-80000000.0,
Sale Of Investment,144000000.0,127000000.0,114000000.0,184000000.0,61000000.0,
Purchase Of Investment,-129000000.0,-105000000.0,-251000000.0,-206000000.0,-141000000.0,
Net Business Purchase And Sale,,-12000000.0,,,,
Purchase Of Business,,-12000000.0,,,,
Net PPE Purchase And Sale,-311000000.0,-858000000.0,-645000000.0,-450000000.0,-358000000.0,
Sale Of PPE,377000000.0,509000000.0,407000000.0,568000000.0,433000000.0,
Purchase Of PPE,-688000000.0,-1367000000.0,-1052000000.0,-1018000000.0,-791000000.0,
Operating Cash Flow,-890000000.0,3995000000.0,2896000000.0,1700000000.0,-1132000000.0,
Cash Flow From Continuing Operating Activities,-890000000.0,3995000000.0,2896000000.0,1700000000.0,-1132000000.0,
Change In Working Capital,-2164000000.0,2254000000.0,983000000.0,-875000000.0,-2805000000.0,
Change In Other Working Capital,-282000000.0,-41000000.0,-19000000.0,287000000.0,-1228000000.0,
Change In Payables And Accrued Expense,-1486000000.0,466000000.0,181000000.0,947000000.0,-1845000000.0,
Change In Inventory,-746000000.0,251000000.0,246000000.0,23000000.0,-795000000.0,
Change In Receivables,350000000.0,1578000000.0,575000000.0,-2132000000.0,1063000000.0,
Changes In Account Receivables,350000000.0,1578000000.0,575000000.0,-2132000000.0,1063000000.0,
Other Non Cash Items,-66000000.0,209000000.0,-4000000.0,286000000.0,-16000000.0,
Stock Based Compensation,41000000.0,47000000.0,50000000.0,26000000.0,28000000.0,
Provisionand Write Offof Assets,36000000.0,38000000.0,84000000.0,105000000.0,69000000.0,
Asset Impairment Charge,,12000000.0,61000000.0,0.0,-32000000.0,72000000.0
Deferred Tax,18000000.0,-186000000.0,-113000000.0,-197000000.0,208000000.0,
Deferred Income Tax,18000000.0,-186000000.0,-113000000.0,-197000000.0,208000000.0,
Depreciation Amortization Depletion,590000000.0,561000000.0,564000000.0,555000000.0,549000000.0,
Depreciation And Amortization,590000000.0,561000000.0,564000000.0,555000000.0,549000000.0,
Net Income From Continuing Operations,655000000.0,1060000000.0,1271000000.0,1800000000.0,867000000.0,
