,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.234,0.248421,0.211875,0.230638,0.03,
Normalized EBITDA,2145000000.0,2748000000.0,2958000000.0,3676000000.0,2273000000.0,
Net Income From Continuing Operation Net Minority Interest,656000000.0,1065000000.0,1289000000.0,1804000000.0,869000000.0,
Reconciled Depreciation,590000000.0,561000000.0,564000000.0,555000000.0,549000000.0,
Reconciled Cost Of Revenue,6280000000.0,8155000000.0,7570000000.0,7609000000.0,5037000000.0,
EBITDA,2145000000.0,2748000000.0,2958000000.0,3676000000.0,2273000000.0,
EBIT,1555000000.0,2187000000.0,2394000000.0,3121000000.0,1724000000.0,
Net Interest Income,-719000000.0,-762000000.0,-794000000.0,-784000000.0,-829000000.0,
Interest Expense,719000000.0,762000000.0,794000000.0,784000000.0,829000000.0,
Normalized Income,656000000.0,1065000000.0,1289000000.0,1804000000.0,869000000.0,
Net Income From Continuing And Discontinued Operation,656000000.0,1065000000.0,1289000000.0,1804000000.0,869000000.0,
Total Expenses,8056000000.0,10199000000.0,9624000000.0,9642000000.0,6784000000.0,
Diluted Average Shares,270900000.0,271100000.0,271400000.0,271800000.0,272300000.0,
Basic Average Shares,270300000.0,270300000.0,270700000.0,271100000.0,271600000.0,
Diluted EPS,2.42,3.93,4.75,6.64,3.19,
Basic EPS,2.43,3.94,4.76,6.65,3.2,
Diluted NI Availto Com Stockholders,656000000.0,1065000000.0,1289000000.0,1804000000.0,869000000.0,
Net Income Common Stockholders,656000000.0,1065000000.0,1289000000.0,1804000000.0,869000000.0,
Net Income,656000000.0,1065000000.0,1289000000.0,1804000000.0,869000000.0,
Minority Interests,1000000.0,5000000.0,18000000.0,3000000.0,2000000.0,
Net Income Including Noncontrolling Interests,655000000.0,1060000000.0,1271000000.0,1801000000.0,867000000.0,
Net Income Continuous Operations,655000000.0,1060000000.0,1271000000.0,1801000000.0,867000000.0,
Earnings From Equity Interest Net Of Tax,15000000.0,,10000000.0,3000000.0,-1000000.0,-28000000.0
Tax Provision,196000000.0,354000000.0,339000000.0,539000000.0,27000000.0,
Pretax Income,836000000.0,1425000000.0,1600000000.0,2337000000.0,895000000.0,
Other Income Expense,267000000.0,292000000.0,235000000.0,238000000.0,246000000.0,
Other Non Operating Income Expenses,267000000.0,235000000.0,235000000.0,238000000.0,246000000.0,
Net Non Operating Interest Income Expense,-719000000.0,-762000000.0,-794000000.0,-784000000.0,-829000000.0,
Interest Expense Non Operating,719000000.0,762000000.0,794000000.0,784000000.0,829000000.0,
Operating Income,1288000000.0,1895000000.0,2159000000.0,2883000000.0,1478000000.0,
Operating Expense,1776000000.0,2044000000.0,2054000000.0,2033000000.0,1747000000.0,
Other Operating Expenses,250000000.0,-415000000.0,281000000.0,287000000.0,249000000.0,
Research And Development,554000000.0,680000000.0,556000000.0,549000000.0,526000000.0,
Selling General And Administration,972000000.0,854000000.0,1217000000.0,1197000000.0,972000000.0,
Gross Profit,3064000000.0,3939000000.0,4213000000.0,4916000000.0,3225000000.0,
Cost Of Revenue,6280000000.0,8155000000.0,7570000000.0,7609000000.0,5037000000.0,
Total Revenue,9344000000.0,12094000000.0,11783000000.0,12525000000.0,8262000000.0,
Operating Revenue,9344000000.0,12094000000.0,11783000000.0,12525000000.0,8262000000.0,
