,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Ordinary Shares Number,220222000.0,220118000.0,220107000.0,220066000.0,219939000.0,,
Share Issued,220222000.0,220118000.0,220107000.0,220066000.0,219939000.0,,
Net Debt,3441781000.0,3894640000.0,4460535000.0,4894312000.0,5305912000.0,,
Total Debt,15718656000.0,16508423000.0,17067934000.0,17018014000.0,17463385000.0,,
Tangible Book Value,2973323000.0,2647851000.0,2473842000.0,2165374000.0,1875418000.0,,
Invested Capital,13092244000.0,13321403000.0,13757233000.0,13447993000.0,13652195000.0,,
Working Capital,936668000.0,1226053000.0,1697013000.0,1492638000.0,1295223000.0,,
Net Tangible Assets,2973323000.0,2647851000.0,2473842000.0,2165374000.0,1875418000.0,,
Capital Lease Obligations,11138374000.0,11373160000.0,11322832000.0,11273684000.0,11224897000.0,,
Common Stock Equity,8511962000.0,8186140000.0,8012131000.0,7703663000.0,7413707000.0,,
Total Capitalization,13077843000.0,13305604000.0,13737907000.0,13428402000.0,13132732000.0,,
Total Equity Gross Minority Interest,8511962000.0,8186140000.0,8012131000.0,7703663000.0,7413707000.0,,
Stockholders Equity,8511962000.0,8186140000.0,8012131000.0,7703663000.0,7413707000.0,,
Gains Losses Not Affecting Retained Earnings,11209000.0,7228000.0,6334000.0,4773000.0,2987000.0,,
Other Equity Adjustments,11209000.0,7228000.0,6334000.0,4773000.0,2987000.0,,
Retained Earnings,4398466000.0,4102091000.0,3949306000.0,3667792000.0,3405683000.0,,
Additional Paid In Capital,3909593000.0,3884217000.0,3863898000.0,3838541000.0,3812590000.0,,
Capital Stock,192694000.0,192604000.0,192593000.0,192557000.0,192447000.0,,
Common Stock,192694000.0,192604000.0,192593000.0,192557000.0,192447000.0,,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,,
Total Liabilities Net Minority Interest,22451768000.0,23532442000.0,23640980000.0,23283998000.0,23719026000.0,,
Total Non Current Liabilities Net Minority Interest,15490633000.0,16379408000.0,16939314000.0,16880333000.0,16850324000.0,,
Other Non Current Liabilities,280004000.0,276978000.0,265484000.0,264757000.0,262815000.0,,
Non Current Deferred Liabilities,1038863000.0,1133908000.0,1127793000.0,1096048000.0,1103701000.0,,
Non Current Deferred Taxes Liabilities,1038863000.0,1133908000.0,1127793000.0,1096048000.0,1103701000.0,,
Long Term Debt And Capital Lease Obligation,14171766000.0,14968522000.0,15546037000.0,15519528000.0,15483808000.0,,
Long Term Capital Lease Obligation,9605885000.0,9849058000.0,9820261000.0,9794789000.0,9764783000.0,,
Long Term Debt,4565881000.0,5119464000.0,5725776000.0,5724739000.0,5719025000.0,,
Current Liabilities,6961135000.0,7153034000.0,6701666000.0,6403665000.0,6868702000.0,,
Other Current Liabilities,454984000.0,,,,398885000.0,,
Current Debt And Capital Lease Obligation,1546890000.0,1539901000.0,1521897000.0,1498486000.0,1979577000.0,,
Current Capital Lease Obligation,1532489000.0,1524102000.0,1502571000.0,1478895000.0,1460114000.0,,
Current Debt,14401000.0,15799000.0,19326000.0,19591000.0,519463000.0,,
Other Current Borrowings,14401000.0,15799000.0,19326000.0,19591000.0,519463000.0,,
Pensionand Other Post Retirement Benefit Plans Current,295206000.0,,,,171318000.0,,
Current Provisions,182770000.0,,,,165085000.0,,
Payables And Accrued Expenses,4481285000.0,5613133000.0,5179769000.0,4905179000.0,4153837000.0,,
Current Accrued Expenses,,1306555000.0,1197867000.0,1031210000.0,,1086412000.0,1064845000.0
Payables,4481285000.0,4306578000.0,3981902000.0,3873969000.0,4153837000.0,,
Total Tax Payable,429693000.0,11200000.0,11292000.0,37747000.0,320704000.0,,
Income Tax Payable,99357000.0,11200000.0,11292000.0,37747000.0,10136000.0,,
Accounts Payable,4051592000.0,4295378000.0,3970610000.0,3836222000.0,3833133000.0,,
Total Assets,30963730000.0,31718582000.0,31653111000.0,30987661000.0,31132733000.0,,
Total Non Current Assets,23065927000.0,23339495000.0,23254432000.0,23091358000.0,22968808000.0,,
Other Non Current Assets,56199000.0,55082000.0,55796000.0,55300000.0,57275000.0,,
Goodwill And Other Intangible Assets,5538639000.0,5538289000.0,5538289000.0,5538289000.0,5538289000.0,,
Other Intangible Assets,1200050000.0,1199700000.0,1199700000.0,1199700000.0,1199700000.0,,
Goodwill,4338589000.0,4338589000.0,4338589000.0,4338589000.0,4338589000.0,,
Net PPE,17471089000.0,17746124000.0,17660347000.0,17497769000.0,17373244000.0,,
Accumulated Depreciation,-5786157000.0,,,,-5112596000.0,,
Gross PPE,23257246000.0,17746124000.0,17660347000.0,17497769000.0,22485840000.0,,
Leases,1551605000.0,,,,1300742000.0,,
Construction In Progress,260336000.0,,,,254445000.0,,
Other Properties,11285124000.0,17746124000.0,17660347000.0,17497769000.0,11397514000.0,,
Machinery Furniture Equipment,7721591000.0,,,,7128287000.0,,
Buildings And Improvements,2062848000.0,,,,2031642000.0,,
Land And Improvements,375742000.0,,,,373210000.0,,
Properties,0.0,,,,0.0,,
Current Assets,7897803000.0,8379087000.0,8398679000.0,7896303000.0,8163925000.0,,
Other Current Assets,410283000.0,419224000.0,422694000.0,424293000.0,392975000.0,,
Inventory,6331861000.0,6653880000.0,6609690000.0,6590096000.0,6711242000.0,,
Finished Goods,6331861000.0,6653880000.0,6609690000.0,6590096000.0,6711242000.0,,
Receivables,17158000.0,65360000.0,81728000.0,31896000.0,127132000.0,,
Taxes Receivable,17158000.0,65360000.0,81728000.0,31896000.0,127132000.0,,
Cash Cash Equivalents And Short Term Investments,1138501000.0,1240623000.0,1284567000.0,850018000.0,932576000.0,,
Cash And Cash Equivalents,1138501000.0,1240623000.0,1284567000.0,850018000.0,932576000.0,,
