,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Free Cash Flow,581971000.0,690430000.0,564710000.0,556227000.0,528110000.0,,
Repayment Of Debt,-562244000.0,-605288000.0,-4323000.0,-505306000.0,-4605000.0,,
Issuance Of Debt,,,,,0.0,0.0,0.0
Capital Expenditure,-233704000.0,-313540000.0,-402990000.0,-290928000.0,-272791000.0,,
End Cash Position,1138501000.0,1240623000.0,1284567000.0,850018000.0,932576000.0,,
Beginning Cash Position,1240623000.0,1284567000.0,850018000.0,932576000.0,537257000.0,,
Changes In Cash,-102122000.0,-43944000.0,434549000.0,-82558000.0,395319000.0,,
Financing Cash Flow,-684809000.0,-735200000.0,-132033000.0,-639337000.0,-134225000.0,,
Cash Flow From Continuing Financing Activities,-684809000.0,-735200000.0,-132033000.0,-639337000.0,-134225000.0,,
Net Other Financing Charges,7360000.0,-45000.0,2189000.0,-4212000.0,126000.0,,
Cash Dividends Paid,-129925000.0,-129867000.0,-129899000.0,-129819000.0,-129746000.0,,
Common Stock Dividend Paid,-129925000.0,-129867000.0,,,-129746000.0,-129755000.0,
Net Issuance Payments Of Debt,-562244000.0,-605288000.0,-4323000.0,-505306000.0,-4605000.0,,
Net Short Term Debt Issuance,,,,,0.0,0.0,0.0
Net Long Term Debt Issuance,-562244000.0,-605288000.0,-4323000.0,-505306000.0,-4605000.0,,
Long Term Debt Payments,-562244000.0,-605288000.0,-4323000.0,-505306000.0,-4605000.0,,
Long Term Debt Issuance,,,,,0.0,0.0,0.0
Investing Cash Flow,-232988000.0,-312714000.0,-401118000.0,-290376000.0,-271357000.0,,
Cash Flow From Continuing Investing Activities,-232988000.0,-312714000.0,-401118000.0,-290376000.0,-271357000.0,,
Net PPE Purchase And Sale,-232988000.0,-312714000.0,-401118000.0,-290376000.0,-271357000.0,,
Sale Of PPE,716000.0,826000.0,1872000.0,552000.0,1434000.0,,
Purchase Of PPE,-233704000.0,-313540000.0,-402990000.0,-290928000.0,-272791000.0,,
Operating Cash Flow,815675000.0,1003970000.0,967700000.0,847155000.0,800901000.0,,
Cash Flow From Continuing Operating Activities,815675000.0,1003970000.0,967700000.0,847155000.0,800901000.0,,
Change In Working Capital,84763000.0,363106000.0,161675000.0,174818000.0,134845000.0,,
Change In Other Working Capital,133051000.0,11690000.0,-78310000.0,117374000.0,-18947000.0,,
Change In Payables And Accrued Expense,-327477000.0,484302000.0,316557000.0,-38068000.0,-238016000.0,,
Change In Accrued Expense,-39988000.0,122647000.0,170300000.0,-2988000.0,-46124000.0,,
Change In Payable,-287489000.0,361655000.0,146257000.0,-35080000.0,-191892000.0,,
Change In Account Payable,-287489000.0,361655000.0,146257000.0,-35080000.0,-191892000.0,,
Change In Prepaid Assets,8009000.0,4480000.0,3602000.0,-29329000.0,14088000.0,,
Change In Inventory,271180000.0,-137366000.0,-80174000.0,124841000.0,377720000.0,,
Other Non Cash Items,102481000.0,65397000.0,83362000.0,5025000.0,245833000.0,,
Stock Based Compensation,18106000.0,20370000.0,22704000.0,30273000.0,10043000.0,,
Deferred Tax,-94845000.0,6092000.0,31717000.0,-7682000.0,-34647000.0,,
Deferred Income Tax,-94845000.0,6092000.0,31717000.0,-7682000.0,-34647000.0,,
Depreciation Amortization Depletion,270361000.0,266348000.0,256816000.0,252793000.0,253610000.0,,
Depreciation And Amortization,270361000.0,266348000.0,256816000.0,252793000.0,253610000.0,,
Net Income From Continuing Operations,426300000.0,282657000.0,411426000.0,391928000.0,191217000.0,,
