,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.218466,0.236,0.235,0.233781,0.162424
Normalized EBITDA,868128000.0,692199000.0,852244000.0,828906000.0,547816000.0
Net Income From Continuing Operation Net Minority Interest,426300000.0,282657000.0,411426000.0,391928000.0,191217000.0
Reconciled Depreciation,270361000.0,266348000.0,256816000.0,252793000.0,253610000.0
Reconciled Cost Of Revenue,7588800000.0,7465120000.0,7366069000.0,7204691000.0,7274929000.0
EBITDA,868128000.0,692199000.0,852244000.0,828906000.0,547816000.0
EBIT,597767000.0,425851000.0,595428000.0,576113000.0,294206000.0
Net Interest Income,-52301000.0,-55935000.0,-57727000.0,-64604000.0,-65908000.0
Interest Expense,52301000.0,55935000.0,57727000.0,64604000.0,65908000.0
Normalized Income,426300000.0,282657000.0,411426000.0,391928000.0,191217000.0
Net Income From Continuing And Discontinued Operation,426300000.0,282657000.0,411426000.0,391928000.0,191217000.0
Total Expenses,10304927000.0,10223599000.0,10132309000.0,9859866000.0,10010292000.0
Total Operating Income As Reported,606276000.0,425851000.0,595428000.0,576113000.0,294206000.0
Diluted Average Shares,221311000.0,220955000.0,220854000.0,220135000.0,219996000.0
Basic Average Shares,220172000.0,220112000.0,220090000.0,219986000.0,219934000.0
Diluted EPS,1.93,1.28,1.86,1.78,0.87
Basic EPS,1.94,1.28,1.87,1.78,0.87
Diluted NI Availto Com Stockholders,426300000.0,282657000.0,411426000.0,391928000.0,191217000.0
Net Income Common Stockholders,426300000.0,282657000.0,411426000.0,391928000.0,191217000.0
Net Income,426300000.0,282657000.0,411426000.0,391928000.0,191217000.0
Net Income Including Noncontrolling Interests,426300000.0,282657000.0,411426000.0,391928000.0,191217000.0
Net Income Continuous Operations,426300000.0,282657000.0,411426000.0,391928000.0,191217000.0
Tax Provision,119166000.0,87259000.0,126275000.0,119581000.0,37081000.0
Pretax Income,545466000.0,369916000.0,537701000.0,511509000.0,228298000.0
Net Non Operating Interest Income Expense,-52301000.0,-55935000.0,-57727000.0,-64604000.0,-65908000.0
Interest Expense Non Operating,52301000.0,55935000.0,57727000.0,64604000.0,65908000.0
Operating Income,606276000.0,425851000.0,595428000.0,576113000.0,294206000.0
Operating Expense,2716127000.0,2758479000.0,2766240000.0,2655175000.0,2735363000.0
Selling General And Administration,2716127000.0,2758479000.0,2766240000.0,2655175000.0,2735363000.0
Gross Profit,3322403000.0,3184330000.0,3361668000.0,3231288000.0,3029569000.0
Cost Of Revenue,7588800000.0,7465120000.0,7366069000.0,7204691000.0,7274929000.0
Total Revenue,10911203000.0,10649450000.0,10727737000.0,10435979000.0,10304498000.0
Operating Revenue,10911203000.0,10649450000.0,10727737000.0,10435979000.0,10304498000.0
