,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-12177713.037145,-2340000.0,-6732000.0,-12555000.0,-11145247.148289,
Tax Rate For Calcs,0.138383,0.156,0.153,0.155,0.174144,
Normalized EBITDA,2139000000.0,1780000000.0,1381000000.0,1873000000.0,2035000000.0,
Total Unusual Items,-88000000.0,-15000000.0,-44000000.0,-81000000.0,-64000000.0,
Total Unusual Items Excluding Goodwill,-88000000.0,-15000000.0,-44000000.0,-81000000.0,-64000000.0,
Net Income From Continuing Operation Net Minority Interest,1183000000.0,908000000.0,555000000.0,954000000.0,1086000000.0,
Reconciled Depreciation,623000000.0,622000000.0,611000000.0,591000000.0,595000000.0,
Reconciled Cost Of Revenue,2872000000.0,2530000000.0,2413000000.0,2230000000.0,2648000000.0,
EBITDA,2051000000.0,1765000000.0,1337000000.0,1792000000.0,1971000000.0,
EBIT,1428000000.0,1143000000.0,726000000.0,1201000000.0,1376000000.0,
Net Interest Income,-42000000.0,-64000000.0,-63000000.0,-66000000.0,-47000000.0,
Interest Expense,55000000.0,67000000.0,71000000.0,72000000.0,61000000.0,
Interest Income,13000000.0,3000000.0,8000000.0,6000000.0,14000000.0,
Normalized Income,1258822286.962855,920660000.0,592268000.0,1022445000.0,1138854752.851711,
Net Income From Continuing And Discontinued Operation,1197000000.0,908000000.0,555000000.0,954000000.0,1086000000.0,
Total Expenses,5336000000.0,4899000000.0,5176000000.0,4467000000.0,5113000000.0,
Total Operating Income As Reported,1502000000.0,1154000000.0,760000000.0,1274000000.0,1425000000.0,
Diluted Average Shares,711000000.0,713700000.0,719100000.0,720800000.0,728200000.0,
Basic Average Shares,707300000.0,710700000.0,716500000.0,716300000.0,722700000.0,
Diluted EPS,1.68,1.27,0.77,1.32,1.49,
Basic EPS,1.69,1.28,0.77,1.33,1.5,
Diluted NI Availto Com Stockholders,1197000000.0,908000000.0,555000000.0,954000000.0,1086000000.0,
Net Income Common Stockholders,1197000000.0,908000000.0,555000000.0,954000000.0,1086000000.0,
Net Income,1197000000.0,908000000.0,555000000.0,954000000.0,1086000000.0,
Net Income Including Noncontrolling Interests,1197000000.0,908000000.0,555000000.0,954000000.0,1086000000.0,
Net Income Discontinuous Operations,,,,,0.0,0.0
Net Income Continuous Operations,1183000000.0,908000000.0,555000000.0,954000000.0,1086000000.0,
Tax Provision,190000000.0,168000000.0,100000000.0,175000000.0,229000000.0,
Pretax Income,1373000000.0,1076000000.0,655000000.0,1129000000.0,1315000000.0,
Other Income Expense,-87000000.0,-14000000.0,-42000000.0,-79000000.0,-63000000.0,
Other Non Operating Income Expenses,1000000.0,1000000.0,2000000.0,2000000.0,,-1000000.0
Special Income Charges,11000000.0,0.0,0.0,9000000.0,,
Gain On Sale Of Business,0.0,0.0,0.0,9000000.0,,
Gain On Sale Of Security,-99000000.0,-15000000.0,-44000000.0,-90000000.0,-64000000.0,
Net Non Operating Interest Income Expense,-42000000.0,-64000000.0,-63000000.0,-66000000.0,-47000000.0,
Interest Expense Non Operating,55000000.0,67000000.0,71000000.0,72000000.0,61000000.0,
Interest Income Non Operating,13000000.0,3000000.0,8000000.0,6000000.0,14000000.0,
Operating Income,1502000000.0,1154000000.0,760000000.0,1274000000.0,1425000000.0,
Operating Expense,2464000000.0,2369000000.0,2763000000.0,2237000000.0,2465000000.0,
Research And Development,438000000.0,378000000.0,403000000.0,379000000.0,442000000.0,
Selling General And Administration,2026000000.0,1991000000.0,2360000000.0,1858000000.0,2023000000.0,
Gross Profit,3966000000.0,3523000000.0,3523000000.0,3511000000.0,3890000000.0,
Cost Of Revenue,2872000000.0,2530000000.0,2413000000.0,2230000000.0,2648000000.0,
Total Revenue,6838000000.0,6053000000.0,5936000000.0,5741000000.0,6538000000.0,
Operating Revenue,6838000000.0,6053000000.0,5936000000.0,5741000000.0,6538000000.0,
