,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-43470000.0,-18690000.0,-111510000.0,-32980000.0,-96184615.384615,
Tax Rate For Calcs,0.21,0.21,0.21,0.34,0.092308,
Normalized EBITDA,822000000.0,484000000.0,378000000.0,629000000.0,689000000.0,
Total Unusual Items,-207000000.0,-89000000.0,-531000000.0,-97000000.0,-1042000000.0,
Total Unusual Items Excluding Goodwill,-207000000.0,-89000000.0,-531000000.0,-97000000.0,-1042000000.0,
Net Income From Continuing Operation Net Minority Interest,162000000.0,47000000.0,-546000000.0,159000000.0,-590000000.0,
Reconciled Depreciation,197000000.0,200000000.0,210000000.0,204000000.0,207000000.0,
Reconciled Cost Of Revenue,994000000.0,927000000.0,955000000.0,889000000.0,957000000.0,
EBITDA,615000000.0,395000000.0,-153000000.0,532000000.0,-353000000.0,
EBIT,418000000.0,195000000.0,-363000000.0,328000000.0,-560000000.0,
Net Interest Income,-64000000.0,-56000000.0,-59000000.0,-60000000.0,-67000000.0,
Interest Expense,85000000.0,86000000.0,88000000.0,87000000.0,90000000.0,
Interest Income,21000000.0,30000000.0,29000000.0,27000000.0,23000000.0,
Normalized Income,325530000.0,117310000.0,-126510000.0,223020000.0,355815384.615385,
Net Income From Continuing And Discontinued Operation,162000000.0,47000000.0,-546000000.0,159000000.0,-590000000.0,
Total Expenses,3621000000.0,3223000000.0,3270000000.0,3147000000.0,3542000000.0,
Total Operating Income As Reported,401000000.0,169000000.0,-390000000.0,306000000.0,-580000000.0,
Diluted Average Shares,364800000.0,363300000.0,360700000.0,361400000.0,360000000.0,
Basic Average Shares,362100000.0,361200000.0,360700000.0,360300000.0,360000000.0,
Diluted EPS,0.44,0.13,-1.51,0.44,-1.64,
Basic EPS,0.45,0.13,-1.51,0.44,-1.64,
Diluted NI Availto Com Stockholders,162000000.0,47000000.0,-546000000.0,159000000.0,-590000000.0,
Net Income Common Stockholders,162000000.0,47000000.0,-546000000.0,159000000.0,-590000000.0,
Net Income,162000000.0,47000000.0,-546000000.0,159000000.0,-590000000.0,
Minority Interests,,,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,162000000.0,47000000.0,-546000000.0,159000000.0,-590000000.0,
Net Income Continuous Operations,162000000.0,47000000.0,-546000000.0,159000000.0,-590000000.0,
Tax Provision,171000000.0,62000000.0,95000000.0,82000000.0,-60000000.0,
Pretax Income,333000000.0,109000000.0,-451000000.0,241000000.0,-650000000.0,
Other Income Expense,-211000000.0,-93000000.0,-533000000.0,-102000000.0,-1045000000.0,
Other Non Operating Income Expenses,-4000000.0,-4000000.0,-2000000.0,-5000000.0,-3000000.0,
Special Income Charges,-207000000.0,-89000000.0,-531000000.0,-97000000.0,-1042000000.0,
Other Special Charges,,,0.0,,,159000000.0
Impairment Of Capital Assets,0.0,,425000000.0,0.0,861000000.0,
Restructuring And Mergern Acquisition,207000000.0,89000000.0,106000000.0,97000000.0,181000000.0,
Net Non Operating Interest Income Expense,-64000000.0,-56000000.0,-59000000.0,-60000000.0,-67000000.0,
Interest Expense Non Operating,85000000.0,86000000.0,88000000.0,87000000.0,90000000.0,
Interest Income Non Operating,21000000.0,30000000.0,29000000.0,27000000.0,23000000.0,
Operating Income,608000000.0,258000000.0,141000000.0,403000000.0,462000000.0,
Operating Expense,2627000000.0,2296000000.0,2315000000.0,2258000000.0,2585000000.0,
Selling General And Administration,2627000000.0,2296000000.0,2315000000.0,2258000000.0,2585000000.0,
Gross Profit,3235000000.0,2554000000.0,2456000000.0,2661000000.0,3047000000.0,
Cost Of Revenue,994000000.0,927000000.0,955000000.0,889000000.0,957000000.0,
Total Revenue,4229000000.0,3481000000.0,3411000000.0,3550000000.0,4004000000.0,
Operating Revenue,4229000000.0,3481000000.0,3411000000.0,3550000000.0,4004000000.0,
