,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,-209000000.0,775000000.0,1787000000.0,821000000.0,384000000.0,
Repurchase Of Capital Stock,-471000000.0,-876000000.0,-378000000.0,-880000000.0,-1811000000.0,
Repayment Of Debt,-542000000.0,-2070000000.0,110000000.0,-1365000000.0,-1376000000.0,
Issuance Of Debt,2133000000.0,3430000000.0,85000000.0,546000000.0,5195000000.0,
Capital Expenditure,-293000000.0,-360000000.0,-267000000.0,-196000000.0,-322000000.0,
End Cash Position,9491000000.0,8713000000.0,8560000000.0,7500000000.0,8288000000.0,
Other Cash Adjustment Outside Changein Cash,0.0,0.0,,,-46000000.0,1000000.0
Beginning Cash Position,8713000000.0,8560000000.0,7500000000.0,8288000000.0,7866000000.0,
Effect Of Exchange Rate Changes,-6000000.0,-1000000.0,1000000.0,1000000.0,-8000000.0,
Changes In Cash,784000000.0,154000000.0,1059000000.0,-789000000.0,476000000.0,
Financing Cash Flow,236000000.0,243000000.0,-308000000.0,-1909000000.0,1408000000.0,
Cash Flow From Continuing Financing Activities,236000000.0,243000000.0,-308000000.0,-1909000000.0,1408000000.0,
Net Other Financing Charges,11000000.0,30000000.0,86000000.0,-137000000.0,-10000000.0,
Proceeds From Stock Option Exercised,58000000.0,0.0,-2000000.0,23000000.0,16000000.0,
Cash Dividends Paid,-377000000.0,-381000000.0,-385000000.0,-386000000.0,-373000000.0,
Common Stock Dividend Paid,-377000000.0,-381000000.0,-385000000.0,-386000000.0,-373000000.0,
Net Common Stock Issuance,-471000000.0,-876000000.0,-378000000.0,-880000000.0,-1811000000.0,
Common Stock Payments,-471000000.0,-876000000.0,-378000000.0,-880000000.0,-1811000000.0,
Net Issuance Payments Of Debt,1591000000.0,1360000000.0,195000000.0,-819000000.0,3819000000.0,
Net Short Term Debt Issuance,1591000000.0,-734000000.0,195000000.0,431000000.0,-461000000.0,
Short Term Debt Payments,-545000000.0,-1170000000.0,110000000.0,-115000000.0,-526000000.0,
Short Term Debt Issuance,2136000000.0,436000000.0,85000000.0,546000000.0,65000000.0,
Net Long Term Debt Issuance,0.0,2094000000.0,0.0,-1250000000.0,4280000000.0,
Long Term Debt Payments,3000000.0,-900000000.0,0.0,-1250000000.0,-850000000.0,
Long Term Debt Issuance,-3000000.0,2994000000.0,,,5130000000.0,0.0
Investing Cash Flow,464000000.0,-1224000000.0,-687000000.0,103000000.0,-1638000000.0,
Cash Flow From Continuing Investing Activities,464000000.0,-1224000000.0,-687000000.0,103000000.0,-1638000000.0,
Net Other Investing Changes,243000000.0,-124000000.0,-189000000.0,-315000000.0,205000000.0,
Net Investment Purchase And Sale,481000000.0,-741000000.0,-281000000.0,610000000.0,2200000000.0,
Sale Of Investment,3242000000.0,3422000000.0,3857000000.0,4574000000.0,5480000000.0,
Purchase Of Investment,-2761000000.0,-4163000000.0,-4138000000.0,-3964000000.0,-3280000000.0,
Net Business Purchase And Sale,33000000.0,1000000.0,50000000.0,4000000.0,-3721000000.0,
Sale Of Business,33000000.0,1000000.0,50000000.0,4000000.0,-36000000.0,
Purchase Of Business,,,,,-3685000000.0,0.0
Net PPE Purchase And Sale,-293000000.0,-360000000.0,-267000000.0,-196000000.0,-322000000.0,
Purchase Of PPE,-293000000.0,-360000000.0,-267000000.0,-196000000.0,-322000000.0,
Operating Cash Flow,84000000.0,1135000000.0,2054000000.0,1017000000.0,706000000.0,
Cash Flow From Continuing Operating Activities,84000000.0,1135000000.0,2054000000.0,1017000000.0,706000000.0,
Change In Working Capital,-524000000.0,-750000000.0,-218000000.0,-1785000000.0,-18000000.0,
Change In Other Working Capital,-652000000.0,-320000000.0,167000000.0,489000000.0,-350000000.0,
Change In Other Current Assets,530000000.0,166000000.0,13000000.0,-652000000.0,1753000000.0,
Change In Payables And Accrued Expense,-2259000000.0,-151000000.0,738000000.0,952000000.0,-1200000000.0,
Change In Payable,-2259000000.0,-151000000.0,738000000.0,952000000.0,-1200000000.0,
Change In Account Payable,-2259000000.0,-151000000.0,738000000.0,952000000.0,-1200000000.0,
Change In Receivables,756000000.0,815000000.0,-923000000.0,-3174000000.0,-193000000.0,
Stock Based Compensation,30000000.0,84000000.0,81000000.0,81000000.0,-29000000.0,
Asset Impairment Charge,38000000.0,,,,0.0,
Deferred Tax,-322000000.0,269000000.0,-52000000.0,-174000000.0,-116000000.0,
Deferred Income Tax,-322000000.0,269000000.0,-52000000.0,-174000000.0,-116000000.0,
Depreciation And Amortization,406000000.0,387000000.0,380000000.0,373000000.0,398000000.0,
Operating Gains Losses,-90000000.0,-112000000.0,119000000.0,338000000.0,58000000.0,
Earnings Losses From Equity Investments,-147000000.0,-113000000.0,-12000000.0,-126000000.0,-16000000.0,
Gain Loss On Investment Securities,57000000.0,1000000.0,131000000.0,464000000.0,74000000.0,
Gain Loss On Sale Of Business,0.0,0.0,,,0.0,39000000.0
Net Income From Continuing Operations,546000000.0,1187000000.0,1744000000.0,2184000000.0,413000000.0,
