,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.156,0.239,0.219,0.318482,
Total Unusual Items,0.0,0.0,0.0,,0.0,-39000000.0
Total Unusual Items Excluding Goodwill,0.0,0.0,0.0,,0.0,-39000000.0
Net Income From Continuing Operation Net Minority Interest,547000000.0,1189000000.0,1743000000.0,2183000000.0,418000000.0,
Reconciled Depreciation,406000000.0,387000000.0,380000000.0,373000000.0,398000000.0,
EBIT,581000000.0,1757000000.0,2633000000.0,3141000000.0,946000000.0,
Net Interest Income,-366000000.0,-351000000.0,-341000000.0,-344000000.0,-340000000.0,
Interest Expense,366000000.0,351000000.0,341000000.0,344000000.0,340000000.0,
Normalized Income,547000000.0,1189000000.0,1743000000.0,2183000000.0,418000000.0,
Net Income From Continuing And Discontinued Operation,547000000.0,1189000000.0,1743000000.0,2183000000.0,418000000.0,
Total Expenses,49532000000.0,49305000000.0,47484000000.0,46094000000.0,44836000000.0,
Diluted Average Shares,221800000.0,223700000.0,225800000.0,227159209.0,231100000.0,
Basic Average Shares,220723898.0,222036187.0,224835508.0,225641361.0,227479695.0,
Diluted EPS,2.47,5.32,7.72,9.61,1.81,
Basic EPS,2.478209,5.354983,7.752334,9.674645,1.837527,
Diluted NI Availto Com Stockholders,547000000.0,1189000000.0,1743000000.0,2183000000.0,418000000.0,
Net Income Common Stockholders,547000000.0,1189000000.0,1743000000.0,2183000000.0,418000000.0,
Net Income,547000000.0,1189000000.0,1743000000.0,2183000000.0,418000000.0,
Minority Interests,1000000.0,2000000.0,-1000000.0,-1000000.0,5000000.0,
Net Income Including Noncontrolling Interests,546000000.0,1187000000.0,1744000000.0,2184000000.0,413000000.0,
Net Income Continuous Operations,546000000.0,1187000000.0,1744000000.0,2184000000.0,413000000.0,
Tax Provision,-331000000.0,219000000.0,548000000.0,613000000.0,193000000.0,
Pretax Income,215000000.0,1406000000.0,2292000000.0,2797000000.0,606000000.0,
Other Income Expense,6460000000.0,6159000000.0,6042000000.0,5809000000.0,6714000000.0,
Special Income Charges,0.0,0.0,0.0,,0.0,-39000000.0
Other Special Charges,,,,,0.0,39000000.0
Net Non Operating Interest Income Expense,-366000000.0,-351000000.0,-341000000.0,-344000000.0,-340000000.0,
Interest Expense Non Operating,366000000.0,351000000.0,341000000.0,344000000.0,340000000.0,
Other Operating Expenses,10937000000.0,10652000000.0,10290000000.0,10283000000.0,10816000000.0,
Depreciation And Amortization In Income Statement,164000000.0,162000000.0,147000000.0,155000000.0,180000000.0,
Amortization,164000000.0,162000000.0,147000000.0,155000000.0,180000000.0,
Total Revenue,49747000000.0,50711000000.0,49776000000.0,48891000000.0,45442000000.0,
Operating Revenue,49747000000.0,50711000000.0,49776000000.0,48891000000.0,45442000000.0,
Loss Adjustment Expense,38065000000.0,38140000000.0,36706000000.0,35312000000.0,33500000000.0,
Net Policyholder Benefits And Claims,38065000000.0,38140000000.0,36706000000.0,35312000000.0,33500000000.0,
