,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,602000000.0,842000000.0,977000000.0,154000000.0,694000000.0,
Repurchase Of Capital Stock,-250000000.0,-20000000.0,-25000000.0,-223000000.0,-899000000.0,
Repayment Of Debt,-3171000000.0,-3569000000.0,,,-2000000.0,-242000000.0
Issuance Of Debt,3473000000.0,2407000000.0,1587000000.0,6666000000.0,2000000.0,
Capital Expenditure,-97000000.0,-168000000.0,-93000000.0,-87000000.0,-83000000.0,
End Cash Position,1748000000.0,1544000000.0,2219000000.0,1887000000.0,2834000000.0,
Beginning Cash Position,1544000000.0,2219000000.0,1887000000.0,2834000000.0,3588000000.0,
Effect Of Exchange Rate Changes,-6000000.0,6000000.0,28000000.0,25000000.0,-98000000.0,
Changes In Cash,210000000.0,-681000000.0,304000000.0,-972000000.0,-656000000.0,
Financing Cash Flow,-364000000.0,-1491000000.0,-637000000.0,-1091000000.0,-1291000000.0,
Cash Flow From Continuing Financing Activities,-364000000.0,-1491000000.0,-637000000.0,-1091000000.0,-1291000000.0,
Net Other Financing Charges,-104000000.0,-12000000.0,-50000000.0,-7239000000.0,-91000000.0,
Cash Dividends Paid,-312000000.0,-297000000.0,-297000000.0,-297000000.0,-301000000.0,
Common Stock Dividend Paid,-312000000.0,,,,-301000000.0,
Net Common Stock Issuance,-250000000.0,-20000000.0,-25000000.0,-223000000.0,-899000000.0,
Common Stock Payments,-250000000.0,-20000000.0,-25000000.0,-223000000.0,-899000000.0,
Net Issuance Payments Of Debt,302000000.0,-1162000000.0,-265000000.0,6668000000.0,0.0,
Net Short Term Debt Issuance,889000000.0,-1162000000.0,238000000.0,5122000000.0,2000000.0,
Short Term Debt Payments,-2584000000.0,-3569000000.0,,,0.0,-242000000.0
Short Term Debt Issuance,3473000000.0,2407000000.0,1587000000.0,5122000000.0,2000000.0,
Net Long Term Debt Issuance,-587000000.0,0.0,-503000000.0,1546000000.0,-2000000.0,
Long Term Debt Payments,-587000000.0,0.0,,,-2000000.0,0.0
Long Term Debt Issuance,,0.0,0.0,,,
Investing Cash Flow,-125000000.0,-200000000.0,-129000000.0,-122000000.0,-142000000.0,
Cash From Discontinued Investing Activities,,0.0,0.0,0.0,0.0,3400000000.0
Cash Flow From Continuing Investing Activities,-125000000.0,-200000000.0,-129000000.0,-122000000.0,-142000000.0,
Net Other Investing Changes,-28000000.0,-31000000.0,-36000000.0,-36000000.0,-22000000.0,
Net Business Purchase And Sale,0.0,-1000000.0,0.0,1000000.0,-37000000.0,
Sale Of Business,,0.0,0.0,,,-79000000.0
Purchase Of Business,0.0,-1000000.0,0.0,1000000.0,-37000000.0,
Capital Expenditure Reported,-97000000.0,-168000000.0,-93000000.0,-87000000.0,-83000000.0,
Operating Cash Flow,699000000.0,1010000000.0,1070000000.0,241000000.0,777000000.0,
Cash From Discontinued Operating Activities,,-2000000.0,9000000.0,-585000000.0,0.0,11000000.0
Cash Flow From Continuing Operating Activities,699000000.0,1012000000.0,1061000000.0,826000000.0,777000000.0,
Change In Working Capital,-357000000.0,71000000.0,123000000.0,-49000000.0,-154000000.0,
Change In Other Current Assets,-52000000.0,-39000000.0,-21000000.0,-87000000.0,-5000000.0,
Change In Payables And Accrued Expense,-283000000.0,210000000.0,124000000.0,200000000.0,-219000000.0,
Change In Accrued Expense,-250000000.0,114000000.0,151000000.0,182000000.0,-166000000.0,
Change In Payable,-33000000.0,96000000.0,-27000000.0,18000000.0,-53000000.0,
Change In Account Payable,-33000000.0,96000000.0,-27000000.0,18000000.0,-53000000.0,
Change In Inventory,-141000000.0,90000000.0,-24000000.0,19000000.0,-86000000.0,
Change In Receivables,119000000.0,-190000000.0,44000000.0,-181000000.0,156000000.0,
Other Non Cash Items,36000000.0,-81000000.0,-85000000.0,3000000.0,-113000000.0,
Stock Based Compensation,55000000.0,65000000.0,71000000.0,59000000.0,68000000.0,
Asset Impairment Charge,,,,,0.0,
Depreciation Amortization Depletion,359000000.0,379000000.0,372000000.0,384000000.0,383000000.0,
Depreciation And Amortization,359000000.0,379000000.0,372000000.0,384000000.0,383000000.0,
Amortization Cash Flow,275000000.0,281000000.0,292000000.0,301000000.0,300000000.0,
Amortization Of Intangibles,275000000.0,281000000.0,292000000.0,301000000.0,300000000.0,
Depreciation,84000000.0,98000000.0,80000000.0,83000000.0,83000000.0,
Operating Gains Losses,,,,,,-117000000.0
Gain Loss On Investment Securities,,,,,,-79000000.0
Gain Loss On Sale Of Business,,,0.0,,,
Net Income From Continuing Operations,606000000.0,636000000.0,580000000.0,429000000.0,593000000.0,
