,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-5060000.0,-23718592.964824,-19530000.0,-65920000.0,-6000000.0,
Tax Rate For Calcs,0.22,0.201005,0.21,0.32,0.24,
Normalized EBITDA,1273000000.0,1535000000.0,1294000000.0,1305000000.0,1235000000.0,
Total Unusual Items,-23000000.0,-118000000.0,-93000000.0,-206000000.0,-25000000.0,
Total Unusual Items Excluding Goodwill,-23000000.0,-118000000.0,-93000000.0,-206000000.0,-25000000.0,
Net Income From Continuing Operation Net Minority Interest,605000000.0,635000000.0,580000000.0,485000000.0,585000000.0,
Reconciled Depreciation,359000000.0,379000000.0,372000000.0,384000000.0,383000000.0,
Reconciled Cost Of Revenue,1881000000.0,2164000000.0,2007000000.0,1906000000.0,1786000000.0,
EBITDA,1250000000.0,1417000000.0,1201000000.0,1099000000.0,1210000000.0,
EBIT,891000000.0,1038000000.0,829000000.0,715000000.0,827000000.0,
Net Interest Income,-90000000.0,-92000000.0,-95000000.0,-41000000.0,-8000000.0,
Interest Expense,116000000.0,242000000.0,95000000.0,86000000.0,52000000.0,
Interest Income,26000000.0,150000000.0,0.0,45000000.0,44000000.0,
Normalized Income,622940000.0,729281407.035176,653470000.0,625080000.0,604000000.0,
Net Income From Continuing And Discontinued Operation,605000000.0,636000000.0,586000000.0,485000000.0,585000000.0,
Total Expenses,3482000000.0,3873000000.0,3645000000.0,3573000000.0,3393000000.0,
Diluted Average Shares,564100000.0,565500000.0,564700000.0,565400000.0,573529412.0,
Basic Average Shares,561800000.0,562800000.0,562100000.0,562500000.0,563900000.0,
Diluted EPS,1.07,1.12,1.04,0.86,1.02,
Basic EPS,1.08,1.131841,1.04,0.862222,1.037418,
Diluted NI Availto Com Stockholders,605000000.0,636000000.0,586000000.0,485000000.0,585000000.0,
Net Income Common Stockholders,605000000.0,636000000.0,586000000.0,485000000.0,585000000.0,
Net Income,605000000.0,636000000.0,586000000.0,485000000.0,585000000.0,
Minority Interests,-1000000.0,-1000000.0,0.0,55000000.0,-8000000.0,
Net Income Including Noncontrolling Interests,606000000.0,637000000.0,586000000.0,430000000.0,593000000.0,
Net Income Discontinuous Operations,,1000000.0,6000000.0,0.0,0.0,438000000.0
Net Income Continuous Operations,606000000.0,636000000.0,580000000.0,430000000.0,593000000.0,
Tax Provision,169000000.0,160000000.0,154000000.0,199000000.0,182000000.0,
Pretax Income,775000000.0,796000000.0,734000000.0,629000000.0,775000000.0,
Other Income Expense,1000000.0,-94000000.0,-79000000.0,-189000000.0,1000000.0,
Other Non Operating Income Expenses,24000000.0,24000000.0,14000000.0,17000000.0,26000000.0,
Special Income Charges,-10000000.0,-99000000.0,-62000000.0,-165000000.0,-24000000.0,
Gain On Sale Of Business,,0.0,0.0,0.0,,318000000.0
Restructuring And Mergern Acquisition,10000000.0,99000000.0,62000000.0,165000000.0,24000000.0,
Earnings From Equity Interest,,0.0,0.0,0.0,,0.0
Gain On Sale Of Security,-13000000.0,-19000000.0,-31000000.0,-41000000.0,-1000000.0,
Net Non Operating Interest Income Expense,-90000000.0,-92000000.0,-95000000.0,-41000000.0,-8000000.0,
Interest Expense Non Operating,116000000.0,242000000.0,95000000.0,86000000.0,52000000.0,
Interest Income Non Operating,26000000.0,150000000.0,0.0,45000000.0,44000000.0,
Operating Income,864000000.0,982000000.0,908000000.0,859000000.0,782000000.0,
Operating Expense,1447000000.0,1537000000.0,1485000000.0,1512000000.0,1453000000.0,
Depreciation Amortization Depletion Income Statement,205000000.0,207000000.0,219000000.0,229000000.0,229000000.0,
Depreciation And Amortization In Income Statement,205000000.0,207000000.0,219000000.0,229000000.0,229000000.0,
Amortization,205000000.0,207000000.0,219000000.0,229000000.0,229000000.0,
Amortization Of Intangibles Income Statement,205000000.0,207000000.0,219000000.0,229000000.0,229000000.0,
Selling General And Administration,1242000000.0,1330000000.0,1266000000.0,1283000000.0,1224000000.0,
General And Administrative Expense,,,,1283000000.0,,
Other Gand A,,,,1283000000.0,,
Gross Profit,2311000000.0,2519000000.0,2393000000.0,2371000000.0,2235000000.0,
Cost Of Revenue,2035000000.0,2336000000.0,2160000000.0,2061000000.0,1940000000.0,
Total Revenue,4346000000.0,4855000000.0,4553000000.0,4432000000.0,4175000000.0,
Operating Revenue,4346000000.0,4855000000.0,4553000000.0,4432000000.0,4175000000.0,
