,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,387900000.0,388400000.0,389300000.0,391300000.0,392900000.0
Share Issued,387900000.0,388400000.0,389300000.0,391300000.0,392900000.0
Net Debt,9273000000.0,10325000000.0,10598000000.0,8303000000.0,8597000000.0
Total Debt,10532000000.0,11221000000.0,11583000000.0,10749000000.0,9821000000.0
Tangible Book Value,-1398000000.0,-2099000000.0,-2411000000.0,-931000000.0,-882000000.0
Invested Capital,29320000000.0,29496000000.0,29602000000.0,28586000000.0,27640000000.0
Working Capital,2985000000.0,2657000000.0,2303000000.0,2912000000.0,3944000000.0
Net Tangible Assets,-1398000000.0,-2099000000.0,-2411000000.0,-931000000.0,-882000000.0
Capital Lease Obligations,637000000.0,568000000.0,587000000.0,669000000.0,669000000.0
Common Stock Equity,19425000000.0,18843000000.0,18606000000.0,18506000000.0,18488000000.0
Total Capitalization,28183000000.0,27599000000.0,27357000000.0,26115000000.0,26966000000.0
Total Equity Gross Minority Interest,19469000000.0,18885000000.0,18647000000.0,18547000000.0,18531000000.0
Minority Interest,44000000.0,42000000.0,41000000.0,41000000.0,43000000.0
Stockholders Equity,19425000000.0,18843000000.0,18606000000.0,18506000000.0,18488000000.0
Other Equity Interest,,,,,-1000000.0
Gains Losses Not Affecting Retained Earnings,-4118000000.0,-4142000000.0,-4095000000.0,-4250000000.0,-4342000000.0
Other Equity Adjustments,-4118000000.0,-4142000000.0,-4095000000.0,-4250000000.0,-4342000000.0
Retained Earnings,10702000000.0,10168000000.0,9917000000.0,10041000000.0,10096000000.0
Additional Paid In Capital,12837000000.0,12813000000.0,12780000000.0,12711000000.0,12731000000.0
Capital Stock,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0
Common Stock,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0
Total Liabilities Net Minority Interest,21782000000.0,21765000000.0,21860000000.0,20659000000.0,19850000000.0
Total Non Current Liabilities Net Minority Interest,12412000000.0,12291000000.0,12266000000.0,11137000000.0,11993000000.0
Other Non Current Liabilities,1889000000.0,1775000000.0,1729000000.0,1697000000.0,1666000000.0
Employee Benefits,863000000.0,903000000.0,919000000.0,895000000.0,905000000.0
Non Current Pension And Other Postretirement Benefit Plans,863000000.0,903000000.0,919000000.0,895000000.0,905000000.0
Non Current Deferred Liabilities,265000000.0,289000000.0,280000000.0,267000000.0,275000000.0
Non Current Deferred Taxes Liabilities,265000000.0,289000000.0,280000000.0,267000000.0,275000000.0
Long Term Debt And Capital Lease Obligation,9395000000.0,9324000000.0,9338000000.0,8278000000.0,9147000000.0
Long Term Capital Lease Obligation,637000000.0,568000000.0,587000000.0,669000000.0,669000000.0
Long Term Debt,8758000000.0,8756000000.0,8751000000.0,7609000000.0,8478000000.0
Current Liabilities,9370000000.0,9474000000.0,9594000000.0,9522000000.0,7857000000.0
Other Current Liabilities,3421000000.0,3071000000.0,3058000000.0,2908000000.0,2835000000.0
Current Debt And Capital Lease Obligation,1137000000.0,1897000000.0,2245000000.0,2471000000.0,674000000.0
Current Debt,1137000000.0,1897000000.0,2245000000.0,2471000000.0,674000000.0
Pensionand Other Post Retirement Benefit Plans Current,644000000.0,680000000.0,529000000.0,489000000.0,670000000.0
Payables And Accrued Expenses,4168000000.0,3826000000.0,3762000000.0,3654000000.0,3678000000.0
Payables,4168000000.0,3826000000.0,3762000000.0,3654000000.0,3678000000.0
Accounts Payable,4168000000.0,3826000000.0,3762000000.0,3654000000.0,3678000000.0
Total Assets,41251000000.0,40650000000.0,40507000000.0,39206000000.0,38381000000.0
Total Non Current Assets,28895000000.0,28519000000.0,28609000000.0,26771000000.0,26580000000.0
