,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.124324,0.207,0.172,0.18,0.167095
Normalized EBITDA,1620000000.0,1600000000.0,1518000000.0,1442000000.0,1443000000.0
Net Income From Continuing Operation Net Minority Interest,1132000000.0,1010000000.0,982000000.0,964000000.0,971000000.0
Reconciled Depreciation,255000000.0,258000000.0,261000000.0,232000000.0,234000000.0
Reconciled Cost Of Revenue,4457000000.0,4313000000.0,4431000000.0,3930000000.0,3811000000.0
EBITDA,1620000000.0,1600000000.0,1518000000.0,1442000000.0,1443000000.0
EBIT,1365000000.0,1342000000.0,1257000000.0,1210000000.0,1209000000.0
Net Interest Income,-70000000.0,-67000000.0,-71000000.0,-33000000.0,-42000000.0
Interest Expense,70000000.0,67000000.0,71000000.0,33000000.0,42000000.0
Normalized Income,1132000000.0,1010000000.0,982000000.0,964000000.0,971000000.0
Net Income From Continuing And Discontinued Operation,1132000000.0,1010000000.0,982000000.0,964000000.0,971000000.0
Total Expenses,5669000000.0,5621000000.0,5772000000.0,5176000000.0,5015000000.0
Diluted Average Shares,389500000.0,390100000.0,391400000.0,393600000.0,396000000.0
Basic Average Shares,388200000.0,388800000.0,390300000.0,392200000.0,394100000.0
Diluted EPS,2.91,2.59,2.51,2.45,2.45
Basic EPS,2.92,2.6,2.52,2.46,2.46
Diluted NI Availto Com Stockholders,1132000000.0,1010000000.0,982000000.0,964000000.0,971000000.0
Net Income Common Stockholders,1132000000.0,1010000000.0,982000000.0,964000000.0,971000000.0
Net Income,1132000000.0,1010000000.0,982000000.0,964000000.0,971000000.0
Minority Interests,0.0,-1000000.0,-1000000.0,-1000000.0,0.0
Net Income Including Noncontrolling Interests,1132000000.0,1010000000.0,982000000.0,965000000.0,971000000.0
Net Income Continuous Operations,1134000000.0,1011000000.0,983000000.0,965000000.0,972000000.0
Tax Provision,161000000.0,264000000.0,203000000.0,212000000.0,195000000.0
Pretax Income,1295000000.0,1275000000.0,1186000000.0,1177000000.0,1167000000.0
Other Income Expense,-22000000.0,-25000000.0,1000000.0,9000000.0,-16000000.0
Other Non Operating Income Expenses,-22000000.0,-25000000.0,1000000.0,9000000.0,-16000000.0
Net Non Operating Interest Income Expense,-70000000.0,-67000000.0,-71000000.0,-33000000.0,-42000000.0
Interest Expense Non Operating,70000000.0,67000000.0,71000000.0,33000000.0,42000000.0
Operating Income,1386000000.0,1367000000.0,1256000000.0,1201000000.0,1225000000.0
Operating Expense,1212000000.0,1308000000.0,1341000000.0,1246000000.0,1204000000.0
Research And Development,203000000.0,203000000.0,192000000.0,198000000.0,201000000.0
Selling General And Administration,1009000000.0,1105000000.0,1149000000.0,1048000000.0,1003000000.0
Gross Profit,2598000000.0,2675000000.0,2597000000.0,2447000000.0,2429000000.0
Cost Of Revenue,4457000000.0,4313000000.0,4431000000.0,3930000000.0,3811000000.0
Total Revenue,7055000000.0,6988000000.0,7028000000.0,6377000000.0,6240000000.0
Operating Revenue,7055000000.0,6988000000.0,7028000000.0,6377000000.0,6240000000.0
