,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,1850000000.0,2194000000.0,1919000000.0,1301000000.0,1030000000.0,
Repurchase Of Capital Stock,-1997000000.0,-1844000000.0,-1745000000.0,-1965000000.0,-1668000000.0,
Repayment Of Debt,-507000000.0,-51000000.0,-1197000000.0,-56000000.0,-55000000.0,
Issuance Of Debt,0.0,,,,0.0,0.0
Capital Expenditure,-431000000.0,-307000000.0,-327000000.0,-208000000.0,-267000000.0,
End Cash Position,13657000000.0,13841000000.0,12052000000.0,13500000000.0,14553000000.0,
Beginning Cash Position,13841000000.0,12052000000.0,13500000000.0,15880000000.0,15104000000.0,
Effect Of Exchange Rate Changes,12000000.0,1000000.0,104000000.0,84000000.0,-135000000.0,
Changes In Cash,-196000000.0,1788000000.0,-1552000000.0,-2464000000.0,-416000000.0,
Cash Flow From Discontinued Operation,45000000.0,258000000.0,-57000000.0,-1372000000.0,141000000.0,
Financing Cash Flow,-2826000000.0,-366000000.0,-3206000000.0,-2284000000.0,-2175000000.0,
Cash From Discontinued Financing Activities,0.0,0.0,0.0,0.0,0.0,
Cash Flow From Continuing Financing Activities,-2826000000.0,-366000000.0,-3206000000.0,-2284000000.0,-2175000000.0,
Net Other Financing Charges,51000000.0,-65000000.0,97000000.0,39000000.0,-145000000.0,
Cash Dividends Paid,-381000000.0,-383000000.0,-386000000.0,-302000000.0,-306000000.0,
Net Preferred Stock Issuance,,,,,0.0,0.0
Preferred Stock Payments,,,,,0.0,0.0
Net Common Stock Issuance,-1997000000.0,-1844000000.0,-1745000000.0,-1965000000.0,-1668000000.0,
Common Stock Payments,-1997000000.0,-1844000000.0,-1745000000.0,-1965000000.0,-1668000000.0,
Net Issuance Payments Of Debt,-499000000.0,1926000000.0,-1172000000.0,-56000000.0,-56000000.0,
Net Short Term Debt Issuance,8000000.0,-8000000.0,25000000.0,0.0,-1000000.0,
Net Long Term Debt Issuance,-507000000.0,1934000000.0,-1197000000.0,-56000000.0,-55000000.0,
Long Term Debt Payments,-507000000.0,-51000000.0,-1197000000.0,-56000000.0,-55000000.0,
Long Term Debt Issuance,0.0,,,,0.0,0.0
Investing Cash Flow,305000000.0,-606000000.0,-535000000.0,-317000000.0,321000000.0,
Cash From Discontinued Investing Activities,-246000000.0,-213000000.0,79000000.0,3000000.0,-20000000.0,
Cash Flow From Continuing Investing Activities,550000000.0,-393000000.0,-613000000.0,-320000000.0,341000000.0,
Net Other Investing Changes,1105000000.0,-365000000.0,-310000000.0,-121000000.0,-292000000.0,
Net Investment Purchase And Sale,-170000000.0,234000000.0,262000000.0,99000000.0,-265000000.0,
Net Business Purchase And Sale,0.0,-6000000.0,-254000000.0,-100000000.0,1153000000.0,
Sale Of Business,0.0,0.0,0.0,0.0,1162000000.0,
Purchase Of Business,0.0,-6000000.0,-254000000.0,-100000000.0,-9000000.0,
Net PPE Purchase And Sale,-384000000.0,-256000000.0,-312000000.0,-198000000.0,-255000000.0,
Sale Of PPE,47000000.0,51000000.0,15000000.0,10000000.0,12000000.0,
Purchase Of PPE,-431000000.0,-307000000.0,-327000000.0,-208000000.0,-267000000.0,
Operating Cash Flow,2281000000.0,2501000000.0,2246000000.0,1509000000.0,1297000000.0,
Cash From Discontinued Operating Activities,185000000.0,-55000000.0,-103000000.0,-33000000.0,-21000000.0,
Cash Flow From Continuing Operating Activities,2096000000.0,2556000000.0,2348000000.0,1543000000.0,1318000000.0,
Taxes Refund Paid,-302000000.0,-184000000.0,-141000000.0,-112000000.0,-292000000.0,
Change In Working Capital,-115000000.0,-334000000.0,-205000000.0,184000000.0,-457000000.0,
Change In Other Working Capital,1146000000.0,220000000.0,618000000.0,482000000.0,-42000000.0,
Change In Payables And Accrued Expense,495000000.0,3000000.0,789000000.0,706000000.0,128000000.0,
Change In Payable,495000000.0,3000000.0,789000000.0,706000000.0,128000000.0,
Change In Account Payable,495000000.0,3000000.0,789000000.0,706000000.0,128000000.0,
Change In Inventory,-194000000.0,-393000000.0,-670000000.0,-724000000.0,-112000000.0,
Change In Receivables,-1562000000.0,-164000000.0,-942000000.0,-280000000.0,-431000000.0,
Changes In Account Receivables,-1167000000.0,-113000000.0,-831000000.0,-326000000.0,-326000000.0,
Other Non Cash Items,-45000000.0,598000000.0,331000000.0,-748000000.0,-428000000.0,
Asset Impairment Charge,0.0,,,,0.0,
Deferred Tax,390000000.0,344000000.0,388000000.0,283000000.0,395000000.0,
Deferred Income Tax,390000000.0,344000000.0,388000000.0,283000000.0,395000000.0,
Depreciation Amortization Depletion,307000000.0,303000000.0,311000000.0,299000000.0,298000000.0,
Depreciation And Amortization,307000000.0,303000000.0,311000000.0,299000000.0,298000000.0,
Amortization Cash Flow,87000000.0,88000000.0,93000000.0,89000000.0,89000000.0,
Amortization Of Intangibles,87000000.0,88000000.0,93000000.0,89000000.0,89000000.0,
Depreciation,220000000.0,215000000.0,218000000.0,210000000.0,209000000.0,
Operating Gains Losses,-601000000.0,-342000000.0,-335000000.0,-326000000.0,-94000000.0,
Pension And Employee Benefit Expense,-270000000.0,-274000000.0,-269000000.0,-283000000.0,-98000000.0,
Gain Loss On Investment Securities,-331000000.0,-68000000.0,-66000000.0,-43000000.0,4000000.0,
Net Income From Continuing Operations,2462000000.0,2171000000.0,2000000000.0,1962000000.0,1896000000.0,
