,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,5608558.400561,-6165000.0,-7128000.0,-4788000.0,-112660270.388138,
Tax Rate For Calcs,0.136794,0.137,0.162,0.126,0.172263,
Normalized EBITDA,3367000000.0,3088000000.0,2902000000.0,2792000000.0,3469000000.0,
Total Unusual Items,41000000.0,-45000000.0,-44000000.0,-38000000.0,-654000000.0,
Total Unusual Items Excluding Goodwill,41000000.0,-45000000.0,-44000000.0,-38000000.0,-654000000.0,
Net Income From Continuing Operation Net Minority Interest,2452000000.0,2174000000.0,2007000000.0,1968000000.0,1905000000.0,
Reconciled Depreciation,307000000.0,303000000.0,311000000.0,299000000.0,298000000.0,
Reconciled Cost Of Revenue,8363000000.0,7762000000.0,6846000000.0,5995000000.0,6762000000.0,
EBITDA,3408000000.0,3043000000.0,2858000000.0,2754000000.0,2815000000.0,
EBIT,3101000000.0,2740000000.0,2547000000.0,2455000000.0,2517000000.0,
Net Interest Income,200000000.0,-63000000.0,2000000.0,-37000000.0,-27000000.0,
Interest Expense,250000000.0,225000000.0,158000000.0,210000000.0,224000000.0,
Interest Income,450000000.0,162000000.0,160000000.0,173000000.0,197000000.0,
Normalized Income,2416608558.400561,2212835000.0,2043872000.0,2001212000.0,2446339729.611862,
Net Income From Continuing And Discontinued Operation,2541000000.0,2157000000.0,2028000000.0,1978000000.0,1899000000.0,
Total Expenses,10448000000.0,9872000000.0,8923000000.0,7931000000.0,8206000000.0,
Diluted Average Shares,1058750000.0,1065000000.0,1073015873.0,1078000000.0,1085142857.0,
Basic Average Shares,1050000000.0,1058000000.0,1061780105.0,1070000000.0,1078977273.0,
Diluted EPS,2.4,2.02,1.89,1.83,1.75,
Basic EPS,2.42,2.04,1.91,1.85,1.76,
Diluted NI Availto Com Stockholders,2541000000.0,2157000000.0,2028000000.0,1978000000.0,1899000000.0,
Net Income Common Stockholders,2541000000.0,2157000000.0,2028000000.0,1978000000.0,1899000000.0,
Net Income,2541000000.0,2157000000.0,2028000000.0,1978000000.0,1899000000.0,
Minority Interests,-10000000.0,3000000.0,7000000.0,5000000.0,7000000.0,
Net Income Including Noncontrolling Interests,2551000000.0,2154000000.0,2021000000.0,1972000000.0,1890000000.0,
Net Income Discontinuous Operations,89000000.0,-17000000.0,21000000.0,10000000.0,-6000000.0,
Net Income Continuous Operations,2462000000.0,2171000000.0,2000000000.0,1962000000.0,1897000000.0,
Tax Provision,390000000.0,344000000.0,388000000.0,283000000.0,395000000.0,
Pretax Income,2851000000.0,2515000000.0,2389000000.0,2245000000.0,2293000000.0,
Other Income Expense,382000000.0,268000000.0,287000000.0,279000000.0,-287000000.0,
Other Non Operating Income Expenses,249000000.0,265000000.0,293000000.0,279000000.0,301000000.0,
Special Income Charges,41000000.0,-45000000.0,-44000000.0,-38000000.0,-654000000.0,
Gain On Sale Of Business,3000000.0,8000000.0,3000000.0,13000000.0,-51000000.0,
Impairment Of Capital Assets,0.0,0.0,,,0.0,251000000.0
Restructuring And Mergern Acquisition,-38000000.0,53000000.0,47000000.0,51000000.0,603000000.0,
Earnings From Equity Interest,92000000.0,48000000.0,38000000.0,38000000.0,66000000.0,
Gain On Sale Of Security,,,,,,357000000.0
Net Non Operating Interest Income Expense,200000000.0,-63000000.0,2000000.0,-37000000.0,-27000000.0,
Interest Expense Non Operating,250000000.0,225000000.0,158000000.0,210000000.0,224000000.0,
Interest Income Non Operating,450000000.0,162000000.0,160000000.0,173000000.0,197000000.0,
Operating Income,2269000000.0,2309000000.0,2099000000.0,2003000000.0,2605000000.0,
Operating Expense,2085000000.0,2110000000.0,2077000000.0,1936000000.0,1444000000.0,
Research And Development,448000000.0,415000000.0,359000000.0,359000000.0,385000000.0,
Selling General And Administration,1637000000.0,1695000000.0,1718000000.0,1577000000.0,1059000000.0,
Selling And Marketing Expense,,1195000000.0,,,,1330000000.0
General And Administrative Expense,4728000000.0,500000000.0,1718000000.0,1577000000.0,4339000000.0,
Other Gand A,,,1020000000.0,876000000.0,,
Insurance And Claims,550000000.0,500000000.0,698000000.0,701000000.0,421000000.0,
Gross Profit,4354000000.0,4419000000.0,4176000000.0,3939000000.0,4049000000.0,
Cost Of Revenue,8363000000.0,7762000000.0,6846000000.0,5995000000.0,6762000000.0,
Total Revenue,12717000000.0,12181000000.0,11022000000.0,9934000000.0,10811000000.0,
Operating Revenue,12717000000.0,12181000000.0,11022000000.0,9934000000.0,10811000000.0,
