,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,1240679623.0,1242000000.0,1242000000.0,1245000000.0,1246265857.0,
Share Issued,1240679623.0,1242000000.0,1242000000.0,1245000000.0,1246265857.0,
Net Debt,17372000000.0,17611000000.0,19802000000.0,17026000000.0,16720000000.0,
Total Debt,24936000000.0,24941000000.0,24946000000.0,24952000000.0,26711000000.0,
Tangible Book Value,-2590000000.0,-4743000000.0,-7206000000.0,-8506000000.0,-8932000000.0,
Invested Capital,47638000000.0,46481000000.0,44621000000.0,44114000000.0,46041000000.0,
Working Capital,6529000000.0,5577000000.0,3529000000.0,4558000000.0,7169000000.0,
Net Tangible Assets,-2590000000.0,-4743000000.0,-7206000000.0,-8506000000.0,-8932000000.0,
Common Stock Equity,22702000000.0,21540000000.0,19675000000.0,19162000000.0,19330000000.0,
Total Capitalization,44831000000.0,43675000000.0,41815000000.0,41308000000.0,44226000000.0,
Total Equity Gross Minority Interest,22618000000.0,21456000000.0,19591000000.0,19078000000.0,19246000000.0,
Minority Interest,-84000000.0,-84000000.0,-84000000.0,-84000000.0,-84000000.0,
Stockholders Equity,22702000000.0,21540000000.0,19675000000.0,19162000000.0,19330000000.0,
Gains Losses Not Affecting Retained Earnings,39000000.0,36000000.0,-18000000.0,92000000.0,132000000.0,
Other Equity Adjustments,39000000.0,36000000.0,-18000000.0,92000000.0,132000000.0,
Retained Earnings,13730000000.0,12825000000.0,11325000000.0,10931000000.0,11497000000.0,
Additional Paid In Capital,8932000000.0,8678000000.0,8367000000.0,8138000000.0,7700000000.0,
Capital Stock,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,36405000000.0,37077000000.0,36130000000.0,37356000000.0,39749000000.0,
Total Non Current Liabilities Net Minority Interest,24592000000.0,24780000000.0,24941000000.0,25013000000.0,27745000000.0,
Other Non Current Liabilities,1165000000.0,1182000000.0,1290000000.0,1339000000.0,1295000000.0,
Tradeand Other Payables Non Current,896000000.0,866000000.0,859000000.0,819000000.0,830000000.0,
Non Current Deferred Liabilities,402000000.0,597000000.0,652000000.0,709000000.0,724000000.0,
Non Current Deferred Taxes Liabilities,402000000.0,597000000.0,652000000.0,709000000.0,724000000.0,
Long Term Debt And Capital Lease Obligation,22129000000.0,22135000000.0,22140000000.0,22146000000.0,24896000000.0,
Long Term Debt,22129000000.0,22135000000.0,22140000000.0,22146000000.0,24896000000.0,
Current Liabilities,11813000000.0,12297000000.0,11189000000.0,12343000000.0,12004000000.0,
Other Current Liabilities,2243000000.0,3752000000.0,3586000000.0,4615000000.0,2269000000.0,
Current Debt And Capital Lease Obligation,2807000000.0,2806000000.0,2806000000.0,2806000000.0,1815000000.0,
Current Debt,2807000000.0,2806000000.0,2806000000.0,2806000000.0,1815000000.0,
Pensionand Other Post Retirement Benefit Plans Current,1298000000.0,,,,1228000000.0,1051000000.0
Current Provisions,321000000.0,,,,321000000.0,321000000.0
Payables And Accrued Expenses,5144000000.0,5739000000.0,4797000000.0,4922000000.0,6371000000.0,
Current Accrued Expenses,4337000000.0,4931000000.0,4215000000.0,4185000000.0,3892000000.0,
Payables,807000000.0,808000000.0,582000000.0,737000000.0,2479000000.0,
Total Tax Payable,92000000.0,,,,1646000000.0,1536000000.0
Income Tax Payable,92000000.0,,,,1646000000.0,1536000000.0
Accounts Payable,715000000.0,808000000.0,582000000.0,737000000.0,833000000.0,
Total Assets,59023000000.0,58533000000.0,55721000000.0,56434000000.0,58995000000.0,
Total Non Current Assets,40681000000.0,40659000000.0,41005000000.0,39532000000.0,39823000000.0,
Other Non Current Assets,4845000000.0,4873000000.0,4031000000.0,3871000000.0,3769000000.0,
Non Current Deferred Assets,1964000000.0,1998000000.0,2721000000.0,2572000000.0,2378000000.0,
Non Current Deferred Taxes Assets,1964000000.0,1998000000.0,2721000000.0,2572000000.0,2378000000.0,
Investments And Advances,2974000000.0,2005000000.0,1913000000.0,,0.0,0.0
Investmentin Financial Assets,2974000000.0,2005000000.0,1913000000.0,,0.0,0.0
Available For Sale Securities,2974000000.0,2005000000.0,1913000000.0,,,
Goodwill And Other Intangible Assets,25292000000.0,26283000000.0,26881000000.0,27668000000.0,28262000000.0,
Other Intangible Assets,16978000000.0,17969000000.0,18567000000.0,19354000000.0,19948000000.0,
Goodwill,8314000000.0,8314000000.0,8314000000.0,8314000000.0,8314000000.0,
Net PPE,5606000000.0,5500000000.0,5459000000.0,5421000000.0,5414000000.0,
Accumulated Depreciation,-2696000000.0,-2693000000.0,-2621000000.0,-2542000000.0,-2470000000.0,
Gross PPE,8302000000.0,8193000000.0,8080000000.0,7963000000.0,7884000000.0,
Construction In Progress,745000000.0,,,,501000000.0,
Other Properties,1707000000.0,,8080000000.0,7963000000.0,1589000000.0,
Machinery Furniture Equipment,666000000.0,,,,692000000.0,
Buildings And Improvements,4622000000.0,,,,4539000000.0,
Land And Improvements,561000000.0,,,,561000000.0,
Properties,0.0,,,,0.0,
Current Assets,18342000000.0,17874000000.0,14718000000.0,16901000000.0,19173000000.0,
Other Current Assets,1143000000.0,3645000000.0,2899000000.0,2828000000.0,995000000.0,
Prepaid Assets,899000000.0,,,,480000000.0,
Inventory,1774000000.0,1785000000.0,1825000000.0,1759000000.0,1710000000.0,
Receivables,4913000000.0,5095000000.0,4781000000.0,4388000000.0,4420000000.0,
Accounts Receivable,4913000000.0,5095000000.0,4781000000.0,4388000000.0,4420000000.0,
Allowance For Doubtful Accounts Receivable,-981000000.0,-900000000.0,-841000000.0,-866000000.0,-900000000.0,
Gross Accounts Receivable,5895000000.0,5994000000.0,5622000000.0,5254000000.0,5319000000.0,
Cash Cash Equivalents And Short Term Investments,9613000000.0,7349000000.0,5213000000.0,7926000000.0,11568000000.0,
Other Short Term Investments,2049000000.0,19000000.0,69000000.0,,1577000000.0,0.0
Cash And Cash Equivalents,7564000000.0,7330000000.0,5144000000.0,7926000000.0,9991000000.0,
