,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-157920000.0,50633617.138149,-21001235.076163,-137158000.0,-20431472.081218,
Tax Rate For Calcs,0.21,0.161769,0.192672,0.202,0.177665,
Normalized EBITDA,3772000000.0,4270000000.0,3483000000.0,3284000000.0,3224000000.0,
Total Unusual Items,-752000000.0,313000000.0,-109000000.0,-679000000.0,-115000000.0,
Total Unusual Items Excluding Goodwill,-752000000.0,313000000.0,-109000000.0,-679000000.0,-115000000.0,
Net Income From Continuing Operation Net Minority Interest,2183000000.0,3052000000.0,1960000000.0,1315000000.0,1783000000.0,
Reconciled Depreciation,687000000.0,686000000.0,691000000.0,696000000.0,693000000.0,
Reconciled Cost Of Revenue,1624000000.0,1569000000.0,1501000000.0,1540000000.0,1581000000.0,
EBITDA,3020000000.0,4583000000.0,3374000000.0,2605000000.0,3109000000.0,
EBIT,2333000000.0,3897000000.0,2683000000.0,1909000000.0,2416000000.0,
Net Interest Income,-160000000.0,-168000000.0,-181000000.0,-166000000.0,-164000000.0,
Interest Expense,255000000.0,256000000.0,254000000.0,260000000.0,249000000.0,
Interest Income,95000000.0,88000000.0,73000000.0,94000000.0,85000000.0,
Normalized Income,2777080000.0,2789633617.138149,2047998764.923837,1856842000.0,1877568527.918782,
Net Income From Continuing And Discontinued Operation,2183000000.0,3052000000.0,1960000000.0,1315000000.0,1783000000.0,
Total Expenses,4936000000.0,4272000000.0,4357000000.0,4177000000.0,5129000000.0,
Total Operating Income As Reported,1984000000.0,3327000000.0,2474000000.0,2237000000.0,2452000000.0,
Diluted Average Shares,1253000000.0,1254000000.0,1255000000.0,1259000000.0,1259000000.0,
Basic Average Shares,1242000000.0,1243000000.0,1245000000.0,1246000000.0,1248000000.0,
Diluted EPS,1.74,2.43,1.56,1.04,1.42,
Basic EPS,1.76,2.46,1.57,1.06,1.43,
Diluted NI Availto Com Stockholders,2183000000.0,3052000000.0,1960000000.0,1315000000.0,1783000000.0,
Net Income Common Stockholders,2183000000.0,3052000000.0,1960000000.0,1315000000.0,1783000000.0,
Net Income,2183000000.0,3052000000.0,1960000000.0,1315000000.0,1783000000.0,
Minority Interests,0.0,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,2183000000.0,3052000000.0,1960000000.0,1315000000.0,1783000000.0,
Net Income Continuous Operations,2183000000.0,3052000000.0,1961000000.0,1315000000.0,1782000000.0,
Tax Provision,-105000000.0,589000000.0,468000000.0,334000000.0,385000000.0,
Pretax Income,2078000000.0,3641000000.0,2429000000.0,1649000000.0,2167000000.0,
Other Income Expense,-750000000.0,312000000.0,-115000000.0,-675000000.0,-110000000.0,
Other Non Operating Income Expenses,2000000.0,-1000000.0,-6000000.0,4000000.0,5000000.0,
Special Income Charges,-1005000000.0,-170000000.0,-251000000.0,-253000000.0,11000000.0,
Other Special Charges,539000000.0,170000000.0,61000000.0,253000000.0,-11000000.0,
Write Off,400000000.0,0.0,190000000.0,0.0,0.0,
Gain On Sale Of Security,253000000.0,483000000.0,142000000.0,-426000000.0,-126000000.0,
Net Non Operating Interest Income Expense,-160000000.0,-168000000.0,-181000000.0,-166000000.0,-164000000.0,
Interest Expense Non Operating,255000000.0,256000000.0,254000000.0,260000000.0,249000000.0,
Interest Income Non Operating,95000000.0,88000000.0,73000000.0,94000000.0,85000000.0,
Operating Income,2988000000.0,3497000000.0,2724000000.0,2490000000.0,2440000000.0,
Operating Expense,3312000000.0,2703000000.0,2856000000.0,2637000000.0,3548000000.0,
Research And Development,1584000000.0,1346000000.0,1491000000.0,1379000000.0,1641000000.0,
Selling General And Administration,1728000000.0,1357000000.0,1365000000.0,1258000000.0,1907000000.0,
Selling And Marketing Expense,1076000000.0,829000000.0,864000000.0,753000000.0,,848000000.0
General And Administrative Expense,652000000.0,528000000.0,501000000.0,505000000.0,,585000000.0
Other Gand A,652000000.0,528000000.0,501000000.0,505000000.0,,585000000.0
Gross Profit,6300000000.0,6200000000.0,5580000000.0,5127000000.0,5988000000.0,
Cost Of Revenue,1624000000.0,1569000000.0,1501000000.0,1540000000.0,1581000000.0,
Total Revenue,7924000000.0,7769000000.0,7081000000.0,6667000000.0,7569000000.0,
Operating Revenue,7924000000.0,7769000000.0,7081000000.0,6667000000.0,7569000000.0,
