,2026-02-28,2025-11-30,2025-08-31,2025-05-31,2025-02-28
Free Cash Flow,295500000.0,675700000.0,287500000.0,391400000.0,428000000.0
Repurchase Of Capital Stock,-200000.0,-100000.0,-500000000.0,-301000000.0,-301500000.0
Repayment Of Debt,-698700000.0,,,-800000000.0,-500000000.0
Issuance Of Debt,0.0,,,854900000.0,0.0
Capital Expenditure,-102400000.0,-143600000.0,-109500000.0,-220200000.0,-103900000.0
End Cash Position,785500000.0,683400000.0,952900000.0,363900000.0,521300000.0
Beginning Cash Position,683400000.0,952900000.0,363900000.0,521300000.0,2292800000.0
Effect Of Exchange Rate Changes,20400000.0,-5900000.0,4400000.0,17700000.0,1100000.0
Changes In Cash,81700000.0,-263600000.0,584600000.0,-175100000.0,-1772600000.0
Financing Cash Flow,-210200000.0,-927000000.0,-1507200000.0,-570400000.0,-1031800000.0
Cash Flow From Continuing Financing Activities,-210200000.0,-927000000.0,-1507200000.0,-570400000.0,-1031800000.0
Net Other Financing Charges,-3400000.0,-13400000.0,-21700000.0,-268700000.0,-45000000.0
Proceeds From Stock Option Exercised,100000.0,100000.0,200000.0,4600000.0,4600000.0
Cash Dividends Paid,-328400000.0,-327900000.0,-330900000.0,-330300000.0,-332600000.0
Common Stock Dividend Paid,-328400000.0,-327900000.0,-330900000.0,-330300000.0,-332600000.0
Net Common Stock Issuance,-200000.0,-100000.0,-500000000.0,-301000000.0,-301500000.0
Common Stock Payments,-200000.0,-100000.0,-500000000.0,-301000000.0,-301500000.0
Net Issuance Payments Of Debt,121700000.0,-585700000.0,-654800000.0,325000000.0,-357300000.0
Net Short Term Debt Issuance,820400000.0,-4700000.0,-654800000.0,270100000.0,142700000.0
Net Long Term Debt Issuance,-698700000.0,,,54900000.0,-500000000.0
Long Term Debt Payments,-698700000.0,,,-800000000.0,-500000000.0
Long Term Debt Issuance,0.0,,,854900000.0,0.0
Investing Cash Flow,-106000000.0,-155900000.0,1694800000.0,-216300000.0,-1272700000.0
Cash Flow From Continuing Investing Activities,-106000000.0,-155900000.0,1694800000.0,-216300000.0,-1272700000.0
Net Other Investing Changes,13700000.0,-18200000.0,-1900000.0,-900000.0,-1100000.0
Net Business Purchase And Sale,-20100000.0,6300000.0,1803400000.0,4700000.0,-1167800000.0
Sale Of Business,20500000.0,6300000.0,1803400000.0,6700000.0,241800000.0
Purchase Of Business,-40600000.0,0.0,0.0,-2000000.0,-1409600000.0
Net PPE Purchase And Sale,-99600000.0,-144000000.0,-106700000.0,-220100000.0,-103800000.0
Sale Of PPE,2800000.0,-400000.0,2800000.0,100000.0,100000.0
Purchase Of PPE,-102400000.0,-143600000.0,-109500000.0,-220200000.0,-103900000.0
Operating Cash Flow,397900000.0,819300000.0,397000000.0,611600000.0,531900000.0
Cash Flow From Continuing Operating Activities,397900000.0,819300000.0,397000000.0,611600000.0,531900000.0
Dividend Received Cfo,6000000.0,0.0,26900000.0,13700000.0,7800000.0
Change In Working Capital,-184500000.0,-3700000.0,58800000.0,136600000.0,-116500000.0
Change In Other Current Liabilities,-142300000.0,-121800000.0,409000000.0,33300000.0,-12200000.0
Change In Payables And Accrued Expense,-332200000.0,234300000.0,-252500000.0,223400000.0,-403100000.0
Change In Payable,-332200000.0,234300000.0,-252500000.0,223400000.0,-403100000.0
Change In Account Payable,-332200000.0,234300000.0,-252500000.0,223400000.0,-403100000.0
Change In Prepaid Assets,-44000000.0,-13800000.0,36600000.0,-58800000.0,56200000.0
Change In Inventory,283600000.0,-7800000.0,-135200000.0,-78000000.0,229000000.0
Change In Receivables,50400000.0,-94600000.0,900000.0,16700000.0,13600000.0
Other Non Cash Items,6300000.0,145300000.0,4700000.0,100500000.0,-32900000.0
Stock Based Compensation,26300000.0,24200000.0,15100000.0,24600000.0,20500000.0
Deferred Tax,87800000.0,41600000.0,10000000.0,-107400000.0,-2000000.0
Deferred Income Tax,87800000.0,41600000.0,10000000.0,-107400000.0,-2000000.0
Depreciation Amortization Depletion,139400000.0,138000000.0,138700000.0,135600000.0,134300000.0
Depreciation And Amortization,139400000.0,138000000.0,138700000.0,135600000.0,134300000.0
Operating Gains Losses,11100000.0,59600000.0,-1061200000.0,6000000.0,-110300000.0
Earnings Losses From Equity Investments,6100000.0,59600000.0,-6800000.0,6000000.0,-14400000.0
Gain Loss On Sale Of Business,5000000.0,0.0,-1054400000.0,0.0,-95900000.0
Net Income From Continuing Operations,305500000.0,414300000.0,1204000000.0,302000000.0,631000000.0
