,2026-02-28,2025-11-30,2025-08-31,2025-05-31,2025-02-28,2024-11-30,2024-08-31
Tax Effect Of Unusual Items,-7137448.35966,-28439932.016834,265254206.827934,-13871307.345532,19163953.185956,,
Tax Rate For Calcs,0.24277,0.232923,0.255519,0.183241,0.198179,,
Normalized EBITDA,708700000.0,1003800000.0,-211700000.0,887600000.0,942900000.0,,
Total Unusual Items,-29400000.0,-122100000.0,1038100000.0,-75700000.0,96700000.0,,
Total Unusual Items Excluding Goodwill,-29400000.0,-122100000.0,1038100000.0,-75700000.0,96700000.0,,
Net Income From Continuing Operation Net Minority Interest,303100000.0,413000000.0,1204200000.0,294000000.0,625600000.0,,
Reconciled Depreciation,139400000.0,138000000.0,138700000.0,135600000.0,134300000.0,,
Reconciled Cost Of Revenue,3069800000.0,3168300000.0,2984700000.0,3082200000.0,3203100000.0,,
EBITDA,679300000.0,881700000.0,826400000.0,811900000.0,1039600000.0,,
EBIT,539900000.0,743700000.0,687700000.0,676300000.0,905300000.0,,
Net Interest Income,-128400000.0,-125900000.0,-132800000.0,-139700000.0,-136300000.0,,
Interest Expense,128400000.0,125900000.0,,,136300000.0,124600000.0,
Normalized Income,325362551.64034,506660067.983166,431354206.827934,355828692.654468,548063953.185956,,
Net Income From Continuing And Discontinued Operation,303100000.0,413000000.0,1204200000.0,294000000.0,625600000.0,,
Total Expenses,3882700000.0,4010700000.0,3829800000.0,3976500000.0,4047500000.0,,
Total Operating Income As Reported,524600000.0,728000000.0,1725800000.0,504000000.0,891400000.0,,
Diluted Average Shares,537300000.0,537300000.0,542500000.0,550400000.0,555000000.0,,
Basic Average Shares,536600000.0,536400000.0,541300000.0,548200000.0,552600000.0,,
Diluted EPS,0.56,0.78,2.22,0.53,1.12,,
Basic EPS,0.57,0.78,2.22,0.53,1.14,,
Diluted NI Availto Com Stockholders,303100000.0,413000000.0,1204200000.0,283500000.0,625600000.0,,
Net Income Common Stockholders,303100000.0,413000000.0,1204200000.0,283500000.0,625600000.0,,
Net Income,303100000.0,413000000.0,1204200000.0,294000000.0,625600000.0,,
Minority Interests,-2400000.0,-1300000.0,200000.0,-8000000.0,-5400000.0,,
Net Income Including Noncontrolling Interests,305500000.0,414300000.0,1204000000.0,302000000.0,631000000.0,,
Net Income Continuous Operations,305500000.0,414300000.0,1204000000.0,302000000.0,631000000.0,,
Earnings From Equity Interest Net Of Tax,-6100000.0,-59600000.0,6800000.0,-6000000.0,14400000.0,,
Tax Provision,99900000.0,143900000.0,410900000.0,69100000.0,152400000.0,,
Pretax Income,411500000.0,617800000.0,1608100000.0,377100000.0,769000000.0,,
Other Income Expense,-14100000.0,-106400000.0,1053200000.0,-62900000.0,110600000.0,,
Other Non Operating Income Expenses,15300000.0,15700000.0,15100000.0,12800000.0,13900000.0,,
Special Income Charges,-29400000.0,-122100000.0,1038100000.0,-75700000.0,96700000.0,,
Gain On Sale Of Business,-5000000.0,0.0,1054400000.0,0.0,95900000.0,,
Restructuring And Mergern Acquisition,24400000.0,122100000.0,16300000.0,75700000.0,-800000.0,,
Net Non Operating Interest Income Expense,-128400000.0,-125900000.0,-132800000.0,-139700000.0,-136300000.0,,
Total Other Finance Cost,,,132800000.0,,136300000.0,124600000.0,123600000.0
Interest Expense Non Operating,128400000.0,125900000.0,,,136300000.0,124600000.0,
Operating Income,554000000.0,850100000.0,687700000.0,579700000.0,794700000.0,,
Operating Expense,812900000.0,842400000.0,845100000.0,894300000.0,844400000.0,,
Selling General And Administration,812900000.0,842400000.0,845100000.0,894300000.0,844400000.0,,
Gross Profit,1366900000.0,1692500000.0,1532800000.0,1474000000.0,1639100000.0,,
Cost Of Revenue,3069800000.0,3168300000.0,2984700000.0,3082200000.0,3203100000.0,,
Total Revenue,4436700000.0,4860800000.0,4517500000.0,4556200000.0,4842200000.0,,
Operating Revenue,4376100000.0,4787500000.0,4397200000.0,4848700000.0,4750200000.0,,
