,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,12088000000.0,12077000000.0,12104000000.0,12155000000.0,12211000000.0,
Share Issued,12088000000.0,12077000000.0,12104000000.0,12155000000.0,12211000000.0,
Net Debt,15839000000.0,,2571000000.0,,,
Total Debt,59291000000.0,33713000000.0,35559000000.0,23564000000.0,22574000000.0,
Tangible Book Value,381885000000.0,353598000000.0,330581000000.0,313094000000.0,293199000000.0,
Invested Capital,461812000000.0,408474000000.0,386523000000.0,357153000000.0,335967000000.0,
Working Capital,103293000000.0,74397000000.0,78906000000.0,70398000000.0,74589000000.0,
Net Tangible Assets,381885000000.0,353598000000.0,330581000000.0,313094000000.0,293199000000.0,
Capital Lease Obligations,12744000000.0,12106000000.0,11952000000.0,11678000000.0,11691000000.0,
Common Stock Equity,415265000000.0,386867000000.0,362916000000.0,345267000000.0,325084000000.0,
Total Capitalization,461812000000.0,408474000000.0,386523000000.0,356153000000.0,335967000000.0,
Total Equity Gross Minority Interest,415265000000.0,386867000000.0,362916000000.0,345267000000.0,325084000000.0,
Stockholders Equity,415265000000.0,386867000000.0,362916000000.0,345267000000.0,325084000000.0,
Gains Losses Not Affecting Retained Earnings,-1916000000.0,-2054000000.0,-2127000000.0,-4086000000.0,-4800000000.0,
Other Equity Adjustments,-1916000000.0,-2054000000.0,-2127000000.0,-4086000000.0,-4800000000.0,
Retained Earnings,324055000000.0,297226000000.0,275760000000.0,262628000000.0,245084000000.0,
Capital Stock,93126000000.0,91695000000.0,89283000000.0,86725000000.0,84800000000.0,
Common Stock,93126000000.0,91695000000.0,89283000000.0,86725000000.0,84800000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,180016000000.0,149602000000.0,139137000000.0,130107000000.0,125172000000.0,
Total Non Current Liabilities Net Minority Interest,77271000000.0,50052000000.0,51827000000.0,38453000000.0,36050000000.0,
Other Non Current Liabilities,8449000000.0,6267000000.0,6241000000.0,6116000000.0,4694000000.0,
Tradeand Other Payables Non Current,9531000000.0,10072000000.0,10027000000.0,9773000000.0,8782000000.0,
Non Current Deferred Liabilities,,,,,,1721000000.0
Non Current Deferred Revenue,,,,,,1015000000.0
Non Current Deferred Taxes Liabilities,,,,,,706000000.0
Long Term Debt And Capital Lease Obligation,59291000000.0,33713000000.0,35559000000.0,22564000000.0,22574000000.0,
Long Term Capital Lease Obligation,12744000000.0,12106000000.0,11952000000.0,11678000000.0,11691000000.0,
Long Term Debt,46547000000.0,21607000000.0,23607000000.0,10886000000.0,10883000000.0,
Current Liabilities,102745000000.0,99550000000.0,87310000000.0,91654000000.0,89122000000.0,
Other Current Liabilities,,10564000000.0,7099000000.0,6534000000.0,6322000000.0,6851000000.0
Current Deferred Liabilities,6578000000.0,5542000000.0,4969000000.0,4908000000.0,5036000000.0,
Current Deferred Revenue,6578000000.0,5542000000.0,4969000000.0,4908000000.0,5036000000.0,
Current Debt And Capital Lease Obligation,,,,1000000000.0,2887000000.0,2971000000.0
Current Capital Lease Obligation,,,,,2887000000.0,2971000000.0
Current Debt,,,,1000000000.0,,
Other Current Borrowings,,,,1000000000.0,,
Pensionand Other Post Retirement Benefit Plans Current,17546000000.0,13944000000.0,12168000000.0,9984000000.0,15069000000.0,
Payables And Accrued Expenses,78621000000.0,69500000000.0,63074000000.0,69228000000.0,69017000000.0,
Current Accrued Expenses,64948000000.0,54399000000.0,50829000000.0,46682000000.0,54259000000.0,
Payables,13673000000.0,15101000000.0,12245000000.0,22546000000.0,14758000000.0,
Other Payable,950000000.0,4004000000.0,3112000000.0,4889000000.0,3866000000.0,
Total Tax Payable,523000000.0,551000000.0,786000000.0,9160000000.0,2905000000.0,
Income Tax Payable,523000000.0,551000000.0,786000000.0,9160000000.0,2905000000.0,
Accounts Payable,12200000000.0,10546000000.0,8347000000.0,8497000000.0,7987000000.0,
Total Assets,595281000000.0,536469000000.0,502053000000.0,475374000000.0,450256000000.0,
